source	status	local_file_found_or_missing	expected_url_or_search_term	expected_columns	local_target_path	exact_peptide_audit_possible	peptide_hla_audit_possible	near_peptide_audit_possible	source_protein_audit_possible	action_needed
MHCflurry	local_file_found_unparsed	project/data/external_benchmarks/ITSNdb/Colab/MHCFlurry.py;project/data/external_benchmarks/ITSNdb/Colab/MHCFlurry_Colab.ipynb;project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/mhcflurry_input.csv;project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/02_run_mhcflurry.py;project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/mhcflurry_scored.tsv;project/results/p_neo_bayesian_2026_05_09/wave5b/mhcflurry_raw.parquet	MHCflurry training data presentation affinity IEDB MS ligands	peptide,HLA/allele,measurement/source	project/data/external/mhcflurry_training/	False	False	False	False	download/parse official training corpus
NetMHCpan	local_file_found_unparsed	project/data/external_benchmarks/ITSNdb/R/netMHCpan.R;project/data/external_benchmarks/ITSNdb/R/netMHCpan_cohorts.R;project/data/external_benchmarks/ITSNdb/man/Install_netMHCPan.Rd;project/data/external_benchmarks/ITSNdb/man/RunNetMHCPan.Rd;project/data/external_benchmarks/ITSNdb/man/RunNetMHCPan_peptides.Rd;project/results/p_neo_bayesian_2026_05_09/wave11/wave11_predictions/NetMHCpan_4.1__itsndb.tsv	NetMHCpan 4.1 training data BA EL peptide HLA	peptide,HLA,BA/EL label	project/data/external/netmhcpan_training/	False	False	False	False	download/parse official training corpus
BigMHC	local_file_found_unparsed	project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/bigmhc_input.csv;project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/03_run_bigmhc.py;project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/bigmhc_im_output.csv;project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/bigmhc_scored.tsv;project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/03b_run_bigmhc_el.py;project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/bigmhc_el_output.csv	BigMHC Mendeley el_train im_train peptide HLA immunogenicity	peptide,HLA,label,split	project/data/external/bigmhc/	False	False	False	False	download/parse official training corpus
PRIME	local_file_found_unparsed	project/data/external_benchmarks/ITSNdb/man/Install_PRIME.Rd;project/data/external_benchmarks/ITSNdb/man/RunPRIME.Rd;project/results/hla_deepdive_2026_05_08/track2_k2_baseline/figures/F14_LD_Dprime_heatmaps.pdf;project/results/hla_deepdive_2026_05_08/track2_k2_baseline/figures/F14_LD_Dprime_heatmaps.png;project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/prime_allele_index.tsv;project/results/p_neo_bayesian_2026_05_09/wave3_algorithm_sweep/04_run_prime.py	PRIME neoantigen immunogenicity training data peptide HLA	peptide,HLA,immunogenicity	project/data/external/prime/	False	False	False	False	download/parse official training corpus
MixMHCpred	local_file_found_unparsed	project/data/external_benchmarks/ITSNdb/R/mixMHCpred.R;project/data/external_benchmarks/ITSNdb/man/RunMixMHCpred.Rd	MixMHCpred training ligands peptide HLA allele	peptide,HLA/source allele	project/data/external/mixmhcpred/	False	False	False	False	download/parse official training corpus
NetMHCstabpan	local_file_found_unparsed	project/results/p_neo_bayesian_2026_05_09/wave9/run_netmhcstabpan.py;project/results/p_neo_bayesian_2026_05_09/wave9/predictions_netmhcstabpan.tsv;project/results/p_neo_bayesian_2026_05_09/wave9/auroc_netmhcstabpan.tsv;project/results/p_neo_bayesian_2026_05_09/wave9/_meta_netmhcstabpan.json	NetMHCstabpan training data peptide HLA stability	peptide,HLA,stability	project/data/external/netmhcstabpan_training/	False	False	False	False	download/parse official training corpus
IEDB	local_audit_available	project/data/external_benchmarks/ITSNdb/R/IEDB_CIImm.R	IEDB T cell assay export peptide MHC class I immunogenicity	peptide,HLA,assay,result,reference	project/data/external/iedb/	True	True	True	False	row-level audit completed for local rows
CEDAR	local_audit_available	project/results/cross_neo_v0/master_table.tsv	local CROSS-Neo master table CEDAR	peptide_mut,hla,label,study	project/results/cross_neo_v0/master_table.tsv	True	True	True	False	row-level audit completed for local rows
NEPdb	local_audit_available	project/results/cross_neo_v0/master_table.tsv	local CROSS-Neo master table NEPdb	peptide_mut,hla,label,study	project/results/cross_neo_v0/master_table.tsv	True	True	True	False	row-level audit completed for local rows
TESLA	local_audit_available	project/results/cross_neo_v0/master_table.tsv	local CROSS-Neo master table TESLA mmc4 mmc7	peptide_mut,hla,label,study	project/results/cross_neo_v0/master_table.tsv	True	True	True	False	row-level audit completed for local rows
