modality	group	paperability	validation_readiness	bd_readiness	score_total	default_status	best_in_silico_task	example_geo_accessions	search_keywords	why_it_works	caveat	agent_query
neoantigen / mRNA vaccine / ICI combo	immune-vaccine	5	5	5	15	GO	response ranking, T cell state, clonality, combo prioritization	GSE222011; GSE249674; GSE303153; GSE260817	neoantigen, mRNA vaccine, ICI, combo, TCR, scRNA	response-linked paired samples, TCR/scRNA hooks, and a direct companion biomarker path	avoid claiming generalized vaccine efficacy from a single cohort	site:ncbi.nlm.nih.gov/geo neoantigen vaccine ICI mRNA TCR scRNA
CAR-T / CAR-NK / CAR-NKT / TIL / TCR-T	cell-therapy	5	4	5	14	GO	potency, exhaustion, manufacturing QC, response stratification	GSE266618; GSE278506; GSE223071; GSE217387; GSE185205	CAR-T, CAR-NK, CAR-NKT, TIL, TCR-T, exhaustion, potency	strong transcriptomic signal, clear ex vivo readouts, and direct translational relevance	BD should be potency/QC/selection, not de novo cell-product invention	site:ncbi.nlm.nih.gov/geo CAR-T CAR-NK CAR-NKT TIL TCR-T exhaustion potency
T cell engager / bispecific / checkpoint / agonist antibody	antibody-therapy	4	3	4	11	WATCH	target selection, TME rewiring, resistance mapping	GSE189359; GSE260674; GSE292621; GSE260817	bispecific, checkpoint, CD3 engager, agonist antibody, TME	actionable mechanism and combo logic, often paired with immune signatures	validation often depends on model system, not direct patient response	site:ncbi.nlm.nih.gov/geo bispecific CD3 engager checkpoint agonist antibody
ADC / radioligand / cell-surface targeting	targeted-delivery	4	3	4	11	WATCH	target expression, lineage plasticity, payload sensitivity	GSE274871; GSE289746; GSE236808; GSE264573	ADC, radioligand, cell-surface target, lineage plasticity	strong for target prioritization and resistance logic	BD strongest when framed as companion diagnostics or target selection	site:ncbi.nlm.nih.gov/geo antibody-drug conjugate radioligand lineage plasticity
PARP / DNA damage response / radiosensitizer	small-molecule-ddr	5	5	4	14	GO	resistance, sensitization, combo design, biomarker discovery	GSE289437; GSE315883; GSE233820; GSE285648	PARP inhibitor, DDR, radiosensitizer, resistance, sensitivity	large public footprint, repeatable perturbation logic, and easy cross-cohort tests	BD is narrower unless tied to a clear biomarker or drug-sensitivity panel	site:ncbi.nlm.nih.gov/geo PARP inhibitor DNA damage response radiosensitizer resistance
kinase / MAPK / RTK inhibition	small-molecule-kinase	5	5	4	14	GO	pathway response, resistance, combo prioritization	GSE289437; GSE315883; GSE260551	MEK, ERK, RAF, RTK, kinase inhibitor, MAPK	clean perturbational logic and high reuse across cancer types	separate pathway response from direct therapeutic efficacy claims	site:ncbi.nlm.nih.gov/geo MEK ERK RAF kinase inhibitor MAPK
hormone / endocrine / AR / ER	endocrine-therapy	4	4	3	11	GO	lineage-state shifts, resistance, biomarker discovery	GSE80077; GSE289437	hormone therapy, AR, ER, endocrine resistance, lineage state	well-defined treatment states with straightforward responder/non-responder logic	BD needs a sharply defined clinical indication, not a pan-cancer claim	site:ncbi.nlm.nih.gov/geo hormone therapy AR ER endocrine resistance
epigenetic priming / chromatin therapy	epigenetic	4	4	3	11	GO	priming, reactivation, immune-rewiring signatures	GSE168225; GSE179674; GSE188249	DNMT inhibitor, HDAC inhibitor, epigenetic priming, chromatin	works well as a response-enabling layer with transcriptomic readouts	avoid overcalling direct causality from methylation/transcript changes alone	site:ncbi.nlm.nih.gov/geo epigenetic priming DNMT HDAC chromatin
oncolytic virus	viral-therapy	3	3	3	9	RESERVE	permissivity, immune remodeling, viral susceptibility	GSE244034; GSE260516; GSE223395; GSE222002	oncolytic virus, viral permissivity, immune remodeling	fascinating biology, but cohort sizes and model diversity vary widely	best used as a special-case module, not the platform center	site:ncbi.nlm.nih.gov/geo oncolytic virus permissivity immune remodeling
cytokine engineering / costimulation / immune agonist	immune-engineering	4	3	4	11	WATCH	potency augmentation, T cell expansion, exhaustion rescue	GSE249674; GSE260817; GSE189359	IL-15, IL-21, 4-1BB, cytokine engineering, costimulation	good for mechanism and combo ranking, especially in immune contexts	validation is often preclinical and needs orthogonal support	site:ncbi.nlm.nih.gov/geo cytokine engineering 4-1BB IL-15 IL-21 costimulation
innate immune agonist / myeloid reprogramming	innate-immunity	4	3	3	10	WATCH	TME reprogramming, myeloid suppression, combo selection	GSE281467; GSE184009; GSE222002	myeloid, innate immune agonist, CD40, TLR, STING, macrophage	routes directly into TME remodeling and IO-combo logic	interpretation often depends on mouse model choice and dosing	site:ncbi.nlm.nih.gov/geo CD40 TLR STING myeloid reprogramming
radiotherapy / radiosensitizer / IO combo	combo-radiation	4	4	3	11	GO	synergy ranking, immune activation, chemokine induction	GSE233820; GSE260674; GSE189359	radiotherapy, radiosensitizer, anti-PD-L1, chemokine, synergy	combination logic is explicit and the transcriptional response is assayable	avoid extrapolating from model-level synergy to universal clinical benefit	site:ncbi.nlm.nih.gov/geo radiotherapy radiosensitizer immune combo chemokine
cell therapy manufacturing / bioreactor / expansion	platform-qc	4	5	5	14	GO	manufacturing QC, expansion efficiency, process optimization	GSE261103; GSE295031; GSE266618	manufacturing, bioreactor, expansion, QC, process optimization	clear process metric and direct industrial relevance	BD should focus on process analytics, not therapy claim escalation	site:ncbi.nlm.nih.gov/geo CAR T manufacturing bioreactor expansion QC
adoptive cell state / exhaustion / TCR dynamics	state-modeling	4	4	4	12	GO	state scoring, clone expansion, post-treatment trajectory	GSE123813; GSE156728; GSE185205; GSE221776	T cell state, TCR dynamics, exhaustion, clonotype, trajectory	excellent for trajectory modeling and response-state interpretation	clone expansion is not itself proof of better treatment efficacy	site:ncbi.nlm.nih.gov/geo T cell state TCR dynamics exhaustion clonotype
stromal / TME reprogramming	tme-reprogramming	4	4	3	11	WATCH	fibroblast / endothelial / stromal response mapping	GSE196065; GSE168225; GSE260674	stroma, fibroblast, endothelial, TME, reprogramming	turns resistance and microenvironment state into a computable axis	needs careful separation of stroma-specific and tumor-intrinsic effects	site:ncbi.nlm.nih.gov/geo stroma fibroblast endothelial TME reprogramming
resistance / combo prioritization / response modeling	meta-platform	5	5	5	15	GO	therapy triage, responder ranking, decision support across modalities	GSE130157; GSE249630; GSE217387; GSE185205	response modeling, resistance, therapy prioritization, combo, triage	highest generality and best fit for an agentic ranking framework	best positioned as decision support, not therapy invention	site:ncbi.nlm.nih.gov/geo response modeling resistance therapy prioritization combo
