modality	default_status	agent_query	search_keywords	example_geo_accessions
neoantigen / mRNA vaccine / ICI combo	GO	site:ncbi.nlm.nih.gov/geo neoantigen vaccine ICI mRNA TCR scRNA	neoantigen, mRNA vaccine, ICI, combo, TCR, scRNA	GSE222011; GSE249674; GSE303153; GSE260817
CAR-T / CAR-NK / CAR-NKT / TIL / TCR-T	GO	site:ncbi.nlm.nih.gov/geo CAR-T CAR-NK CAR-NKT TIL TCR-T exhaustion potency	CAR-T, CAR-NK, CAR-NKT, TIL, TCR-T, exhaustion, potency	GSE266618; GSE278506; GSE223071; GSE217387; GSE185205
T cell engager / bispecific / checkpoint / agonist antibody	WATCH	site:ncbi.nlm.nih.gov/geo bispecific CD3 engager checkpoint agonist antibody	bispecific, checkpoint, CD3 engager, agonist antibody, TME	GSE189359; GSE260674; GSE292621; GSE260817
ADC / radioligand / cell-surface targeting	WATCH	site:ncbi.nlm.nih.gov/geo antibody-drug conjugate radioligand lineage plasticity	ADC, radioligand, cell-surface target, lineage plasticity	GSE274871; GSE289746; GSE236808; GSE264573
PARP / DNA damage response / radiosensitizer	GO	site:ncbi.nlm.nih.gov/geo PARP inhibitor DNA damage response radiosensitizer resistance	PARP inhibitor, DDR, radiosensitizer, resistance, sensitivity	GSE289437; GSE315883; GSE233820; GSE285648
kinase / MAPK / RTK inhibition	GO	site:ncbi.nlm.nih.gov/geo MEK ERK RAF kinase inhibitor MAPK	MEK, ERK, RAF, RTK, kinase inhibitor, MAPK	GSE289437; GSE315883; GSE260551
hormone / endocrine / AR / ER	GO	site:ncbi.nlm.nih.gov/geo hormone therapy AR ER endocrine resistance	hormone therapy, AR, ER, endocrine resistance, lineage state	GSE80077; GSE289437
epigenetic priming / chromatin therapy	GO	site:ncbi.nlm.nih.gov/geo epigenetic priming DNMT HDAC chromatin	DNMT inhibitor, HDAC inhibitor, epigenetic priming, chromatin	GSE168225; GSE179674; GSE188249
oncolytic virus	RESERVE	site:ncbi.nlm.nih.gov/geo oncolytic virus permissivity immune remodeling	oncolytic virus, viral permissivity, immune remodeling	GSE244034; GSE260516; GSE223395; GSE222002
cytokine engineering / costimulation / immune agonist	WATCH	site:ncbi.nlm.nih.gov/geo cytokine engineering 4-1BB IL-15 IL-21 costimulation	IL-15, IL-21, 4-1BB, cytokine engineering, costimulation	GSE249674; GSE260817; GSE189359
innate immune agonist / myeloid reprogramming	WATCH	site:ncbi.nlm.nih.gov/geo CD40 TLR STING myeloid reprogramming	myeloid, innate immune agonist, CD40, TLR, STING, macrophage	GSE281467; GSE184009; GSE222002
radiotherapy / radiosensitizer / IO combo	GO	site:ncbi.nlm.nih.gov/geo radiotherapy radiosensitizer immune combo chemokine	radiotherapy, radiosensitizer, anti-PD-L1, chemokine, synergy	GSE233820; GSE260674; GSE189359
cell therapy manufacturing / bioreactor / expansion	GO	site:ncbi.nlm.nih.gov/geo CAR T manufacturing bioreactor expansion QC	manufacturing, bioreactor, expansion, QC, process optimization	GSE261103; GSE295031; GSE266618
adoptive cell state / exhaustion / TCR dynamics	GO	site:ncbi.nlm.nih.gov/geo T cell state TCR dynamics exhaustion clonotype	T cell state, TCR dynamics, exhaustion, clonotype, trajectory	GSE123813; GSE156728; GSE185205; GSE221776
stromal / TME reprogramming	WATCH	site:ncbi.nlm.nih.gov/geo stroma fibroblast endothelial TME reprogramming	stroma, fibroblast, endothelial, TME, reprogramming	GSE196065; GSE168225; GSE260674
resistance / combo prioritization / response modeling	GO	site:ncbi.nlm.nih.gov/geo response modeling resistance therapy prioritization combo	response modeling, resistance, therapy prioritization, combo, triage	GSE130157; GSE249630; GSE217387; GSE185205
