audit_item	source_file	required_before_unlock	failure_action	endpoint_plan_checksum
freeze_candidate_list	execution_candidate_manifest_v6.tsv	candidate list unchanged or deviations logged	mark deviation and keep claim exploratory	PLAN-FC32A205
use_predeclared_thresholds	preregistered_endpoint_plan_v5.tsv	exploratory and confirmatory thresholds copied without post-hoc tuning	do not promote endpoint	PLAN-FC32A205
candidate_success_call_trace	candidate_result_entry_v6.tsv + candidate_calls_v6.tsv	PASS/FAIL source documented for every counted candidate	treat missing or ambiguous candidates as pending	PLAN-FC32A205
positive_controls_not_novelty	claim_boundary_execution column	E arm used for QC only	remove from novelty/discovery claims	PLAN-FC32A205
overlap_blocked_candidates_labeled	leakage_risk_level + claim_boundary_execution	source-overlap status retained in final table	mechanistic/support only, no clean benchmark novelty	PLAN-FC32A205
reviewer_risk::public/overlap leakage	wetlab_plate_v4_value_of_information.tsv	separate clean discovery from overlap-blocked positive controls	positive-control arm cannot support benchmark novelty	PLAN-FC32A205
reviewer_risk::overfit fine-tuning	score_booster_cv_metrics.tsv + v4 summary	score booster selected only after source/HLA clean OOF; failed method-matrix stacker retained as negative diagnostic	small clean positive set n=35	PLAN-FC32A205
reviewer_risk::no wetlab interpretation rule	preregistered_endpoint_plan_v5.tsv	binomial endpoint plan plus predeclared go/no-go thresholds	assay-specific thresholds still need lab calibration	PLAN-FC32A205
reviewer_risk::TCR/MD evidence overclaimed	claim_unlock_ladder_v5.tsv	TCR/MD arm unlocks mechanistic support only, not clean benchmark novelty or clinical claim	requires TCR readout or repeat MD to promote mechanism	PLAN-FC32A205
reviewer_risk::label-noise rescue relabels negatives too casually	assay_96well_map_preregistered_v5.tsv	rescue requires provenance audit plus pMHC binding	provenance may fail and rescue claim must be dropped	PLAN-FC32A205
reviewer_risk::clinical utility overclaim	claim_unlock_ladder_v5.tsv	clinical/patient layer remains locked in claim ladder	patient metadata and external validation still missing	PLAN-FC32A205
reviewer_risk::multiple endpoint fishing	endpoint_power_curves_v5.tsv	exploratory thresholds fixed; stricter confirmatory thresholds added; null-risk sums exploratory=0.918, confirmatory=0.149	descriptive exploratory package; not a pivotal clinical trial	PLAN-FC32A205
