feature	weight	transform
score_disagreement	0.2025867087712433	sigmoid
topline_vote_count	0.20059213280979127	square
RF_biophys_score	0.11800972547420154	sqrt
BioDarwin_public_anchor_v3	0.0991226688263116	square
BioDarwin_RF_anchor_heuristic_v1	0.09480690618123051	sqrt
BigMHC_IM	0.08312034605056212	sqrt
BioDarwin_regime_router_v1	0.0715625074849169	sqrt
score_consensus	0.06170158055939243	sqrt
BioDarwin_mode_bank_v4	0.061505727435892374	sqrt
BigMHC_EL	0.006115230657613088	sqrt
GA_public_feature_adapter_v0	0.0008764657488448199	square
