track	group	task_code	task	priority_score	task_id	status	dependency	claim_boundary	why_it_matters	lane	priority_bucket
analysis	external-validation	t13-01	split the cohort list for the next cross-neo packet	0.98	ULT-F954C25D	ready	v11-v12 boards	analysis / claim-safe	connects retrospective signal to future prospective work	analysis	critical
analysis	figure-caption	t13-02	expand the sample list for the next cross-neo packet	0.9745	ULT-2C7043BF	ready	v11-v12 boards	analysis / claim-safe	increases granularity	analysis	critical
analysis	reviewer-rebuttal	t13-03	crosswalk the assay list for the next cross-neo packet	0.969	ULT-94D13CFC	ready	v11-v12 boards	analysis / claim-safe	reduces response latency	analysis	critical
analysis	claim-boundary	t13-04	bundle the readout list for the next cross-neo packet	0.9635	ULT-E847ECE6	ready	v11-v12 boards	analysis / claim-safe	increases granularity	analysis	critical
analysis	failure-registry	t13-05	map the figure caption set for the next cross-neo packet	0.958	ULT-92807858	ready	v11-v12 boards	analysis / claim-safe	increases granularity	analysis	critical
execution	bench-printout	t13-06	queue the supplement caption set for the next cross-neo packet	0.9525	ULT-4B7A6295	ready	v11-v12 boards	execution / claim-safe	improves execution traceability	bench	critical
execution	result-entry	t13-07	draft the deck caption set for the next cross-neo packet	0.947	ULT-B8A8D021	ready	v11-v12 boards	execution / claim-safe	increases granularity	bench	critical
execution	control-sequence	t13-08	prepare the objection response set for the next cross-neo packet	0.9415	ULT-A15A72C7	ready	v11-v12 boards	execution / claim-safe	increases granularity	bench	critical
execution	handoff-packaging	t13-09	index the failure action set for the next cross-neo packet	0.9359999999999999	ULT-D694A763	ready	v11-v12 boards	execution / claim-safe	increases granularity	bench	critical
reviewer	objection-response	t13-10	tag the control manifest for the next cross-neo packet	0.9305	ULT-076A2E94	ready	v11-v12 boards	reviewer / claim-safe	increases granularity	review	critical
reviewer	control-board	t13-11	lock the claim ledger for the next cross-neo packet	0.925	ULT-C5B793E8	ready	v11-v12 boards	reviewer / claim-safe	increases granularity	review	critical
reviewer	claim-safety	t13-12	mirror the task dependency graph for the next cross-neo packet	0.9195	ULT-99C5870F	ready	v11-v12 boards	reviewer / claim-safe	increases granularity	review	critical
reviewer	mosaic-visual	t13-13	compress the task owner map for the next cross-neo packet	0.9139999999999999	ULT-D3333230	ready	v11-v12 boards	reviewer / claim-safe	increases granularity	review	critical
next	prospective-pilot	t13-14	isolate the task deliverable map for the next cross-neo packet	0.9085	ULT-D516C7C9	ready	v11-v12 boards	next-step / claim-safe	increases granularity	backlog	critical
next	qa-checklist	t13-15	prioritize the bench printout for the next cross-neo packet	0.903	ULT-160B637E	ready	v11-v12 boards	next-step / claim-safe	increases granularity	backlog	critical
next	dependency-crosswalk	t13-16	surface the result-entry template for the next cross-neo packet	0.8975	ULT-DFE6AC6E	ready	v11-v12 boards	next-step / claim-safe	increases granularity	backlog	high
next	do-not-overcall	t13-17	package the well-level map for the next cross-neo packet	0.892	ULT-A5CD2046	ready	v11-v12 boards	next-step / claim-safe	increases granularity	backlog	high
analysis	external-validation	t13-18	split the reagent list for the next cross-neo packet	0.8865	ULT-78DB2135	ready	v11-v12 boards	analysis / claim-safe	connects retrospective signal to future prospective work	analysis	high
analysis	figure-caption	t13-19	expand the one-page checklist for the next cross-neo packet	0.881	ULT-1654790E	ready	v10-v12 reviewer packets	analysis / claim-safe	increases granularity	analysis	high
analysis	reviewer-rebuttal	t13-20	crosswalk the what-is-not-claimed list for the next cross-neo packet	0.8755	ULT-6EC82B9F	ready	v10-v12 reviewer packets	analysis / claim-safe	reduces response latency	analysis	high
analysis	claim-boundary	t13-21	bundle the what-is-claimed-now list for the next cross-neo packet	0.87	ULT-D02818B1	ready	v10-v12 reviewer packets	analysis / claim-safe	increases granularity	analysis	high
analysis	failure-registry	t13-22	map the file-anchor table for the next cross-neo packet	0.8645	ULT-14DC9821	ready	v10-v12 reviewer packets	analysis / claim-safe	increases granularity	analysis	high
execution	bench-printout	t13-23	queue the scoreboard comparison for the next cross-neo packet	0.859	ULT-CB448C2E	ready	v10-v12 reviewer packets	execution / claim-safe	improves execution traceability	bench	high
execution	result-entry	t13-24	draft the timeline chart for the next cross-neo packet	0.8534999999999999	ULT-46DF34AB	ready	v10-v12 reviewer packets	execution / claim-safe	increases granularity	bench	high
execution	control-sequence	t13-25	prepare the mosaic page for the next cross-neo packet	0.848	ULT-8C76B22C	ready	v10-v12 reviewer packets	execution / claim-safe	increases granularity	bench	high
execution	handoff-packaging	t13-26	index the cohort list for the next cross-neo packet	0.8425	ULT-AA9ACCC1	ready	v10-v12 reviewer packets	execution / claim-safe	increases granularity	bench	high
reviewer	objection-response	t13-27	tag the sample list for the next cross-neo packet	0.837	ULT-435AA3E9	ready	v10-v12 reviewer packets	reviewer / claim-safe	increases granularity	review	high
