paper	accession	n_samples	n_PTC	n_PDTC	n_ATC	n_normal	korean_confirmed	has_BRAF_calls	has_RAS_calls	has_TERT_calls	has_clinical	expression_downloaded	file_path	notes
Lee SE 2024 Nat Commun (PMID 38331894)	GSE213647	632	348	5	16	263	yes	no	no	no	partial (age/sex/dx_year/tissue_type)	yes	/data/thca/v17_korean/GSE213647/expression_counts.tsv.gz	Bulk RNA-seq STAR ReadsPerGene unstranded counts; 58288 ENSG genes x 632 samples; merged sample sheet at sample_sheet_clinical.tsv. BRAF/RAS/TERT calls NOT in GEO metadata or in MOESM5 supplementary. Two library kits used (stranded mRNA LT n=383, TruSeq RNA access n=249) - batch correction REQUIRED. Korean (CNUH/SNUBH/KRIBB).
Lee SE 2024 Nat Commun companion (PMID 38331894)	GSE223765	65	0	0	0	65	yes	no	no	no	partial	metadata_only	/data/thca/v17_korean/GSE223765/	"2nd study" companion - all 65 are NORMAL stranded mRNA samples (validation cohort). No tumors. Not directly useful for v17p35 panel transfer.
Lee SE 2024 Nat Commun scRNA (PMID 38331894)	GSM7324266-7324280	15	7	0	8	0	yes	no	no	no	yes (age/sex/year)	no	GEO	scRNA-seq companion: 7 PTC + 8 ATC. Listed in MOESM5 Supple data14. Not yet downloaded (10x Cellranger output, large).
Yoo SK 2019 Nat Commun (PMID 31235699)	EGAS00001003540	113	31 (metPTC)	15	27	0 (162 ref DTCs from prior)	yes	yes (in paper)	yes (in paper)	yes (in paper)	yes	NO - controlled access	N/A	EGA controlled access (DAC approval required). Korean SNU/SNUH/SNUBH cohort. RNA-seq for 13 ATC + 3 focal ATC/PDTC + 9 wiFTC; WES for full 113. Per-sample BRAF/RAS/TERT/CDKN2A calls in paper Fig 2 + supplementary. Access via dac.ega-archive.org with study EGAS00001003540.
Yoo SK 2016 PLOS Genet (PMID 27494611)	PRJEB11591 (ENA)	261	77 cPTC + 48 FVPTC	0	0	81 + adenomas/FTC	yes	yes (in paper)	yes (in paper)	not reported	yes	NO - too large (FASTQ ~5GB/sample, ~900GB total)	N/A	PUBLIC ENA fastq, but raw only - requires fresh STAR alignment. SNU-GMI cohort. Per-paper: BRAF V600E 71.43% cPTC, 25% FVPTC; H/K/NRAS 50% miFTC, 47.92% FVPTC. Not downloaded due to budget.
Park JL 2019 Korean PTC	NOT FOUND	?	?	?	?	?	?	?	?	?	?	no	N/A	"GSE128242" suggested in task is WRONG accession (uterine leiomyoma, US). Could not locate Park JL 2019 thyroid GSE in PubMed/GEO search.
Han SA 2010 Korean PTC microarray (PMID 21179278)	not deposited	5 PTC + 5 N	5	0	0	5	yes	yes (4/5 BRAF V600E)	no	no	yes	no	N/A	Tiny cohort (n=5), insufficient for panel transfer. KJIM 2010, no GEO.
Yoon HJ Korean ATC scRNA	NOT FOUND	?	?	?	?	?	?	?	?	?	?	no	N/A	"GSE60542" suggested in task is WRONG accession (Belgian PTC microarray 2014). Could not locate Korean ATC scRNA dataset under this name.
Kim SK 2020 Korean THCA targeted panel	NOT FOUND	?	?	?	?	?	?	?	?	?	?	no	N/A	No clear PMID/GEO accession found; multiple "Kim SK" thyroid papers exist. Needs more specific reference.
Han SA 2017 Korean PTC microarray (~120 samples)	NOT FOUND	?	?	?	?	?	?	?	?	?	?	no	N/A	"GSE60634" suggested in task is WRONG (Japanese iPSC cardiomyocytes). No 2017 Han SA Korean PTC microarray with 120 samples found.
GSE256293 Lee Y / Park H 2024 Korean PTC	GSE256293	110	55	0	0	55	yes	no	no	no	partial (sex/age/metastasis)	metadata_only	/data/thca/v17_korean/GSE256293/	Targeted bisulfite METHYLATION (not expression) - 55 paired PTC/normal. Not directly usable for v17p35 expression panel transfer, but valuable for orthogonal validation.
