lead	failure_mode	interpretation	next_analysis
KRAS_G12D_HLA_C0802	mutant_hla_binding_low	Check peptide quality and HLA allele; run pMHC structure/MD only as diagnostic; deprioritize wetlab activation.	update case audit, claim boundary, and threshold dashboard
KRAS_G12D_HLA_C0802	wt_equal_or_stronger	Flag self-reactivity/cross-reactivity risk; do not claim mutant specificity; consider alternate TCR or lower priority.	update case audit, claim boundary, and threshold dashboard
KRAS_G12D_HLA_C0802	decoy_positive	Flag nonspecific recognition or motif artifact; require alternate decoy and orthogonal assay.	update case audit, claim boundary, and threshold dashboard
KRAS_G12D_HLA_C0802	multimer_positive_activation_negative	Treat as binding without productive activation; analyze TCR off-rate/kinetic proofreading proxy.	update case audit, claim boundary, and threshold dashboard
KRAS_G12D_HLA_C0802	activation_positive_wt_positive	Potential self-reactivity; do not advance without dose-response and safety context.	update case audit, claim boundary, and threshold dashboard
KRAS_G12D_HLA_C0802	md_stable_wetlab_negative	Use as false-positive explanation: structural plausibility is not sufficient for immunogenicity.	update case audit, claim boundary, and threshold dashboard
KRAS_G12D_HLA_C0802	wetlab_positive_md_weak	Use as model rescue case; re-check structure/template and run replicate/control MD if needed.	update case audit, claim boundary, and threshold dashboard
TP53_R175H_HLA_A0201	mutant_hla_binding_low	Check peptide quality and HLA allele; run pMHC structure/MD only as diagnostic; deprioritize wetlab activation.	update case audit, claim boundary, and threshold dashboard
TP53_R175H_HLA_A0201	wt_equal_or_stronger	Flag self-reactivity/cross-reactivity risk; do not claim mutant specificity; consider alternate TCR or lower priority.	update case audit, claim boundary, and threshold dashboard
TP53_R175H_HLA_A0201	decoy_positive	Flag nonspecific recognition or motif artifact; require alternate decoy and orthogonal assay.	update case audit, claim boundary, and threshold dashboard
TP53_R175H_HLA_A0201	multimer_positive_activation_negative	Treat as binding without productive activation; analyze TCR off-rate/kinetic proofreading proxy.	update case audit, claim boundary, and threshold dashboard
TP53_R175H_HLA_A0201	activation_positive_wt_positive	Potential self-reactivity; do not advance without dose-response and safety context.	update case audit, claim boundary, and threshold dashboard
TP53_R175H_HLA_A0201	md_stable_wetlab_negative	Use as false-positive explanation: structural plausibility is not sufficient for immunogenicity.	update case audit, claim boundary, and threshold dashboard
TP53_R175H_HLA_A0201	wetlab_positive_md_weak	Use as model rescue case; re-check structure/template and run replicate/control MD if needed.	update case audit, claim boundary, and threshold dashboard
