figure_id	png_path	exists	title	what_it_shows_kr	source_data	where_to_use	claim_boundary
fig_md1_pipeline	figures/fig_md1_pipeline.png	True	MD audit pipeline	CROSS-Neo 후보에서 구조/MD audit까지 가는 전체 절차.	MD run inventory; workflow rules	Overview / methods	prioritization/structural audit evidence; not immunogenicity proof
fig_md2_peptide_rmsd	figures/fig_md2_peptide_rmsd.png	True	Peptide RMSD over time	peptide backbone RMSD로 trajectory 안정성을 확인.	qc/peptide_rmsd.tsv	MD QC	prioritization/structural audit evidence; not immunogenicity proof
fig_md3_pmhc_contact_heatmap	figures/fig_md3_pmhc_contact_heatmap.png	True	pMHC contact occupancy	peptide-HLA 접촉 occupancy heatmap.	contacts/pmhc_contact_occupancy.tsv	pMHC stability evidence	prioritization/structural audit evidence; not immunogenicity proof
fig_md4_tcr_peptide_contact_heatmap	figures/fig_md4_tcr_peptide_contact_heatmap.png	True	TCR-peptide contact occupancy	TCR-peptide 접촉이 어느 peptide position에서 유지되는지.	contacts/tcr_peptide_contact_occupancy.tsv	TCR recognition plausibility	prioritization/structural audit evidence; not immunogenicity proof
fig_md5_mutant_wt_interface_delta	figures/fig_md5_mutant_wt_interface_delta.png	True	WT/decoy boundary	WT/decoy trajectory가 아직 필요한 부분과 claim boundary.	counterfactual/counterfactual_todo_manifest.tsv	Limit / control plan	prioritization/structural audit evidence; not immunogenicity proof
fig_md6_replicate_consistency	figures/fig_md6_replicate_consistency.png	True	Replicate consistency	replicate 수와 RMSD consistency 요약.	replicates/replicate_consistency_summary.tsv	Robustness	prioritization/structural audit evidence; not immunogenicity proof
fig_md7_model_md_agreement	figures/fig_md7_model_md_agreement.png	True	Model-MD agreement	DL/TCR 후보와 MD evidence alignment.	md_evidence_scores.tsv; integrated/cross_neo_md_joined.tsv	Model + MD bridge	prioritization/structural audit evidence; not immunogenicity proof
fig_md8_claim_boundary	figures/fig_md8_claim_boundary.png	True	Claim boundary	무엇을 말할 수 있고 무엇은 말하면 안 되는지.	decision reports	Reviewer defense	prioritization/structural audit evidence; not immunogenicity proof
fig_md9_live_progress_temperature	figures/fig_md9_live_progress_temperature.png	True	Live progress and temperature	OpenMM run progress, temperature, speed.	md_status_summary.tsv; md_state_traces.tsv	Run QC	prioritization/structural audit evidence; not immunogenicity proof
fig_md10_6uon_10ns_rmsd_contact_combo	figures/fig_md10_6uon_10ns_rmsd_contact_combo.png	True	GADGVGKSAL 10 ns combo	GADGVGKSAL RMSD/contact combined evidence.	qc/peptide_rmsd.tsv; contacts/*.tsv	Candidate case study	prioritization/structural audit evidence; not immunogenicity proof
fig_md11_anchor_tcr_contact_summary	figures/fig_md11_anchor_tcr_contact_summary.png	True	Anchor and TCR contact summary	anchor/pMHC/TCR contact summary across runs.	contacts/pmhc_contact_summary.tsv; contacts/tcr_contact_summary.tsv	Structural audit	prioritization/structural audit evidence; not immunogenicity proof
