split_name	fold_id	base	esm	w	train_AUPRC	train_top10
exact_peptide_hla_holdout	pmhc_00	rule_gate_rf_qk_fallback_train_selected	v2_cf_esm2_650m_lr_fast	0.5	0.6705008638569847	0.7
exact_peptide_hla_holdout	pmhc_01	rule_gate_rf_qk_fallback_train_selected	v2_multimodal_esm2_650m_lr_fast	0.5	0.7503201774531157	0.8
exact_peptide_hla_holdout	pmhc_02	prespecified_rf_qk_no_anchor_w0.5	v2_multimodal_esm2_650m_lr_fast	0.5	0.654771273869135	0.7
exact_peptide_hla_holdout	pmhc_03	rule_gate_rf_qk_fallback_train_selected	v2_multimodal_esm2_650m_lr_fast	0.5	0.6632746012157777	0.7
exact_peptide_hla_holdout	pmhc_04	rule_gate_rf_qk_fallback_train_selected	v2_cf_esm2_150m_lr_fast	0.5	0.6751244590344936	0.9
near_peptide_cluster_holdout	near_00	rule_gate_rf_qk_fallback_train_selected	v2_cf_esm2_650m_lr_fast	0.75	0.523257400863741	0.5
near_peptide_cluster_holdout	near_01	rule_gate_rf_qk_fallback_train_selected	v2_cf_esm2_150m_lr_fast	1.0	0.5588060251621476	0.6
near_peptide_cluster_holdout	near_02	prespecified_rf_qk_no_anchor_w0.5	v2_cf_esm2_650m_lr_fast	0.75	0.5894803091865091	0.6
near_peptide_cluster_holdout	near_03	rule_gate_rf_qk_fallback_train_selected	v2_cf_esm2_650m_lr_fast	0.75	0.5949338594734603	0.6
near_peptide_cluster_holdout	near_04	rule_gate_rf_qk_fallback_train_selected	v2_multimodal_esm2_650m_lr_fast	0.5	0.5591335082230459	0.6
hla_stratified_group_5fold	hla_00	prespecified_rf_qk_no_anchor_w0.5	v2_multimodal_esm2_650m_lr_fast	0.5	0.6567400435821489	0.7
hla_stratified_group_5fold	hla_01	prespecified_rf_qk_no_anchor_w0.5	v2_cf_esm2_150m_lr_fast	0.75	0.553000208347802	0.6
hla_stratified_group_5fold	hla_02	prespecified_rf_qk_no_anchor_w0.5	v2_multimodal_esm2_650m_lr_fast	0.75	0.6274242953967522	0.6
hla_stratified_group_5fold	hla_03	prespecified_rf_qk_no_anchor_w0.5	v2_multimodal_esm2_650m_lr_fast	0.75	0.6568891708465556	0.7
hla_stratified_group_5fold	hla_04	prespecified_rf_qk_no_anchor_w0.5	v2_multimodal_esm2_650m_lr_fast	0.5	0.6050349277779834	0.7
hla_supertype_heldout	super_00	rule_gate_rf_qk_fallback_train_selected	v2_multimodal_esm2_650m_lr_fast	0.5	0.636310322063498	0.7
hla_supertype_heldout	super_01	v2_multimodal_lr	v2_multimodal_esm2_650m_lr_fast	0.5	0.5677777777777777	0.3
hla_supertype_heldout	super_02	v2_multimodal_lr	v2_cf_esm2_150m_lr_fast	1.0	0.653289851807372	0.6
hla_supertype_heldout	super_09	rule_gate_rf_qk_fallback_train_selected	v2_multimodal_esm2_650m_lr_fast	0.5	0.678194381830064	0.7
