dataset	file	bytes	mb	access_route	immutable	notes
decision_prjna563018	metadata/decision_runinfo.csv	63528	0.061	NCBI SRA RunInfo (efetch)	yes	125 runs
decision_prjna563018	metadata/decision_ena.tsv	14699	0.014	ENA filereport API	yes	read counts and FASTQ byte sizes; source of the 0.98 TB figure
decision_prjna563018	metadata/decision_biosample_metadata.tsv	44619	0.043	NCBI BioSample (efetch, merged)	yes	125 BioSamples with per-sample attributes; treatment arm recovered here
decision_prjna563018	source/decision_mct2020_supplementary.pdf	5131510	4.894	AACR figshare mirror, article 22506703	yes	Mol Cancer Ther 2020;19(1):312 supplement; paper itself is paywalled with no PMCID
zheng_rair_metabolomics_2024	source/pmc_supp.zip	1283136	1.224	Europe PMC supplementaryFiles endpoint	yes	PMC11079026
zheng_rair_metabolomics_2024	extracted/41598_2024_61067_MOESM1_ESM.docx	698705	0.666	extracted from pmc_supp.zip	yes	supplementary methods plus one chemistry table; no sample-level matrix
erriti_redifferentiation	source/erriti_39940925.docx	34694	0.033	AACR figshare mirror	yes	Supplemental Table S1 gene panel and eligibility criteria
erriti_redifferentiation	source/erriti_39940928.docx	13039	0.012	AACR figshare mirror	yes	figure legends
redifferentiation_pooled	source/itog2025_fulltext.xml	161482	0.154	Europe PMC fullTextXML, PMC13011886	yes	ITOG 2025 statement, Lancet Diabetes Endocrinol; Table 3 is the extraction target
redifferentiation_pooled	processed/itog_table3_uptake_by_genotype.tsv	1321	0.001	parsed from itog2025_fulltext.xml	no (derived)	9 trial arms, evaluable n and number with increased uptake
wang_acac_2024	source/wang2024_oncologist_fulltext.xml	96969	0.092	Europe PMC fullTextXML, PMC11379656	yes	retained as provenance for the non-independence finding vs Zheng
tcga_thca_biotab_full	source/nationwidechildrens.org_clinical_patient_thca.txt	466862	0.445	GDC files API, TCGA-THCA Clinical Supplement BCR Biotab	yes	CARRIES i_131_radiation_first_tx_method - the explicit I-131 yes/no/preparation field absent from the radiation file
tcga_thca_biotab_full	source/nationwidechildrens.org_clinical_follow_up_v4.0_thca.txt	189704	0.181	GDC files API	yes	same I-131 fields, longitudinal
tcga_thca_biotab_full	source/nationwidechildrens.org_clinical_follow_up_v2.0_thca.txt	36981	0.035	GDC files API	yes	same I-131 fields, earlier form version
tcga_thca_biotab_full	source/nationwidechildrens.org_clinical_follow_up_v2.0_nte_thca.txt	45882	0.044	GDC files API	yes	new-tumour-event level I-131 dose and method
tcga_thca_biotab_full	source/nationwidechildrens.org_clinical_follow_up_v4.0_nte_thca.txt	17879	0.017	GDC files API	yes	new-tumour-event level I-131 dose and method
tcga_thca_biotab_full	source/nationwidechildrens.org_clinical_nte_thca.txt	7954	0.008	GDC files API	yes	17 new-tumour-event rows with i_131_radiation_first_tx_dose and cumulative dose
tcga_thca_biotab_full	source/nationwidechildrens.org_clinical_radiation_thca.txt	74936	0.071	GDC files API	yes	re-downloaded; byte-identical to the copy already under /data/rai_atlas
tcga_thca_biotab_full	source/nationwidechildrens.org_clinical_drug_thca.txt	26179	0.025	GDC files API	yes	systemic therapy, for comparator contamination checks
tcga_thca_biotab_full	source/nationwidechildrens.org_clinical_omf_v4.0_thca.txt	17085	0.016	GDC files API	yes	other malignancy form
gse112202	source/GSE112202_series_matrix.txt.gz	4644	0.004	GEO FTP	yes	screened and REJECTED - no per-sample radioiodine field; see 17_EXTERNAL_SOURCE_CORRECTIONS.tsv
TOTAL	-	8433410	8.04	-	-	budget 5 GB soft / 10 GB hard; used 0.16 percent of the soft budget
NOT_DOWNLOADED	DECISION raw FASTQ (125 runs)	1078000000000	1027700	SRA/ENA	—	0.98 TB. Explicitly not started per the standing instruction; no processed matrix exists to justify it and per-patient endpoints are unrecoverable
