priority	branch	title	status	repo_role	claim	data	software	interpretation	boundary	parents	children	source_file_count	source_files	hub_page_count	hub_pages
1	paper1-main	Paper 1 / DM1 molecular dark matter	SUBMIT_NOW	trunk	Fusion-driven, TERT-linked thyroid dedifferentiation state anchored by the 8-gene DM1 panel.	TCGA-THCA RNA/HM450/clinical/SV, Korean K2, Lee 2024, GSE76039, Lu 2023, Pu 2021, DepMap/PRISM reserve.	Python, pandas, scipy, statsmodels, scikit-learn, NuSVR, matplotlib, static HTML dossier builder.	Treat as correlative multi-cohort mechanism and reviewer-defense trunk; Q9 remains motivates-not-confirms.	No direct mechanism-of-silencing proof; no clinical diagnostic claim without prospective validation.		paper1b-braf-axis; paper9-ic50-perturbation; paper11-pancancer; paper2-wsi-image	18	project/results/p_deconv_2026_05_08/v17_spatial_gene_pair_sign_summary.tsv; project/results/p_deconv_2026_05_08/v17_spatial_signal_decomposition_summary.json; project/results/p_deconv_2026_05_08/Fig_SX_v17_spatial_signal_decomposition.pdf; project/results/p_deconv_2026_05_08/Fig_SX_v17_spatial_signal_decomposition.png; project/results/p_deconv_2026_05_08/v17_spatial_component_ladder_per_sample.tsv; project/results/p_deconv_2026_05_08/v17_spatial_component_ladder_pooled.tsv; project/results/p_deconv_2026_05_08/v17_spatial_covariate_r2.tsv; project/results/p_deconv_2026_05_08/v17_spatial_gene_pair_sign_per_sample.tsv; project/results/p_deconv_2026_05_08/v17_spatial_mapk_submodule_correlations.tsv; project/results/p_deconv_2026_05_08/v17_spatial_qc_detection_correlations.tsv; project/results/p_deconv_2026_05_08/v17_spatial_random_module_null.tsv; project/results/p_deconv_2026_05_08/SUMMARY.md; project/results/p_deconv_2026_05_08/v15A_k2_panel_overlay_summary.json; project/results/p_deconv_2026_05_08/v15_k2_panel_overlay_summary.tsv; project/results/p_deconv_2026_05_08/v15_k2_score_distribution_summary.tsv; project/results/p_deconv_2026_05_08/v15_mechanism_extensions_summary.json; project/results/v17/tables/dark_matter_summary.json; project/results/v17_korean/K2_PRJEB11591_q13_summary.json	10	paper1_fig8_mechanism_dossier.html; paper10_atlas.html; paper11_pancancer.html; paper1_deconvolution_rollup_v18.html; paper1_k2_panel_overlay_v15.html; paper1_spatial_signal_decomposition_v17.html; portfolio_paper1.html; deconvolution_repo_2026_05_10.html; k2_bd_report.html; k2_t1_cards.html
3	paper1b-braf-axis	Paper 1B / BRAF cPTC DM2 vs DM1xTERT axis	MERGE_OR_STANDALONE_DECISION	feature branch	BRAF-classic PTC axis can become a companion mechanism story if it adds survival, RAI, MAPK, immune and methylation depth.	TCGA BRAF/RAS/TERT, Lee 2024, HM450, spatial BRAF inference, single-cell support, ICI panels.	Python, survival models, Fisher tests, deconvolution, spatial scoring, HTML synthesis.	Useful as Paper 1 enhancer or standalone only if it avoids competing with the DM1 trunk.	Do not let BRAF-axis dilute the main DM1 novelty unless it resolves a reviewer attack.	paper1-main	paper9-ic50-perturbation	18	project/results/p2_braf_nature_sprint_2026_05_09/h12_rai_response/h12_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/h9_mapk_therapy/h9_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/r9_hm450_immune/r9_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/h11_spatial_braf/h11_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/h12_rai_response/H12_REPORT.md; project/results/p2_braf_nature_sprint_2026_05_09/h13_mediation/h13_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/h20_pancancer/summary.json; project/results/p2_braf_nature_sprint_2026_05_09/h24_survival_sensitivity/h24_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/h3_k2_transfer/h3_true_k2_8gene_summary.tsv; project/results/p2_braf_nature_sprint_2026_05_09/h4_meta_4cohort/h4_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/h8_tert_replication/H8_REPORT.md; project/results/p2_braf_nature_sprint_2026_05_09/h9_mapk_therapy/H9_REPORT.md; project/results/p2_braf_nature_sprint_2026_05_09/h_k2_full_quant/k2_full_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/h_k2_full_quant/k2_paired_tumor_normal_summary.tsv; project/results/p2_braf_nature_sprint_2026_05_09/r2_spatial_driver_inferred/r2_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/r3_panel_disentanglement/r3_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/r6_purity_audit/r6_purity_dm_summary.json; project/results/p2_braf_nature_sprint_2026_05_09/r7_singlecell/r7v2_summary.json	3	braf_v600e_deep_dive.html; paper1_paper2_braf_axis_takeover_dossier.html; wsi_dm1_recovery_dossier_2026_05_09.html
4	paper2-wsi-image	Paper 2 / image-DM1 and Path2Space-style pathology spatial bridge	VIABLE_PILOT	application branch	H&E and spatial-pathology features can carry a DM1-like / thyroid-state signal, but current evidence is pilot-level.	TCGA WSI embedded slides, GSE230424, GSE250521, GSE248205, pathology tile atlases and spatial overlays.	DINOv2/UNI embeddings, CLAM, scikit-learn, spatial module scoring, RunPod GPU jobs.	Show image/spatial feasibility; keep it as pilot unless slide/site/sample split robustness improves.	No clinical deployment, no universal pathology biomarker claim, no leakage-prone slide-level inflation.	paper1-main	paper2b-ht-immune; paper10-12-network-atlas	18	project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_gse250521_random_module_specificity_2026_05_09/SUMMARY.md; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_spatial_block_controls_2026_05_09/SUMMARY.md; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_bootstrap_uncertainty_2026_05_09/SUMMARY.md; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_decile_dose_response_2026_05_09/SUMMARY.md; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_downsample_robustness_2026_05_09/SUMMARY.md; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_hotspot_concordance_2026_05_09/SUMMARY.md; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_hotspot_distance_controls_2026_05_09/SUMMARY.md; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_stage_generalization_controls_2026_05_09/SUMMARY.md; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_gse250521_random_module_specificity_2026_05_09/GSE250521_RANDOM_MODULE_SPECIFICITY_SUMMARY.json; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_spatial_block_controls_2026_05_09/PATH2SPACE_SPATIAL_BLOCK_CONTROLS_SUMMARY.json; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_spatial_block_controls_2026_05_09/path2space_spatial_block_controls_summary.tsv; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_stage_generalization_controls_2026_05_09/GSE250521_STAGE_GENERALIZATION_SUMMARY.json; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_stage_generalization_controls_2026_05_09/gse250521_leave_one_stage_out_summary.tsv; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_bootstrap_uncertainty_2026_05_09/PATH2SPACE_BOOTSTRAP_UNCERTAINTY_SUMMARY.json; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_bootstrap_uncertainty_2026_05_09/path2space_bootstrap_uncertainty_summary.tsv; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_decile_dose_response_2026_05_09/PATH2SPACE_DECILE_DOSE_RESPONSE_SUMMARY.json; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_decile_dose_response_2026_05_09/path2space_decile_dose_response_summary.tsv; project/results/p2_image_dm1_v2_foundation_clam_2026_05_07/analysis_supp/path2space_downsample_robustness_2026_05_09/PATH2SPACE_DOWNSAMPLE_ROBUSTNESS_SUMMARY.json	10	paper2_path2space_spatial_reanalysis.html; spatial_drug_cv2_overlay_gallery.html; family_spatial_trajectory_dossier_2026_0509.html; paper1_spatial_failure_rescue_v16.html; paper1_spatial_lag_pockets_v18.html; paper1_spatial_signal_decomposition_v17.html; paper2_cv2_visual_summary.html; paper2_image_dm1.html; paper2_image_dm1_audit_dossier.html; paper2_image_dm1_clinical_business.html
7	paper2b-ht-immune	Paper 2B / Hashimoto thyroiditis immune-HLA context	BIOLOGY_STRONG_ALLELE_WEAK	sidecar branch	HT/PTC immune context is real in expression/spatial layers, but HLA allele replication is underpowered.	TCGA HT labels, GSE286332, GSE248205, GSE250521, HLA deep-dive tracks.	arcasHLA outputs, Fisher/meta-analysis, spatial burden summaries, module scoring.	Use as immune-context enhancer, not as a genetic association manuscript yet.	No Korean/allele-level HLA claim until adult Korean GD/PTC NGS exists.	paper2-wsi-image	paper4-gd-hla	18	project/results/d4p2_tcga_hashimoto_signature/D4P2_summary.json; project/results/d4p2_tcga_hashimoto_signature/README.md; project/results/d4p2_tcga_hashimoto_signature/tcga_signature_scores.tsv; project/results/d4p2_tcga_hashimoto_signature/tcga_with_clinical_mutations.tsv; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/tables/T08b_AFND_country_weighted_summary.tsv; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/track1_summary.json; project/results/hla_deepdive_2026_05_08/track31_cross_autoimmune/tables/T06b_AITD_vs_broad_summary.tsv; project/results/hla_deepdive_2026_05_08/track4_ht_ptc_hla2/track4_summary.json; project/results/hla_deepdive_2026_05_08/track11_finngen_panukbb/tables/T01_endpoint_summary.json; project/results/hla_deepdive_2026_05_08/track11_finngen_panukbb/tables/T02_mhc_slice_summary.tsv; project/results/hla_deepdive_2026_05_08/track12_scrna_hla_celltype/track12_summary.json; project/results/hla_deepdive_2026_05_08/track18_ici_hla/track18_summary.json; project/results/hla_deepdive_2026_05_08/track19_aire_tolerance/track19_summary.json; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/track1_report.md; project/results/hla_deepdive_2026_05_08/track21_hla_ai_proxy/track21_summary.json; project/results/hla_deepdive_2026_05_08/track25_hla_somatic_mut/track25_summary.json; project/results/hla_deepdive_2026_05_08/track26_ifng_hla_dm1/figs/F09_direct_indirect_summary.pdf; project/results/hla_deepdive_2026_05_08/track26_ifng_hla_dm1/figs/F09_direct_indirect_summary.png	10	paper2_hla.html; family_hla_paper_2_4_dossier_2026_0509.html; hla_advisor_packet.html; hla_atlas.html; hla_beta_plan.html; hla_class_deep_dive.html; hla_execution_board_2026_05_09.html; hla_ncomm_upgrade_2026_05_09.html; hla_situation.html; paper2_gse248205_aitd_pathology_axis.html
8	paper3-ici-readiness	Paper 3 / ICI vulnerability and immune-readiness map	FROZEN_DESIGN	reserve branch	DM1/ATC-like immune state can be organized against public ICI cohorts, but thyroid-specific response prediction is not yet proven.	Public ICI cohorts, ATC/THCA immune modules, HLA/IFNG tracks, phase2/phase4 ICI summaries.	Cohort pooling, module scoring, response association tests, forest summaries.	Keep as readiness map and external context; do not oversell as predictor.	No thyroid ICI response model without matched thyroid ICI outcomes.	paper1-main		18	project/results/hla_deepdive_2026_05_08/track18_ici_hla/track18_summary.json; project/results/paper11_pancancer/phase_C_ICI/results/phase_C_ICI_reviewer_reserve_summary.md; project/results/paper11_pancancer/phase_C_ICI/results/tables/final_phase_C_ICI_summary_table.tsv; project/results/paper11_pancancer/phase_C_ICI/results/tables/phase_C_ICI_overall_summary.json; project/results/paper11_pancancer/phase_C_ICI/summary.json; project/results/paper3_ici_data_registry/paper3_ici_public_dataset_qc_summary.tsv; project/results/paper3_ici_track_b_lite/module_subtype_summary_thyroid.tsv; project/results/paper3_ici_track_b_lite/phase2_summary.json; project/results/paper3_ici_track_b_lite/phase4_summary.json; project/results/hla_deepdive_2026_05_08/track18_ici_hla/track18_report.md; project/results/hla_deepdive_2026_05_08/track18_ici_hla/figures/F1_forest_HLA1_response.png; project/results/hla_deepdive_2026_05_08/track18_ici_hla/figures/F2_forest_HLA2_response.png; project/results/hla_deepdive_2026_05_08/track18_ici_hla/figures/F3_forest_DM1_inflam_response.png; project/results/hla_deepdive_2026_05_08/track18_ici_hla/figures/F4_OR_heatmap_per_cohort.png; project/results/hla_deepdive_2026_05_08/track18_ici_hla/figures/F5_DM1_x_HLA1_scatter_by_response.png; project/results/hla_deepdive_2026_05_08/track18_ici_hla/figures/F6_within_DM1_high_HLA1_by_response.png; project/results/hla_deepdive_2026_05_08/track18_ici_hla/figures/F7_survival_forest.png; project/results/hla_deepdive_2026_05_08/track18_ici_hla/tables/T1_per_cohort_hla_dm1_scores.tsv	8	paper3.html; paper3_ici_status_dossier_2026_05_09.html; portfolio_paper3.html; paperG.html; portfolio_paperG.html; synthetic_lethality_matrix.html; thca_cnv_spatial_immune_decision_2026_05_08.html; thca_deep_dive.html
9	paper4-gd-hla	Paper 4 / Korean GD and Pan-Asian HLA	UPGRADE_IF_DATA_ARRIVES	data-gated branch	Pan-Asian HLA anchors are plausible, but Korean replication is the gate.	Korean PTC pool, Chen 2018 Han Chinese GD, GSE286332 arcasHLA, HLA deep-dive tracks.	arcasHLA, allele-frequency harmonization, Fisher tests, meta-analysis forest plots.	Useful as grant/data-request map now; manuscript only after Korean adult GD NGS.	No Korean GD association claim from proxy PTC/HT data.	paper2b-ht-immune		18	project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/tables/T08b_AFND_country_weighted_summary.tsv; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/track1_summary.json; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/track1_report.md; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/LD_heatmap_K2.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/forest/forest_panasian_GD_v2.pdf; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/forest/forest_panasian_GD_v2.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/funnel_DPB1_0501.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/galbraith_panasian_GD.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/per_allele/forest_A_02_07.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/per_allele/forest_B_46_01.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/per_allele/forest_C_01_02.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/per_allele/forest_DPB1_05_01.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/per_allele/forest_DQB1_02_01.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/per_allele/forest_DRB1_07_01.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/plots/stratified_panasian_GD.png; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/tables/T01_panasian_GD_source_rows_v2.tsv; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/tables/T02_panasian_GD_DL_random_effects_v2.tsv; project/results/hla_deepdive_2026_05_08/track1_paper4_gd_panasian/tables/T03_leave_one_out_sensitivity.tsv	10	paper4_gd_hla.html; paper4.html; portfolio_paper4.html; family_hla_paper_2_4_dossier_2026_0509.html; hla_advisor_packet.html; hla_atlas.html; hla_beta_plan.html; hla_class_deep_dive.html; hla_execution_board_2026_05_09.html; hla_ncomm_upgrade_2026_05_09.html
5	paper9-ic50-perturbation	Paper 9 / IC50, PRISM, DepMap and perturbation vulnerability	WETLAB_REQUIRED	therapeutic branch	DM1-high thyroid/pan-cancer states show a MAPK-heavy drug-response proxy and selected metabolic dependencies.	PRISM drug response, DepMap CRISPR, thyroid cell line annotations, spatial drug target overlays.	PRISM differential ranking, DepMap dependency tests, target-state overlap matrices, spatial overlay scoring.	This is an IC50/proxy map for hypothesis prioritization, not a validated therapeutic claim.	No synthetic-lethality or patient-treatment claim without wet-lab IC50/viability validation.	paper1-main; paper1b-braf-axis	paper11-pancancer	18	project/results/p_deconv_2026_05_08/v15C_prism_depmap_summary.json; project/results/p_synthetic_lethality_2026_05_09/synthetic_lethality_summary.json; project/results/p3_p9_full_execution/paper9_sprint2_metabolic/paper9_drug_concordance_summary.tsv; project/results/p_deconv_2026_05_08/v16_spatial_prism_diagnostics_summary.json; project/results/paper11_pancancer/phase_D_depmap/lineage_dependency_summary.tsv; project/results/paper11_pancancer/phase_D_depmap/summary.json; project/results/paper11_pancancer/phase_H_prism/summary.json; project/results/paper9_perturbation_2026_05_06/paper9_perturbation_evidence_summary.md; project/results/paper9_perturbation_2026_05_06/paper9_professor_perturbation_summary_kr.md; project/results/dm1_robustness_v2026_05_08/round6/prism_dm1_drugs.tsv; project/results/dm1_robustness_v2026_05_08/round6/prism_top_drugs.pdf; project/results/dm1_robustness_v2026_05_08/round6/prism_top_drugs.png; project/results/p2_braf_nature_sprint_2026_05_09/h17_drug_repurposing/h17_h9_prism_crossref.tsv; project/results/p2_braf_nature_sprint_2026_05_09/h9_mapk_therapy/h9_prism_drug_ranking.tsv; project/results/p3_p9_full_execution/paper9_sprint1_gls/sprint1_summary.json; project/results/p3_p9_full_execution/paper9_sprint1_gls/thyroid_model_coverage_summary.tsv; project/results/p3_p9_full_execution/paper9_sprint2_metabolic/paper9_artifact_control_summary.tsv; project/results/p_deconv_2026_05_08/v15C_prism_annotated_drugs.tsv	10	paper10_atlas.html; paper1_synthetic_lethality_dossier.html; paper9_first_pass.html; paper9_plan.html; portfolio_paper9.html; spatial_drug_cv2_overlay_gallery.html; spatial_drug_famous_panel.html; spatial_drug_target_celltype_overlap.html; spatial_drug_vulnerability_application.html; spatial_drug_vulnerability_pilot.html
10	paper10-12-network-atlas	Paper 10/12 / network and atlas companion	ABSORB_INTO_P11	atlas branch	Network, module and atlas views help explain portability and candidate submodules.	paper12 network edges/modules, cancer gene matrix, HLA atlas, source atlas, figure/table atlases.	Correlation networks, module summaries, static atlas pages, visualization tables.	Better as navigation and supplement layer than as separate manuscript today.	Do not split into low-novelty standalone paper unless it gains external validation.	paper2-wsi-image; paper11-pancancer		18	project/results/paper12_network/figures/F12_02_module_summary.png; project/results/paper12_network/module_summary.tsv; project/results/paper12_network/summary.json; project/results/paper12_network/candidate_corr_matrix.tsv; project/results/paper12_network/candidate_modules.tsv; project/results/paper12_network/figures/F12_05_module_corr.png; project/results/paper12_network/edges_top.tsv; project/results/paper12_network/figures/F12_01_corr_heatmap.png; project/results/paper12_network/figures/F12_03_network.png; project/results/paper12_network/figures/F12_04_top_edges.png; project/results/paper12_network/figures/F12_06_class_vs_dm1.png; project/results/paper12_network/figures/F12_07_corr_diff.png; project/results/paper12_network/figures/F12_08_hub_genes.png; project/results/hla_deepdive_2026_05_08/track3_pan_asian_atlas/track3_summary.json; project/results/paper10_atlas/class_summary.tsv; project/results/hla_deepdive_2026_05_08/track3_pan_asian_atlas/jsd_distance_matrix.tsv; project/results/hla_deepdive_2026_05_08/track3_pan_asian_atlas/track3_report.md; project/results/paper10_atlas/figures/F09_triangulation_matrix.png	10	cancer_gene_matrix.html; paper12_network.html; anchor_atlas.html; driver_gene_atlas.html; figure_atlas_2026_0509.html; figure_data_matrix_2026_0509.html; flow_atlas_2026_0509.html; hla_atlas.html; kthyro_ctc_emt_visual_atlas_deck.html; kthyro_ctc_emt_visual_atlas_defense.html
2	paper11-pancancer	Paper 11 / pan-cancer portable DM1 biology	NEXT_MAJOR_AFTER_P1	release branch	DM1-like dedifferentiation has portable pan-cancer structure with lineage-specific boundaries.	TCGA pan-cancer, DepMap, PRISM, hallmark scores, survival meta, Korean multi-cohort support.	Pan-cancer module scoring, survival meta-analysis, lineage mitigation, PRISM/MAPK enrichment.	Strong next manuscript after Paper 1 if lineage-confounding mitigation remains central.	Must present lineage-specificity and residual confounding up front.	paper1-main; paper9-ic50-perturbation	paper10-12-network-atlas	18	project/results/paper11_pancancer/nature_master_summary.json; project/results/paper11_pancancer/nature_master_summary.tsv; project/results/paper11_pancancer/nature_master_summary_v2.json; project/results/paper11_pancancer/mitigation_summary.json; project/results/paper11_pancancer/mitigation_v2_summary.json; project/results/paper11_pancancer/mitigation_v3_alt_summary.json; project/results/paper11_pancancer/mitigation_v3_summary.json; project/results/paper11_pancancer/phase_D_depmap/lineage_dependency_summary.tsv; project/results/paper11_pancancer/phase_E_lineage_specific/summary.json; project/results/paper11_pancancer/phase_H_prism/summary.json; project/results/paper11_pancancer/figures/F11_13_mitigation_split_lineage.png; project/results/paper11_pancancer/figures/F11_22_mitigation_cross_lineage_mediation.png; project/results/paper11_pancancer/figures/F11_24_mitigation_lineage_component_coherence.png; project/results/paper11_pancancer/mitigation_M14_lineage_means.tsv; project/results/paper11_pancancer/phase_A_epigenetic/summary.json; project/results/paper11_pancancer/phase_B_survival/summary.json; project/results/paper11_pancancer/phase_C_ICI/results/phase_C_ICI_reviewer_reserve_summary.md; project/results/paper11_pancancer/phase_C_ICI/results/tables/final_phase_C_ICI_summary_table.tsv	4	paper11_pancancer.html; paper1_paper11_nature_master.html; pancancer_atlas.html; paper1.html
6	neoantigen-clean-neo	Neoantigen / CLEAN-Neo, CROSS-Neo and MD-audited candidate selection	SEPARATE_UNIVERSE	separate repository	Leakage-aware neoantigen benchmarking, abstention and candidate selection can become an independent methods paper.	TESLA, CEDAR, dbPepNeo2, NeoDB, McPAS, IEDB, MD/TCR/pMHC audit outputs.	CLEAN-Neo pipeline, QK/rule-gated models, ESM2 features, external predictors, PMTnet, OpenMM/MD audit.	Separate from THCA DM1 unless used only as vaccine-method appendix.	No THCA vaccine-readiness claim; public predictors are comparator-only when licenses/data leakage are uncertain.			18	project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/p_neo_bayesian_2026_05_09/NEOANTIGEN_METHOD_BLUEPRINT_2026_05_09.md; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/p_neo_bayesian_2026_05_09/WEB_SEARCH_PROMPT_BETTER_NEOANTIGEN_ALGORITHMS_2026_05_09.md; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/p_cancer_vaccine_strategy_2026_05_09/SUMMARY.md; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/cross_neo_v0/CROSS_Neo_v0_decision_report.md; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/cross_neo_v0/counterfactual_embedding_report.md; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/cross_neo_v0/master_table_report.md; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/cross_neo_v0/source_heldout_report.md; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/cross_neo_v0/structure_geometry_report.md; project/results/clean_neobench_barneo_2026_05_09/barneo_x_reviewer_packet_2026_05_09/cancer_vaccine_barneo_x_interpretability_2026_05_09.html; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/README_STATUS_KR.md; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/cross_neo_v0/master_table_report.json; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/cross_neo_v0/public_overlap_audit.md; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/cross_neo_v0/retrieval_leakage_audit.md; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/papers_hub_2026_05_04/cancer_vaccine_agent.html; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/papers_hub_2026_05_04/cancer_vaccine_full_dossier.html; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/papers_hub_2026_05_04/lumenix_cancer_vaccine_index.html; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/cross_neo_v0/ablation_table.tsv; project/results/transfer_packages/cross_neo_cancer_vaccine_2026_05_09/project/results/cross_neo_v0/abstention_metrics.tsv	10	cancer_vaccine_barneo_x_interpretability_2026_05_09.html; clean_neobench_barneo_dossier_2026_05_09.html; cross_neo_md_audit_dossier.html; cross_neo_tcr_extension_dossier.html; clean_neobench_challenge_pack_2026_05_10.html; clean_neobench_visual_dashboard_2026_05_10.html; family_neoantigen_vaccine_dossier_2026_0509.html; neoantigen_3d_viewer.html; neoantigen_demo_full.html; neoantigen_hub.html
