branch	status	claim	boundary	interpretation
paper1-main	SUBMIT_NOW	Fusion-driven, TERT-linked thyroid dedifferentiation state anchored by the 8-gene DM1 panel.	No direct mechanism-of-silencing proof; no clinical diagnostic claim without prospective validation.	Treat as correlative multi-cohort mechanism and reviewer-defense trunk; Q9 remains motivates-not-confirms.
paper1b-braf-axis	MERGE_OR_STANDALONE_DECISION	BRAF-classic PTC axis can become a companion mechanism story if it adds survival, RAI, MAPK, immune and methylation depth.	Do not let BRAF-axis dilute the main DM1 novelty unless it resolves a reviewer attack.	Useful as Paper 1 enhancer or standalone only if it avoids competing with the DM1 trunk.
paper2-wsi-image	VIABLE_PILOT	H&E and spatial-pathology features can carry a DM1-like / thyroid-state signal, but current evidence is pilot-level.	No clinical deployment, no universal pathology biomarker claim, no leakage-prone slide-level inflation.	Show image/spatial feasibility; keep it as pilot unless slide/site/sample split robustness improves.
paper2b-ht-immune	BIOLOGY_STRONG_ALLELE_WEAK	HT/PTC immune context is real in expression/spatial layers, but HLA allele replication is underpowered.	No Korean/allele-level HLA claim until adult Korean GD/PTC NGS exists.	Use as immune-context enhancer, not as a genetic association manuscript yet.
paper3-ici-readiness	FROZEN_DESIGN	DM1/ATC-like immune state can be organized against public ICI cohorts, but thyroid-specific response prediction is not yet proven.	No thyroid ICI response model without matched thyroid ICI outcomes.	Keep as readiness map and external context; do not oversell as predictor.
paper4-gd-hla	UPGRADE_IF_DATA_ARRIVES	Pan-Asian HLA anchors are plausible, but Korean replication is the gate.	No Korean GD association claim from proxy PTC/HT data.	Useful as grant/data-request map now; manuscript only after Korean adult GD NGS.
paper9-ic50-perturbation	WETLAB_REQUIRED	DM1-high thyroid/pan-cancer states show a MAPK-heavy drug-response proxy and selected metabolic dependencies.	No synthetic-lethality or patient-treatment claim without wet-lab IC50/viability validation.	This is an IC50/proxy map for hypothesis prioritization, not a validated therapeutic claim.
paper10-12-network-atlas	ABSORB_INTO_P11	Network, module and atlas views help explain portability and candidate submodules.	Do not split into low-novelty standalone paper unless it gains external validation.	Better as navigation and supplement layer than as separate manuscript today.
paper11-pancancer	NEXT_MAJOR_AFTER_P1	DM1-like dedifferentiation has portable pan-cancer structure with lineage-specific boundaries.	Must present lineage-specificity and residual confounding up front.	Strong next manuscript after Paper 1 if lineage-confounding mitigation remains central.
neoantigen-clean-neo	SEPARATE_UNIVERSE	Leakage-aware neoantigen benchmarking, abstention and candidate selection can become an independent methods paper.	No THCA vaccine-readiness claim; public predictors are comparator-only when licenses/data leakage are uncertain.	Separate from THCA DM1 unless used only as vaccine-method appendix.
paper13-spatial-drug	VISUAL_STRONG_DATA_NEEDS_LOCK	Spatial maps can show drug-target/state overlap and candidate hotspot burden across thyroid samples.	Spatial co-localization is not drug efficacy; match/mismatch boards must stay explicit.	Excellent visual application layer; needs locked quantitative controls before manuscript escalation.
