item	share_level	path
Non-confidential teaser	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_moderna_bd_package_2026_05_11/MODERNA_NONCONFIDENTIAL_TEASER.md
Outreach email draft	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_moderna_bd_package_2026_05_11/MODERNA_OUTREACH_EMAIL_AFTER_IP.md
Impact memo	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_IMPACT_MEMO.md
Board memo	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_BOARD_MEMO.md
Competitive positioning	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_COMPETITIVE_POSITIONING.md
Next-step checklist	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_NEXT_STEP_CHECKLIST.md
Why now	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_WHY_NOW.md
Why sponsor	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_WHY_SPONSOR.md
Why team	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_WHY_TEAM.md
One-slide executive	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_ONE_SLIDE_EXECUTIVE.md
Killer summary	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_KILLER_SUMMARY.md
Decision snapshot	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_DECISION_SNAPSHOT.md
Cover letter	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_COVER_LETTER.md
Partner invitation	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_PARTNER_INVITATION.md
Board ask	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_BOARD_ASK.md
Pilot proposal	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_PILOT_PROPOSAL.md
Success metrics	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_SUCCESS_METRICS.md
Milestones	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_MILESTONES.md
Budget sketch	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_BUDGET_SKETCH.md
Mutual action plan	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_MUTUAL_ACTION_PLAN.md
Data room checklist	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_DATA_ROOM_CHECKLIST.md
Business case	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_BUSINESS_CASE.md
Approval path	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_APPROVAL_PATH.md
Integration checklist	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_INTEGRATION_CHECKLIST.md
Term sheet scaffold	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_TERM_SHEET_SCAFFOLD.md
ROI model	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_ROI_MODEL.md
Operating model	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_SPONSOR_OPERATING_MODEL.md
Investment memo	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_INTERNAL_INVESTMENT_MEMO.md
Pilot charter	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_PILOT_CHARTER.md
Readout template	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_EXEC_READOUT_TEMPLATE.md
Launch checklist	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_LAUNCH_CHECKLIST.md
RACI	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_RACI.md
