accession	platform	histology_breakdown	n_total	primary_role_paper3	immune_module_scoring_feasible	HLA_typing_feasible_arcasHLA	neoantigen_calculable	scRNA_state_annotation_feasible	cross_paper_boundary_concern	access_type	priority	notes
TCGA-THCA	Illumina_HiSeq_RNAseq+WES_BAM	~498_PTC_dominant+FVPTC+TCV_few_ATC	~500	primary_discovery_ecotype+HLA_LOH+neoantigen	yes	yes_via_RNA_BAM	yes_via_MC3_MAF+expr_filter	no	none_paper3_distinct_from_paper1_DM1_use_BRAF_RAS_neg_dark_matter_only	public_processed_controlled_BAM	1	driver_calls_already_curated_in_paper1_ETL_reuse_read_only
GSE76039	Illumina_RNAseq+WES	17_PDTC+20_ATC	37	dedifferentiation_axis_anchor	yes	yes	yes_if_paired_normal_obtained	no	none	public	1	Landa_2016_JCI_paired_with_TCGA_aggressive_subset_for_power
GSE126698	bulk_RNAseq+IHC	36_ATC+18_PDTC+132_PTC+55_FTC+124_normal	365	cross_subtype_dedifferentiation_replication+inflamed_vs_cold_axis	yes	yes_via_RNA	no_no_WES	no	none	public	1	largest_thyroid_TME_RNAseq_cohort_after_TCGA_THCA
GSE184362	scRNA_10x	11_patients_localized+advanced+recurrent_LN+RAI_refractory_distant_met	158577_cells	primary_scRNA_atlas+sub_state+CXCL13_axis	yes_pseudobulk_for_bulk_compare	limited_via_scHLA	no	yes	none	public	1	patient_n_low_but_cell_count_high_advanced_disease_present
GSE193581	scRNA_10x+bulk_RNAseq	10_ATC_tumors+7_PTC_tumors+6_adjacent_normal+9_ATC_cell_lines_bulk	to_verify_cells	ATC_transformation_atlas+dedifferentiation_trajectory	yes	limited	no	yes	none	public	1	rare_ATC_scRNA_resource_critical_for_dedifferentiation_trajectory
GSE151179	bulk_gene_expression	PTC_RAI_refractory_vs_RAI_avid	to_verify	RAI_refractory_axis_aggressive_phenotype_proxy	yes	maybe	no	no	none	public	2	verify_unit_and_platform_at_kickoff
GSE151180	miRNA_array	PTC_RAI_refractory_vs_RAI_avid	to_verify	miRNA_immune_axis_supplementary	miRNA_only	no	no	no	none	public	3	miRNA_no_protein_coding_modules_directly_supplementary_to_GSE151179
GSE33630	microarray_Affy_HG_U133_Plus2	45_PTC+11_ATC+49_normal	~105	cross_platform_replication	yes_with_>=50pct_gene_coverage	no	no	no	none	public	2	microarray_immune_module_scoring_only
GSE29265	microarray_Affy_HG_U133_Plus2	20_PTC+9_ATC+20_normal	49	cross_platform_replication	yes	no	no	no	none	public	2	microarray_immune_module_scoring_only
GSE65144	microarray_Affy_HG_U133_Plus2	12_ATC+1_pool_normal	13	ATC_enrichment_inset	yes	no	no	no	none	public	3	tiny_n_microarray_supplementary
GSE60542	to_verify	PTC+normal+recurrent_to_verify	to_verify	supplementary_thyroid_cross_replication	to_verify	no	no	no	none	public	3	verify_at_kickoff
PRJEB11591	bulk_RNAseq_Korean_PTC_n=260	260_PTC	260	HLA_frequency_anchor_Korean_only	read_only	already_done_arcasHLA	no	no	cross_paper_paper1_2_4	internal_read_only	1	v17_arcasHLA_korean_k2_do_not_re_run
PRJKA210106	bulk_RNAseq_Korean_PTC	282_PTC	282	Korean_HLA_typing_reference_only	read_only_use	yes_arcasHLA	no	no	cross_paper_paper1_2	public	2	use_only_for_HLA_freq_anchor_not_ecotype_discovery
GSE250521	spatial_Visium	PTC+DM1	internal_processed	spatial_TLS_CXCL13_overlay	read_only	no	no	yes_spot_level	cross_paper_paper1_2	internal_read_only	2	read_only_no_re_analysis
