dataset_id	source	disease	histology	n_samples	data_type	treatment	ICI_agent	response_available	RNAseq_available	scRNA_available	HLA_available	TMB_available	PDL1_available	neoantigen_available	access_type	download_priority	paper3_use	claim_level	blocker	citation_or_url
TCGA-THCA	GDC	thyroid_cancer	PTC_dominant_FVPTC_TCV	~500	bulk_RNAseq+WES+miRNA+methyl+clinical	naive	none	no	yes	no	inferable_from_RNA_arcasHLA	calculable_from_MC3_MAF	no_global_only_subset	calculable	public_processed_controlled_BAM	1	ecotype_discovery+dark_matter_stratification+HLA_LOH_via_paired_BAM_if_dbGaP	readiness_only	dbGaP_for_paired_BAM_LOHHLA	https://portal.gdc.cancer.gov/projects/TCGA-THCA
GSE76039	GEO	thyroid_cancer	PDTC+ATC	37 (17 PDTC + 20 ATC)	bulk_RNAseq+WES	naive	none	no	yes	no	inferable_arcasHLA	calculable_via_published_WES	no	calculable	public	1	dedifferentiation_axis_anchor	readiness_only	per_sample_paired_normal_uncertain	Landa 2016 JCI 126(3):1052-1066; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76039
GSE126698	GEO	thyroid_cancer	ATC+PDTC+PTC+FTC+normal	365 (36 ATC + 18 PDTC + 132 PTC + 55 FTC + 124 normal)	bulk_RNAseq+IHC_context	naive	none	no	yes	no	inferable_arcasHLA	no	no	no	public	1	cross_subtype_dedifferentiation_replication	readiness_only	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126698
GSE184362	GEO	thyroid_cancer	PTC+localized+advanced+RAI_refractory	11 patients / 158577 cells	scRNA_seq_10x	naive	none	no	no	yes	limited_via_scHLA	no	no	no	public	1	scRNA_atlas_primary+sub_state+CXCL13_axis	readiness_only	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184362
GSE193581	GEO	thyroid_cancer	ATC_transformation	10 ATC + 7 PTC + 6 adjacent_normal + 9 ATC_cell_lines_bulk	scRNA_seq_10x+bulk_RNAseq	naive	none	no	yes_cell_lines	yes_tumor_normal	limited	no	no	no	public	1	ATC_transformation_atlas+dedifferentiation_trajectory	readiness_only	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193581
GSE151179	GEO	thyroid_cancer	PTC_RAI_refractory_vs_RAI_avid	to_verify	bulk_gene_expression	naive	none	no	yes	no	no	no	no	no	public	2	RAI_refractory_axis_for_aggressive_phenotype_proxy	readiness_only	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151179
GSE151180	GEO	thyroid_cancer	PTC_RAI_refractory_vs_RAI_avid_miRNA	to_verify	miRNA_array	naive	none	no	miRNA_only	no	no	no	no	no	public	3	miRNA_immune_axis_supplementary	readiness_only	miRNA_only_no_protein_coding_modules	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151180
GSE33630	GEO	thyroid_cancer	PTC+ATC+normal	~105 (45 PTC + 11 ATC + 49 normal)	microarray_Affy_HG_U133_Plus2	naive	none	no	microarray_intensity	no	no	no	no	no	public	2	cross_platform_replication_microarray	readiness_only	microarray_no_HLA_neoantigen	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE33630
GSE29265	GEO	thyroid_cancer	PTC+ATC+normal	49 (20 PTC + 9 ATC + 20 normal)	microarray_Affy_HG_U133_Plus2	naive	none	no	microarray_intensity	no	no	no	no	no	public	2	cross_platform_replication_microarray	readiness_only	microarray_no_HLA_neoantigen	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29265
GSE65144	GEO	thyroid_cancer	ATC+normal	13 (12 ATC + 1 pool_normal)	microarray_Affy_HG_U133_Plus2	naive	none	no	microarray_intensity	no	no	no	no	no	public	3	ATC_enrichment_inset	readiness_only	tiny_n_microarray	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65144
GSE60542	GEO	thyroid_cancer	PTC+normal_recurrent	to_verify	microarray_or_RNAseq_to_verify	naive	none	no	to_verify	no	no	no	no	no	public	3	supplementary_thyroid	readiness_only	to_verify_at_kickoff	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60542
KEYNOTE-158_thyroid	ClinicalTrials_NCT02628067	thyroid_cancer	advanced_thyroid_carcinoma_PD_L1_unselected_after_KEYNOTE_028	thyroid_cohort_n=21_to_verify	clinical+IHC_PD_L1+MSI_supplement	pembrolizumab_monotherapy	pembrolizumab_anti_PD_1	yes_RECIST_in_paper	no_raw_RNAseq_public	no	no	no_TMB_per_thyroid_cohort_in_paper	yes_PD_L1_TPS_supplement	no	metadata_only	2	clinical_evidence_anchor_for_thyroid_ICI_response_benchmark	evidence_citation_only	raw_RNAseq_not_publicly_released	Maio 2022 J Clin Oncol; NCT02628067
KEYNOTE-028_thyroid	ClinicalTrials_NCT02054806	thyroid_cancer	PD_L1_positive_advanced_thyroid	22 PD-L1+ enrolled	clinical+IHC_PD_L1+IHC_panel_supplement	pembrolizumab_monotherapy	pembrolizumab_anti_PD_1	yes_ORR_PFS_OS	no_raw_RNAseq_public	no	no	no	yes_PD_L1_TPS	no	metadata_only	2	clinical_evidence_anchor	evidence_citation_only	raw_biomarker_data_not_public	Mehnert 2019 BMC Cancer 19:196; NCT02054806
NCT03246958_Sehgal_nivo_ipi	ClinicalTrials_NCT03246958	thyroid_cancer	aggressive_DTC+ATC+MTC	~32 enrolled multiple cohorts	clinical+biomarker_supplement	nivolumab+ipilimumab	nivo_ipi_combo	yes_ORR_per_cohort	no_raw_RNAseq_public	no	no	supplementary_table	supplementary_table	no	metadata_only	2	clinical_evidence_combo_ICI_anchor	evidence_citation_only	raw_RNAseq_unavailable	Lorch 2020 ASCO 6512; NCT03246958
Dierks2021_lenva_pembro	publication	thyroid_cancer	ATC+PDTC	to_verify_n	clinical+WES+IHC_PD_L1	lenvatinib+pembrolizumab	pembrolizumab_anti_PD_1+TKI	yes_ORR_PFS	no_raw_RNAseq_public	no	no	yes_WES_summary	yes_PD_L1_TPS	calculable_if_WES_obtained	metadata_only	2	clinical_evidence_combo_TKI_ICI	evidence_citation_only	raw_WES_not_public	Dierks 2021 Thyroid 31(7):1076-1085
