accession	priority	target_files	expected_size_MB	geo_series_matrix_url	supplementary_url	download_now_in_this_sprint	rationale
GSE76039	1	series_matrix+suppl_RNAseq_processed	~10-30	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76039/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76039/suppl/	yes	small_PDTC_ATC_dedifferentiation_anchor_smallest_RNAseq
GSE65144	1	series_matrix	~5-10	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65144/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65144/suppl/	yes	tiny_ATC_microarray_<10MB
GSE29265	1	series_matrix	~10-20	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29265/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29265/suppl/	yes	small_microarray_replication
GSE33630	1	series_matrix	~30-60	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33630/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33630/suppl/	yes	cross_platform_replication_n=105
GSE60542	2	series_matrix	~10-30	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60542/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60542/suppl/	yes	verify_unit_and_platform
GSE126698	1	series_matrix+suppl_processed	~50-300	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126698/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126698/suppl/	yes	largest_thyroid_TME_after_TCGA
GSE151179	2	series_matrix+suppl	~10-50	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151179/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151179/suppl/	yes	RAI_refractory_axis_aggressive_proxy
GSE151180	3	series_matrix	~5-20	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151180/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151180/suppl/	no	miRNA_only_supplementary_skip_in_this_sprint
GSE184362	1	suppl_h5_or_h5ad_LARGE	~5000-15000	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184362/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184362/suppl/	no	scRNA_158k_cells_too_large_for_sprint_defer_to_track_B
GSE193581	1	suppl_h5_LARGE	~3000-8000	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE193nnn/GSE193581/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE193nnn/GSE193581/suppl/	no	scRNA_+_bulk_cell_lines_defer_scRNA_to_track_B_attempt_bulk_cell_line_only
GSE78220_Hugo	2	series_matrix+suppl_FPKM	~10-30	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78220/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78220/suppl/	yes	pan_cancer_DIAL_anchor_already_listed_in_track_A
GSE91061_Riaz	2	series_matrix+suppl	~30-80	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91061/matrix/	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91061/suppl/	yes	pan_cancer_DIAL_anchor
TCGA-THCA	2	GDC_processed_via_R_TCGAbiolinks_or_recount3	NA_remote_pull	https://portal.gdc.cancer.gov/projects/TCGA-THCA	NA	no	use_paper1_ETL_outputs_read_only_no_re_pull
PRJEB23709_Gide	3	ENA_FASTQ_or_processed	NA	https://www.ebi.ac.uk/ena/browser/view/PRJEB23709	NA	no	processed_RNAseq_via_publication_supplement_defer_to_track_B
phs000452_Liu	3	dbGaP_application	NA	dbGaP_phs000452	NA	no	controlled_access_application_required
PRJEB25780_Kim	3	ENA_FASTQ_or_processed	NA	https://www.ebi.ac.uk/ena/browser/view/PRJEB25780	NA	no	defer_to_track_B
