split_name	fold_id	train_n	train_pos	hard_decoy_n	pattern_reliability
repeated_stratified_5x5_internal	rs_00	71	16	125	0.75
repeated_stratified_5x5_internal	rs_01	71	17	127	0.75
repeated_stratified_5x5_internal	rs_02	71	17	135	0.75
repeated_stratified_5x5_internal	rs_03	71	17	132	0.75
repeated_stratified_5x5_internal	rs_04	72	17	136	0.75
repeated_stratified_5x5_internal	rs_05	71	16	126	0.75
repeated_stratified_5x5_internal	rs_06	71	17	129	0.75
repeated_stratified_5x5_internal	rs_07	71	17	130	0.75
repeated_stratified_5x5_internal	rs_08	71	17	130	0.75
repeated_stratified_5x5_internal	rs_09	72	17	136	0.75
repeated_stratified_5x5_internal	rs_10	71	16	126	0.75
repeated_stratified_5x5_internal	rs_11	71	17	126	0.75
repeated_stratified_5x5_internal	rs_12	71	17	132	0.75
repeated_stratified_5x5_internal	rs_13	71	17	131	0.75
repeated_stratified_5x5_internal	rs_14	72	17	134	0.75
repeated_stratified_5x5_internal	rs_15	71	16	126	0.75
repeated_stratified_5x5_internal	rs_16	71	17	125	0.75
repeated_stratified_5x5_internal	rs_17	71	17	129	0.75
repeated_stratified_5x5_internal	rs_18	71	17	130	0.75
repeated_stratified_5x5_internal	rs_19	72	17	133	0.75
repeated_stratified_5x5_internal	rs_20	71	16	125	0.75
repeated_stratified_5x5_internal	rs_21	71	17	130	0.75
repeated_stratified_5x5_internal	rs_22	71	17	129	0.75
repeated_stratified_5x5_internal	rs_23	71	17	125	0.75
repeated_stratified_5x5_internal	rs_24	72	17	135	0.75
hla_stratified_group_5fold	hla_00	70	19	151	0.75
hla_stratified_group_5fold	hla_01	56	11	82	0.75
hla_stratified_group_5fold	hla_02	73	19	149	0.75
hla_stratified_group_5fold	hla_03	79	17	134	0.75
hla_stratified_group_5fold	hla_04	78	18	142	0.75
hla_supertype_heldout	super_00	84	19	142	0.75
hla_supertype_heldout	super_01	56	11	82	0.75
hla_supertype_heldout	super_02	74	20	158	0.75
hla_supertype_heldout	super_09	70	19	151	0.75
near_peptide_cluster_holdout	near_00	71	17	133	0.75
near_peptide_cluster_holdout	near_01	70	16	128	0.75
near_peptide_cluster_holdout	near_02	72	17	133	0.75
near_peptide_cluster_holdout	near_03	72	17	130	0.75
near_peptide_cluster_holdout	near_04	71	17	130	0.75
exact_peptide_hla_holdout	pmhc_00	71	17	132	0.75
exact_peptide_hla_holdout	pmhc_01	71	17	130	0.75
exact_peptide_hla_holdout	pmhc_02	71	16	126	0.75
exact_peptide_hla_holdout	pmhc_03	72	17	136	0.75
exact_peptide_hla_holdout	pmhc_04	71	17	128	0.75
study_heldout	study_00	80	16	125	0.75
study_heldout	study_01	9	5	39	0.3968890422906612
source_heldout_CEDAR	CEDAR	1487	192	1491	0.75
source_heldout_NEPdb	NEPdb	1824	892	6842	0.75
source_heldout_TESLA_mmc4	TESLA_mmc4	1791	1006	7734	0.75
source_heldout_TESLA_mmc7_validation	TESLA_mmc7_validation	2086	1039	7952	0.75
