split_name	model	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10
exact_peptide_hla_holdout	decoy_focal_positive_pattern	89	21	0.23595505617977527	0.20250429691319127	0.41596638655462187	0.2256393503977421	0.2	0.047619047619047616	0.8476190476190477	0.1	0.047619047619047616	0.42380952380952386
hla_stratified_group_5fold	decoy_focal_positive_pattern	89	21	0.23595505617977527	0.2585825050715931	0.5448179271708683	0.21299476144924628	0.2	0.047619047619047616	0.8476190476190477	0.1	0.047619047619047616	0.42380952380952386
hla_supertype_heldout	decoy_focal_positive_pattern	72	15	0.20833333333333334	0.3719638143777425	0.5976608187134503	0.17164645565125328	0.4	0.13333333333333333	1.92	0.3	0.2	1.44
near_peptide_cluster_holdout	decoy_focal_positive_pattern	89	21	0.23595505617977527	0.28419881225660953	0.5868347338935574	0.2127707594834939	0.2	0.047619047619047616	0.8476190476190477	0.1	0.047619047619047616	0.42380952380952386
repeated_stratified_5x5_internal	decoy_focal_positive_pattern	445	105	0.23595505617977527	0.21089274133957367	0.4438375350140056	0.2225575970263193	0.0	0.0	0.0	0.1	0.009523809523809525	0.42380952380952386
source_heldout_CEDAR	decoy_focal_positive_pattern	909	851	0.9361936193619362	0.932369063490702	0.508934721828275	0.9160482826604982	1.0	0.005875440658049354	1.0681551116333725	0.9	0.010575793184488837	0.9613396004700352
source_heldout_NEPdb	decoy_focal_positive_pattern	572	151	0.263986013986014	0.3957325911161289	0.6589639930156832	0.2617789762186151	1.0	0.033112582781456956	3.7880794701986753	0.6	0.039735099337748346	2.272847682119205
source_heldout_TESLA_mmc4	decoy_focal_positive_pattern	605	37	0.06115702479338843	0.07175741962011777	0.5232679862961553	0.06280483230554103	0.0	0.0	0.0	0.0	0.0	0.0
source_heldout_TESLA_mmc7_validation	decoy_focal_positive_pattern	310	4	0.012903225806451613	0.18672438672438674	0.9616013071895425	0.02252947284273701	0.2	0.25	15.5	0.2	0.5	15.5
study_heldout	decoy_focal_positive_pattern	9	5	0.5555555555555556	0.7100000000000001	0.75	0.5154203440434891	0.8	0.8	1.44	0.5555555555555556	1.0	1.0
