control_id	purpose	anchor_task	boundary_state	linked_tasks
claim_lock	allowed vs forbidden claims	t14-004	locked	1
bench_printout	bench-readable handoff files	t14-006	active	1
reviewer_matrix	objection-response matrix	t14-010	active	1
task_graph	dependency graph and owner map	t14-012	active	1
failure_registry	failure-action registry	t14-020	active	1
control_manifest	active vs locked controls	t14-005	locked	1
mosaic_bundle	single-screenshot bundle	t14-013	active	1
timeline	sequencing chart	t14-015	active	1
external_pilot	prospective pilot queue	t14-027	active	1
qa_pack	do-not-overcall checklist	t14-033	active	1
scoreboard	score comparison board	t14-023	active	1
claim_boundary	what is not claimed	t14-030	locked	1
risk_sum_lock	confirmatory risk sum fixed	t14-043	locked	1
figure_index	file anchors for all visuals	t14-021	active	1
deck_cut	editor/reviewer/lab cuts	t14-022	active	1
task_split	task granularity expansion	t14-001	active	1
owner_map	owner assignment sheet	t14-091	active	1
version_timeline	version timeline	t14-099	active	1
summary_pack	one-page summary pack	t14-098	active	1
retrospective_boundary	retrospective known-answer boundary	t14-030	locked	1
