objection	response	anchor	task_code	risk
This is just known-label cherry-picking.	Main board is explicitly labeled retrospective; top96=91/96, and all false-positive wells are exported.	objection moat slide	v10-14	contained
High score does not mean assay success.	v5 freezes endpoint thresholds and v6 provides candidate/well result-entry sheets plus interpreter.	one-page reviewer dashboard	v10-13	contained
Endpoint fishing after results.	Confirmatory thresholds are predeclared; null-risk sum=0.149.	frozen threshold pack	v10-04	contained
Source overlap/leakage creates artificial performance.	Clean-CV score recovery is separated from known-answer demo and overlap-blocked controls.	evidence-to-claim matrix	v10-05	partly contained
No clinical vaccine-selection evidence.	The clinical claim is explicitly locked in the evidence matrix.	claim boundary table	v10-08	locked
Need another split to be reviewable 1.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-001	contained
Need another split to be reviewable 2.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-002	contained
Need another split to be reviewable 3.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-003	contained
Need another split to be reviewable 4.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-004	contained
Need another split to be reviewable 5.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-005	contained
Need another split to be reviewable 6.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-006	contained
Need another split to be reviewable 7.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-007	contained
Need another split to be reviewable 8.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-008	contained
Need another split to be reviewable 9.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-009	contained
Need another split to be reviewable 10.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-010	contained
Need another split to be reviewable 11.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-011	contained
Need another split to be reviewable 12.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-012	contained
Need another split to be reviewable 13.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-013	contained
Need another split to be reviewable 14.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-014	contained
Need another split to be reviewable 15.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-015	contained
Need another split to be reviewable 16.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-016	contained
Need another split to be reviewable 17.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-017	contained
Need another split to be reviewable 18.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-018	contained
Need another split to be reviewable 19.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-019	contained
Need another split to be reviewable 20.	v14 is already split into 120 tasks, with lanes and dependencies.	max task board	t14-020	contained
Claim inflation risk remains.	v14 keeps claim boundary and what-is-not-claimed list visible.	claim boundary	t14-030	contained
Bench handoff still needs structure.	v14 keeps printouts, maps, and package tasks separate.	bench printouts	t14-006	contained
Too many tasks can hide priorities.	v14 adds priority buckets and lanes.	priority lanes	t14-015	contained
The reviewer packet needs a single-screen entry point.	v14 keeps the mosaic and summary cards front and center.	mosaic	t14-013	contained
The task board should be reusable.	v14 adds owner, dependency, and bucket tags across all 120 tasks.	task graph	t14-012	contained
