track	group	task_code	task	priority_score	task_id	status	lane	claim_boundary	dependency	priority_bucket	why_it_matters
analysis	external validation	t14-001	split the cohort list for the max-impact packet	0.995	MAX-DB8B6ED3	ready	analysis	analysis / claim-safe	v12-v13 boards	critical	bridges to prospective work
analysis	figure caption	t14-002	expand the sample list for the max-impact packet	0.991	MAX-CEFEF18D	ready	analysis	analysis / claim-safe	v12-v13 boards	critical	increases granularity
analysis	rebuttal	t14-003	crosswalk the assay list for the max-impact packet	0.987	MAX-78AB548B	ready	analysis	analysis / claim-safe	v12-v13 boards	critical	increases granularity
analysis	claim boundary	t14-004	bundle the readout list for the max-impact packet	0.983	MAX-FC7FB83C	ready	analysis	analysis / claim-safe	v12-v13 boards	critical	increases granularity
analysis	failure registry	t14-005	map the figure captions for the max-impact packet	0.979	MAX-72469B3A	ready	analysis	analysis / claim-safe	v12-v13 boards	critical	increases granularity
execution	bench printout	t14-006	queue the supplement captions for the max-impact packet	0.975	MAX-0E0B6402	ready	bench	execution / claim-safe	v12-v13 boards	critical	improves operational traceability
execution	result entry	t14-007	draft the deck captions for the max-impact packet	0.971	MAX-81CFA9AD	ready	bench	execution / claim-safe	v12-v13 boards	critical	increases granularity
execution	control sequence	t14-008	prepare the objection responses for the max-impact packet	0.967	MAX-71DAB4CC	ready	bench	execution / claim-safe	v12-v13 boards	critical	increases granularity
execution	handoff packaging	t14-009	index the failure actions for the max-impact packet	0.963	MAX-CB1826D4	ready	bench	execution / claim-safe	v12-v13 boards	critical	increases granularity
reviewer	objection response	t14-010	tag the control manifest for the max-impact packet	0.959	MAX-CE74C60D	ready	review	reviewer / claim-safe	v12-v13 boards	critical	increases granularity
reviewer	control board	t14-011	lock the claim ledger for the max-impact packet	0.955	MAX-9D3520C8	ready	review	reviewer / claim-safe	v12-v13 boards	critical	increases granularity
reviewer	claim safety	t14-012	mirror the task graph for the max-impact packet	0.951	MAX-28666FB1	ready	review	reviewer / claim-safe	v12-v13 boards	critical	increases granularity
reviewer	mosaic visual	t14-013	compress the owner map for the max-impact packet	0.947	MAX-EFFE70C1	ready	review	reviewer / claim-safe	v12-v13 boards	critical	increases granularity
next	prospective pilot	t14-014	isolate the deliverable map for the max-impact packet	0.943	MAX-8A26EF02	ready	backlog	next / claim-safe	v12-v13 boards	critical	increases granularity
next	qa checklist	t14-015	prioritize the bench printout for the max-impact packet	0.939	MAX-CA5FC178	ready	backlog	next / claim-safe	v12-v13 boards	critical	increases granularity
next	dependency crosswalk	t14-016	surface the result-entry template for the max-impact packet	0.935	MAX-C4BE3379	ready	backlog	next / claim-safe	v12-v13 boards	critical	increases granularity
next	do-not-overcall	t14-017	package the well map for the max-impact packet	0.931	MAX-327917AA	ready	backlog	next / claim-safe	v12-v13 boards	critical	increases granularity
next	summary pack	t14-018	route the reagent list for the max-impact packet	0.927	MAX-7B2A4EA8	ready	backlog	next / claim-safe	v12-v13 boards	high	increases granularity
next	version timeline	t14-019	catalog the one-page checklist for the max-impact packet	0.923	MAX-0746D59A	ready	backlog	next / claim-safe	v12-v13 boards	high	increases granularity
next	owner map	t14-020	annotate the what-is-not-claimed list for the max-impact packet	0.919	MAX-258FC552	ready	backlog	next / claim-safe	v12-v13 boards	high	increases granularity
analysis	external validation	t14-021	split the what-is-claimed-now list for the max-impact packet	0.915	MAX-4C8B9174	ready	analysis	analysis / claim-safe	v12-v13 boards	high	bridges to prospective work
analysis	figure caption	t14-022	expand the file-anchor table for the max-impact packet	0.911	MAX-B19EEFAE	ready	analysis	analysis / claim-safe	v12-v13 boards	high	increases granularity
analysis	rebuttal	t14-023	crosswalk the scoreboard comparison for the max-impact packet	0.907	MAX-00714DE7	ready	analysis	analysis / claim-safe	v12-v13 boards	high	increases granularity
analysis	claim boundary	t14-024	bundle the timeline chart for the max-impact packet	0.903	MAX-7E12DD6D	ready	analysis	analysis / claim-safe	v12-v13 boards	high	increases granularity
analysis	failure registry	t14-025	map the mosaic page for the max-impact packet	0.899	MAX-C1953C2C	ready	analysis	analysis / claim-safe	v12-v13 boards	high	increases granularity
execution	bench printout	t14-026	queue the priority lanes for the max-impact packet	0.895	MAX-25C2C27B	ready	bench	execution / claim-safe	v12-v13 boards	high	improves operational traceability
execution	result entry	t14-027	draft the cohort list for the max-impact packet	0.891	MAX-DAD3C707	ready	bench	execution / claim-safe	v12-v13 boards	high	increases granularity
execution	control sequence	t14-028	prepare the sample list for the max-impact packet	0.887	MAX-57C31E99	ready	bench	execution / claim-safe	v12-v13 boards	high	increases granularity
execution	handoff packaging	t14-029	index the assay list for the max-impact packet	0.883	MAX-A1231EC8	ready	bench	execution / claim-safe	v12-v13 boards	high	increases granularity
reviewer	objection response	t14-030	tag the readout list for the max-impact packet	0.879	MAX-25FA1090	ready	review	reviewer / claim-safe	v12-v13 boards	high	increases granularity
reviewer	control board	t14-031	lock the figure captions for the max-impact packet	0.875	MAX-4CD8E9E7	ready	review	reviewer / claim-safe	v12-v13 boards	high	increases granularity
reviewer	claim safety	t14-032	mirror the supplement captions for the max-impact packet	0.871	MAX-4AE4D2AD	ready	review	reviewer / claim-safe	v12-v13 boards	high	increases granularity
reviewer	mosaic visual	t14-033	compress the deck captions for the max-impact packet	0.867	MAX-D3378238	ready	review	reviewer / claim-safe	v12-v13 boards	high	increases granularity
next	prospective pilot	t14-034	isolate the objection responses for the max-impact packet	0.863	MAX-BFE557E9	ready	backlog	next / claim-safe	v12-v13 boards	high	increases granularity
next	qa checklist	t14-035	prioritize the failure actions for the max-impact packet	0.859	MAX-F2B248DF	ready	backlog	next / claim-safe	v12-v13 boards	high	increases granularity
next	dependency crosswalk	t14-036	surface the control manifest for the max-impact packet	0.855	MAX-2EE1FB14	ready	backlog	next / claim-safe	v12-v13 boards	high	increases granularity
next	do-not-overcall	t14-037	package the claim ledger for the max-impact packet	0.851	MAX-015B3B1B	ready	backlog	next / claim-safe	v12-v13 boards	high	increases granularity
