dataset_id,local_path,source_url,assay_type,sample_count,phenotype_labels,allowed_analysis,forbidden_analysis,manual_review_required,notes
RR_DBGAP_TBD,N/A,https://www.ncbi.nlm.nih.gov/gap/,Mixed,NEEDS_MANUAL_REVIEW,Mixed,N/A,All — credentials required first,YES,Cataloged but not downloaded; do not access without authorization
RR_EGA_TBD,N/A,https://ega-archive.org/,Mixed,NEEDS_MANUAL_REVIEW,Mixed,N/A,All — credentials required first,YES,Cataloged but not downloaded; do not access without authorization
RR_DBGAP_TCGA_RAW_BAMS,N/A,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000178,WGS/WXS/RNA-seq raw,~507 thyroid + others,Pan-cancer,N/A,HLA typing from these BAMs would violate Paper-1/Paper-2 separation,YES,If credentials ever granted these BAMs are NOT to be used for any Paper-1 HLA imputation
RR_EGA_KOREAN_TBD,N/A,https://ega-archive.org/,Mixed,NEEDS_MANUAL_REVIEW,Mixed,N/A,All — credentials required,YES,Cataloged but not downloaded
RR_KOREA_BIOBANK,N/A,https://www.nih.go.kr/ko/main/contents.do?menuNo=300566,Mixed,>200000,Multiple,N/A,All — application required,YES,IRB + KCDC application path
RR_TCGA_PROTECTED_BAMS,N/A,https://gdc.cancer.gov/access-data/data-access-policies,WGS/WXS/RNA-seq protected,~507,Pan-cancer,N/A,Same as RR_DBGAP_TCGA_RAW_BAMS — explicit secondary record,YES,Belt-and-suspenders entry — never use for Paper-1 HLA imputation
RR_BBMRI,N/A,https://www.bbmri-eric.eu/,Mixed,NEEDS_MANUAL_REVIEW,Thyroid endpoints,N/A,Application required,YES,European biobank consortium
RR_ALL_OF_US,N/A,https://allofus.nih.gov/,Mixed,>500000,Multiple endpoints,N/A,Application required,YES,US multi-ancestry biobank
RR_GENESDOTAI,N/A,N/A,Mixed,NEEDS_MANUAL_REVIEW,Mixed,N/A,All — credentials required,YES,Cataloged but not accessed
RR_KOEX,N/A,https://nih.go.kr/,Mixed,NEEDS_MANUAL_REVIEW,Multiple,N/A,Application required,YES,KoGES sub-cohort
RR_HEXA,N/A,https://nih.go.kr/,Mixed,NEEDS_MANUAL_REVIEW,Multiple,N/A,Application required,YES,KoGES sub-cohort
RR_TOPMED_THYROID,N/A,https://topmed.nhlbi.nih.gov/,WGS + phenotype,>180000 WGS,Multiple endpoints,N/A,Application required,YES,US multi-ancestry whole-genome
RR_KOREAN_GENOME_PROJECT,N/A,https://koreangenome.org/,WGS,>10000 WGS,Population reference,N/A,Application required,YES,Korean WGS reference
RR_AMR_KOREAN,N/A,NEEDS_MANUAL_REVIEW,GWAS / WGS,NEEDS_MANUAL_REVIEW,Multiple endpoints,N/A,Application required,YES,Asian-specific risk score consortium
RR_KCGA,N/A,NEEDS_MANUAL_REVIEW,WGS + RNA-seq,NEEDS_MANUAL_REVIEW,Multi-cancer Korean (verify),N/A,Application required,YES,Verify whether KCGA exists as separate from KoGES
RR_KOREAN_HEREDITARY_CANCER,N/A,NEEDS_MANUAL_REVIEW,Genetic testing,NEEDS_MANUAL_REVIEW,Hereditary cancer,N/A,Application required,YES,Familial / hereditary subset
RR_KARE,N/A,https://nih.go.kr/,GWAS + phenotype,>8000,Multiple endpoints,N/A,Application required,YES,KoGES sub-cohort
RR_KOR_NEXTGEN,N/A,NEEDS_MANUAL_REVIEW,WGS,NEEDS_MANUAL_REVIEW,Population reference,N/A,Application required,YES,Verify project name and scope
RR_FRENCH_THYROID,N/A,NEEDS_MANUAL_REVIEW,Mixed,NEEDS_MANUAL_REVIEW,Multiple thyroid subtypes,N/A,Application required,YES,Consortium access via collaborators
RR_GLOBAL_THYROID_NET,N/A,NEEDS_MANUAL_REVIEW,Mixed,NEEDS_MANUAL_REVIEW,Multi-country thyroid,N/A,Application required,YES,Global registry placeholder
