dataset_id,local_path,source_url,assay_type,sample_count,phenotype_labels,allowed_analysis,forbidden_analysis,manual_review_required,notes
P2_SHIN_2019,data_registry/paper2_hla_autoimmune/shin_2019/ (planned),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0223334,HLA typing,NEEDS_MANUAL_REVIEW,GD + HD pediatric,AITD HLA support,Cancer claim,YES,[VERIFIED-MANUAL-NEEDED] Verify exact DOI/PMID
P2_CHO_2011,data_registry/paper2_hla_autoimmune/cho_2011/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,NEEDS_MANUAL_REVIEW,HD + GD,AITD HLA support,Cancer claim,YES,[VERIFIED-MANUAL-NEEDED] Locate PMID via PubMed search
P2_PARK_2005,data_registry/paper2_hla_autoimmune/park_2005/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,NEEDS_MANUAL_REVIEW,GD,GD-specific HLA,HT/PTC generalization without explicit caveat,YES,[VERIFIED-MANUAL-NEEDED] GD-only — do not generalize to HT
P2_JANG_2011,data_registry/paper2_hla_autoimmune/jang_2011/ (planned),NEEDS_MANUAL_REVIEW,HLA-DRB1 SBT,NEEDS_MANUAL_REVIEW,GD,GD-specific HLA-DRB1,Cancer claim,YES,[VERIFIED-OK] SBT data — gold standard typing
P2_KOGES_KWAK_2014,data_registry/paper2_hla_autoimmune/koges_kwak_2014/ (planned),NEEDS_MANUAL_REVIEW,GWAS summary stats,NEEDS_MANUAL_REVIEW,Thyroid autoimmunity quant traits,Thyroid autoimmunity genetics context,HLA allele association without primary data,YES,GWAS summary stats only — do not claim allele association without primary genotype data
P2_FINNGEN_THYROID,data_registry/paper2_hla_autoimmune/finngen_thyroid/ (planned),https://www.finngen.fi/en/access_results,GWAS summary stats,NEEDS_MANUAL_REVIEW,Thyroid autoimmunity endpoints,Non-Korean replication context,Direct allele claim transfer to Korean cohort,YES,Ancestry caveat mandatory — Finnish ≠ Korean
P2_GWAS_CATALOG,data_registry/paper2_hla_autoimmune/gwas_catalog/ (planned),https://www.ebi.ac.uk/gwas/efotraits/EFO_0003884,GWAS summary,NEEDS_MANUAL_REVIEW,Multiple thyroid endpoints,HLA-region vs non-HLA loci context,Direct allele claim without primary data,YES,Extract HLA-region loci and non-HLA loci separately
P2_IEU_OPENGWAS,data_registry/paper2_hla_autoimmune/ieu_opengwas/ (planned),https://gwas.mrcieu.ac.uk/,GWAS summary stats,NEEDS_MANUAL_REVIEW,Thyroid phenotypes,Summary-stats access for thyroid phenotypes,Cancer claim,YES,Verify availability per phenotype
P2_BBJ_THYROID,data_registry/paper2_hla_autoimmune/bbj_thyroid/ (planned),https://biobankjp.org/en/,GWAS / phenotype data,NEEDS_MANUAL_REVIEW,Thyroid endpoints,East Asian replication context,Direct claim transfer to Korean cohort without ancestry caveat,YES,Verify access route — may require application
P2_UKBB_THYROID,data_registry/paper2_hla_autoimmune/ukbb_thyroid/ (planned),https://www.ukbiobank.ac.uk/,GWAS summary stats,NEEDS_MANUAL_REVIEW,Thyroid endpoints,Non-Korean comparison only,Direct claim transfer,YES,Application required for primary data; some summary stats public via Pan-UKBB
P2_TOMER_GD_HLA,data_registry/paper2_hla_autoimmune/tomer_aitd/ (planned),NEEDS_MANUAL_REVIEW,HLA typing aggregated,NEEDS_MANUAL_REVIEW,GD + HT,AITD HLA literature anchor,Cancer claim or non-Korean direct transfer,YES,[VERIFIED-MANUAL-NEEDED] Reviews — extract primary-data tables only
P2_BEDNARCZUK_GD,data_registry/paper2_hla_autoimmune/bednarczuk_gd/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,NEEDS_MANUAL_REVIEW,GD,Non-Korean GD reference,Direct allele transfer to Korean cohort,YES,[VERIFIED-MANUAL-NEEDED] Ancestry caveat mandatory
P2_CHU_2018_GD,data_registry/paper2_hla_autoimmune/chu_2018/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,NEEDS_MANUAL_REVIEW,GD,Paper 4 reserve (per memory v18_paper2_HT_isolated),Paper 2 main pillar (deprecated framing),YES,[VERIFIED-MANUAL-NEEDED] Per 2026-05-04 reframe Chu 2018 GD comparator → Paper 4 reserve
P2_HU_CHINESE_AITD,data_registry/paper2_hla_autoimmune/hu_chinese_aitd/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,NEEDS_MANUAL_REVIEW,GD + HT,East Asian AITD reference,Cancer claim or direct Korean transfer,YES,[VERIFIED-MANUAL-NEEDED] Verify exact paper
