dataset_id,local_path,source_url,assay_type,sample_count,phenotype_labels,allowed_analysis,forbidden_analysis,manual_review_required,notes
P2_AFND_KOR,data_registry/reference_population_hla/afnd_south_korea/ (planned),http://www.allelefrequencies.net/,HLA typing aggregated from many studies,varies by allele,Healthy reference,Population baseline for Paper 2 Pillar I v2,Cancer claim,NO,Distinguish allele frequency from carrier frequency in every export
P2_AFND_EAS,data_registry/reference_population_hla/afnd_east_asian/ (planned),http://www.allelefrequencies.net/,HLA typing aggregated,varies by allele,Healthy reference,Ancestry sensitivity baseline,Cancer claim,NO,Use as sensitivity comparison
P2_AFND_GLOBAL,data_registry/reference_population_hla/afnd_global/ (planned),http://www.allelefrequencies.net/,HLA typing aggregated,varies by allele,Healthy reference,Ancestry baseline only,Cancer claim,NO,Cosmetic baseline; ancestry caveat mandatory
P2_KOR_5802,data_registry/reference_population_hla/korean_5802/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,5802,Healthy reference,Korean healthy population reference,Cancer claim,YES,[VERIFIED-MANUAL-NEEDED] Locate exact PMID before extraction
P2_BAEK_2021,data_registry/reference_population_hla/baek_2021/ (planned),NEEDS_MANUAL_REVIEW,HLA-NGS class II,NEEDS_MANUAL_REVIEW,Reference,Korean class II reference,Cancer claim,YES,[VERIFIED-MANUAL-NEEDED] Class II NGS — high resolution
P2_IPD_IMGT_HLA,data_registry/reference_population_hla/ipd_imgt_hla/ (planned),https://www.ebi.ac.uk/ipd/imgt/hla/,Allele nomenclature,N/A,Reference,Allele nomenclature + sequence validation,Use as a frequency baseline,NO,Reference for allele names — NOT a frequency database
P2_AFND_KOR_ROH_2010,data_registry/reference_population_hla/roh_2010/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,NEEDS_MANUAL_REVIEW,Healthy reference,Korean class I + II reference,Cancer claim,YES,Locate exact PMID
P2_KMDP_HLA,data_registry/reference_population_hla/kmdp_hla/ (planned),https://www.kmdp.or.kr/,HLA typing,>200000 donors,Healthy reference,Largest Korean HLA dataset,Cancer claim,NO,Aggregate frequency tables only — individual data restricted
P2_HLA_NET_KOR,data_registry/reference_population_hla/hla_net_kor/ (planned),https://hla-net.eu/,HLA frequencies,NEEDS_MANUAL_REVIEW,Healthy reference,Cross-network reference,Cancer claim,YES,Verify availability
P2_PARK_2010_KORHLA,data_registry/reference_population_hla/park_2010_5802/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,5802,Healthy reference,Korean reference (likely same as P2_KOR_5802),Cancer claim,YES,[VERIFIED-MANUAL-NEEDED] Confirm whether duplicate of P2_KOR_5802
P2_KCDC_KORHLA,data_registry/reference_population_hla/kcdc_korhla/ (planned),https://www.kdca.go.kr/,HLA typing,NEEDS_MANUAL_REVIEW,Healthy reference,Korean public-health HLA reference,Cancer claim,YES,Aggregate only
P2_HLA_LIGAND_ATLAS,data_registry/reference_population_hla/hla_ligand_atlas/ (planned),https://hla-ligand-atlas.org/,Immunopeptidomics MS,tens of thousands of peptides,Healthy peptidome,HLA-presented peptide reference (NOT germline),Mistaken use as germline allele frequency reference,NO,Peptide presentation reference — NOT a germline frequency database
P2_NETMHC_REF,data_registry/reference_population_hla/netmhcpan/ (planned),https://services.healthtech.dtu.dk/services/NetMHCpan-4.1/,Affinity prediction,N/A,Reference,Allele-specific peptide-binding prediction,Stand-alone allele frequency claim,NO,Predictive tool — not data
P2_AFND_GRAVES_REF,data_registry/reference_population_hla/afnd_gd/ (planned),http://www.allelefrequencies.net/,HLA typing aggregated,NEEDS_MANUAL_REVIEW,GD,Disease-cohort comparator (Paper 4 reserve),Direct Korean Paper 2 inclusion without ancestry caveat,YES,Disease-cohort frequencies (cases) ≠ population baseline
P2_AFND_HASHIMOTO_REF,data_registry/reference_population_hla/afnd_ht/ (planned),http://www.allelefrequencies.net/,HLA typing aggregated,NEEDS_MANUAL_REVIEW,HT,HT case-cohort comparator,Direct Korean Paper 2 inclusion without ancestry caveat,YES,Disease-cohort frequencies (cases) ≠ population baseline
P2_BMDW,data_registry/reference_population_hla/bmdw/ (planned),https://www.bmdw.org/,HLA typing,>40 million donors,Healthy reference,Global HLA reference,Direct individual-level claim,NO,Aggregate-only access; merged with Search & Match Service
P2_NMDP_HAPLO,data_registry/reference_population_hla/nmdp_haplo/ (planned),https://bioinformatics.bethematchclinical.org/,HLA haplotypes,>20 million,Healthy reference,US ancestry-stratified HLA haplotype baseline,Direct Korean transfer,NO,Ancestry caveat mandatory
P2_NEXTGENDONORS_KOR,data_registry/reference_population_hla/korean_donors/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,NEEDS_MANUAL_REVIEW,Healthy reference,Recent Korean baseline,Cancer claim,YES,Search PubMed for 2020-2025 Korean HLA donor refs
P2_HLA_TYPER_TOOLS,data_registry/reference_population_hla/hla_typers/ (planned),https://github.com/RabadanLab/arcasHLA,Software tools,N/A,Reference,Tool documentation only — already used arcasHLA on K2/GSE213647,Stand-alone allele frequency claim,NO,Cross-tool validation reference
P2_HLA_KOR_KIM_2014,data_registry/reference_population_hla/kim_2014/ (planned),NEEDS_MANUAL_REVIEW,HLA-DPB1 typing,NEEDS_MANUAL_REVIEW,Healthy + AITD reference,DPB1*05:01 56% Korean reference per memory v17_arcasHLA_korean_k2,Cancer claim,YES,[VERIFIED-MANUAL-NEEDED] Replicates Kim 2014 finding referenced in arcasHLA K2 work
