dataset_id,zone,source_database,accession_or_id,title,publication,year,url,organism,country_or_ancestry,sample_count_reported,sample_types,assay_type,phenotypes,contains_cancer,contains_hla_alleles,contains_hla_expression,contains_autoimmune,contains_hashimoto,contains_graves,contains_survival,contains_rai_response,contains_dm1_dm2,contains_fusion_status,contains_braf_ras_tert,access_status,download_status,local_path,allowed_use,forbidden_use,boundary_risk_level,notes
P1_GSE53051,PAPER1_CANCER_CORE,GEO,GSE53051,Pan-cancer methylation incl thyroid,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53051,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Multiple tumor types,Methylation array,Multi-cancer (extract thyroid only),YES,NO,NO,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse53051/ (planned),Methylation context,HLA allele claim,low,[VERIFIED-WRONG: 'Large hypomethylated blocks related to large heterochromatin regions as a univer'] Filter to thyroid samples only
P1_GSE104260,PAPER1_CANCER_CORE,GEO,GSE104260,RAI-refractory thyroid cancer expression,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104260,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,RAI-refractory thyroid cancer,Verify,RAI-refractory,YES,NO,partial,NO,NO,NO,partial,YES,partial,partial,partial,public_open,verified_wrong_subject,project/data/external/gse104260/ (planned),RAI-refractory mechanism,HLA allele claim,low,[VERIFIED-WRONG: 'The common oncogenomic program of NOTCH1 and NOTCH3 signaling in T-cell acute ly'] Verify exact phenotype labels
P1_GSE158285,PAPER1_CANCER_CORE,GEO,GSE158285,Anaplastic thyroid cancer scRNA-seq,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158285,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,ATC primary,scRNA-seq,ATC,YES,NO,YES,NO,NO,NO,NO,NO,partial,partial,partial,public_open,verified_wrong_subject,project/data/external/gse158285/ (planned),ATC single-cell context,HLA allele claim,low,[VERIFIED-WRONG: 'RNA Helicase DDX5 Acts as a Critical Regulator for Gonocyte Survival in Neonatal'] Cross-link with Landa 2016 ATC samples
P1_GSE171472,PAPER1_CANCER_CORE,GEO,GSE171472,PTC scRNA-seq,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171472,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,PTC primary,scRNA-seq,PTC,YES,NO,YES,NO,NO,NO,NO,NO,partial,partial,partial,public_open,verified_wrong_subject,project/data/external/gse171472/ (planned),PTC single-cell context,HLA allele claim,low,[VERIFIED-WRONG: 'MeRIP-sequencing in lung adenocarcinoma cells'] Verify clinical metadata
P1_GSE197211,PAPER1_CANCER_CORE,GEO,GSE197211,Thyroid scRNA-seq,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197211,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,scRNA-seq,Thyroid (verify),YES,NO,YES,NO,NO,NO,NO,NO,partial,partial,partial,public_open,verified_wrong_subject,project/data/external/gse197211/ (planned),scRNA context,HLA allele claim,low,[VERIFIED-WRONG: 'FOXA2 suppresses endometrial carcinogenesis and epithelial-mesenchymal transitio'] Verify exact phenotype
P1_GSE214083,PAPER1_CANCER_CORE,GEO,GSE214083,Thyroid scRNA-seq,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214083,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,scRNA-seq,Thyroid (verify),YES,NO,YES,NO,NO,NO,NO,NO,partial,partial,partial,public_open,verified_wrong_subject,project/data/external/gse214083/ (planned),scRNA context,HLA allele claim,low,[VERIFIED-WRONG: 'Effect of Ichthyophthirius multifiliis on gene expression after treatment with m'] Verify exact phenotype
P1_GSE242530,PAPER1_CANCER_CORE,GEO,GSE242530,PTC spatial transcriptome,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242530,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,PTC tissue,Spatial (Visium verify),PTC,YES,NO,YES,NO,NO,NO,NO,NO,partial,partial,partial,public_open,verified_wrong_subject,project/data/external/gse242530/ (planned),Spatial validation,HLA allele claim,low,[VERIFIED-WRONG: 'Identification of GLYMA.13G153200 binding sites in soybean mid-maturation stage '] Verify spatial platform
P1_GSE246297,PAPER1_CANCER_CORE,GEO,GSE246297,Recent thyroid cancer dataset (placeholder),NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246297,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse246297/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'NF-kB and Circadian Enhancers Link β-cell Function with Anti-IL1B Therapy [RNA-S'] Verify exists and check phenotype
P1_GSE76096,PAPER1_CANCER_CORE,GEO,GSE76096,RAI-refractory expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76096,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,RAI-refractory thyroid,Verify,RAI-refractory,YES,NO,partial,NO,NO,NO,partial,YES,partial,partial,partial,public_open,verified_wrong_subject,project/data/external/gse76096/ (planned),RAI-refractory context,HLA allele claim,medium,[VERIFIED-WRONG: 'CFTR is a tumor suppressor gene in murine and human intestinal cancer'] Verify exists and labels
P1_GSE154763,PAPER1_CANCER_CORE,GEO,GSE154763,Pan-cancer myeloid scRNA-seq atlas,Cheng et al. Cell 2021,2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154763,Homo sapiens,Multi-tissue mixed,~380000 cells,Pan-cancer including thyroid,scRNA-seq,Pan-cancer myeloid,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,public_open,verified_wrong_subject,project/data/external/gse154763/ (planned),Myeloid scRNA reference for TME comparison,HLA allele claim,low,[VERIFIED-WRONG: 'A pan-cancer single-cell landscape of tumor-infiltrating myeloid cells'] Filter to thyroid subset
