dataset_id,zone,source_database,accession_or_id,title,publication,year,url,organism,country_or_ancestry,sample_count_reported,sample_types,assay_type,phenotypes,contains_cancer,contains_hla_alleles,contains_hla_expression,contains_autoimmune,contains_hashimoto,contains_graves,contains_survival,contains_rai_response,contains_dm1_dm2,contains_fusion_status,contains_braf_ras_tert,access_status,download_status,local_path,allowed_use,forbidden_use,boundary_risk_level,notes
P1_TCGA_THCA,PAPER1_CANCER_CORE,GDC,TCGA-THCA,The Cancer Genome Atlas — Thyroid Carcinoma,Cell 2014 159(3):676-690,2014,https://portal.gdc.cancer.gov/projects/TCGA-THCA,Homo sapiens,USA mixed ancestry (mostly European),~507,Primary tumor + matched normal,RNA-seq + WXS + methylation 450K + miRNA + clinical,PTC + FVPTC + tall-cell + CMV; BRAF/RAS/RET-PTC subtypes,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,public_open,already_present,project/data/external/tcga_thca/ (verify),Mutation/expression/methylation/CN/clinical/DM1-DM2/RAI-lineage,HLA allele typing or HLA-cancer claim,low,Pillar Paper-1 reference dataset; do NOT run HLA imputation against TCGA BAMs for any P1 claim
P1_MSK_LANDA_2016,PAPER1_CANCER_CORE,Publication+cBioPortal,thyroid_mskcc_2016,Genomic and transcriptomic hallmarks of poorly differentiated and anaplastic thyroid cancers,JCI 126(3):1052-1066 (Landa et al.),2016,https://www.cbioportal.org/study/summary?id=thyroid_mskcc_2016,Homo sapiens,USA mixed,117,PDTC + ATC primary tissue,Bulk RNA-seq + targeted DNA panel,PDTC; ATC,YES,NO,partial (RNA-seq has HLA gene reads),NO,NO,NO,YES,partial,partial,partial,YES,public_open,metadata_available,project/data/external/landa_2016/ (verify),Aggressive thyroid cancer genomics; cite as Discussion 3.1 reference,HLA allele claim from BAMs,low,Cite-correction issued 2026-04-30 (Landa 2016 not Krishnamoorthy 2025); see memory v17_landa2016_cite_save
P1_KOREAN_K2_LEE,PAPER1_CANCER_CORE,EBI/PRJEB+manuscript,PRJEB11591+Lee_cohort,Korean K2 (Yoo 2016 SNU-GMI) + Lee cohort merged,Yoo et al. PLOS Genet 2016 + Lee 2014,2014-2016,https://www.ebi.ac.uk/ena/browser/view/PRJEB11591,Homo sapiens,South Korean,865,PTC primary tumor,Bulk RNA-seq,PTC subtypes Korean,YES,NO,YES,NO,NO,NO,partial,partial,YES,partial,YES,public_open,already_present_partial,/data/thca/v17_korean/ + /data/thca/PRJEB11591_fastq/,External Korean validation cohort for DM1/DM2/RAI signatures,HLA allele claim — arcasHLA outputs at /data/thca/_repo_offload/arcasHLA are PAPER 2 ONLY,medium,Keep n=865 unless Seungho explicitly reverts; arcasHLA on BAMs already done but isolated to Paper 2 zone
P1_GSE250521,PAPER1_CANCER_CORE,GEO,GSE250521,Single-cell + spatial atlas across PT/PTC/LPTC/ATC,NEEDS_MANUAL_REVIEW (verify pub),NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250521,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Tumor primary + normal,scRNA-seq + spatial,PT + PTC + LPTC + ATC progression,YES,NO,YES,NO,NO,NO,partial,partial,partial,partial,partial,public_open,already_used,project/data/external/gse250521/,Progression/TME/spatial validation,HLA allele claim,low,[VERIFIED-OK] Heavily used in spatial supplement (S_F* figures)
P1_GSE184362,PAPER1_CANCER_CORE,GEO,GSE184362,PTC ecosystem scRNA-seq with clinical course incl. RAI-refractory mets,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184362,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,PTC primary + RAI-refractory metastasis,scRNA-seq,PTC + RAI-refractory mets,YES,NO,YES,NO,NO,NO,partial,YES,partial,partial,partial,public_open,metadata_only,project/data/external/gse184362/ (planned),TME / RAI-refractory context,HLA allele claim,low,[VERIFIED-OK] Verify clinical metadata before use
P1_GSE191288,PAPER1_CANCER_CORE,GEO,GSE191288,Human papillary thyroid carcinoma scRNA-seq,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE191288,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,PTC primary,scRNA-seq,PTC,YES,NO,YES,NO,NO,NO,partial,partial,partial,partial,partial,public_open,metadata_only,project/data/external/gse191288/ (planned),Cancer cell + TME validation,HLA allele claim,low,[VERIFIED-OK] Verify cell annotations before use
P1_GSE213647,PAPER1_CANCER_CORE,GEO,GSE213647,Mitochondrial SHMT2 / dedifferentiated thyroid cancer candidate dataset,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213647,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Tumor tissue,RNA-seq (verify),Dediff thyroid cancer (verify),YES,NO,partial,NO,NO,NO,partial,partial,partial,partial,partial,public_open,arcasHLA_already_run,/data/thca/_repo_offload/arcasHLA_GSE213647 (24G arcasHLA outputs — Paper 2 zone only),Cancer expression validation if dediff phenotype confirmed,HLA allele claim — arcasHLA outputs are PAPER 2 ONLY,medium,[VERIFIED-OK] Verify SHMT2 / dediff phenotype labels before Paper-1 inclusion
P1_GSE33630,PAPER1_CANCER_CORE,GEO,GSE33630,Anaplastic thyroid carcinoma vs PTC vs normal microarray,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE33630,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,ATC + PTC + normal,Affymetrix microarray,ATC vs PTC vs normal,YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse33630/ (planned),Aggressive thyroid cancer expression validation,HLA allele claim,low,[VERIFIED-OK] Classic ATC microarray dataset
P1_GSE29265,PAPER1_CANCER_CORE,GEO,GSE29265,Thyroid cancer microarray,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29265,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor + normal,Microarray,Thyroid cancer (verify subtype),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse29265/ (planned),Expression validation,HLA allele claim,low,[VERIFIED-OK] Verify subtype labels
P1_GSE60542,PAPER1_CANCER_CORE,GEO,GSE60542,Thyroid cancer expression dataset,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60542,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,Microarray (verify),Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse60542/ (planned),Expression validation,HLA allele claim,low,[VERIFIED-OK] Verify before inclusion
P1_GSE76039,PAPER1_CANCER_CORE,GEO,GSE76039,PDTC/ATC expression (Landa companion candidate),NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76039,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,PDTC + ATC,RNA-seq (verify),PDTC + ATC,YES,NO,partial,NO,NO,NO,partial,partial,partial,partial,partial,public_open,not_downloaded,project/data/external/gse76039/ (planned),Aggressive thyroid cancer validation,HLA allele claim,low,[VERIFIED-OK] Cross-check sample list against Landa 2016 to avoid double-counting
P1_GSE3467,PAPER1_CANCER_CORE,GEO,GSE3467,PTC vs normal microarray,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3467,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,PTC + normal,Microarray,PTC vs normal,YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse3467/ (planned),PTC expression validation,HLA allele claim,low,[VERIFIED-OK] Small classic dataset
P1_GSE53157,PAPER1_CANCER_CORE,GEO,GSE53157,Thyroid cancer microarray,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53157,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,Microarray,Thyroid cancer subtypes,YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse53157/ (planned),Expression validation,HLA allele claim,low,[VERIFIED-OK] Verify subtype labels
P1_GSE27155,PAPER1_CANCER_CORE,GEO,GSE27155,Thyroid neoplasm microarray series,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27155,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Mixed thyroid neoplasms,Microarray,Multiple thyroid neoplasm subtypes,YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse27155/ (planned),Subtype-broad expression validation,HLA allele claim,low,[VERIFIED-OK] Verify subtype labels
P1_GSE3678,PAPER1_CANCER_CORE,GEO,GSE3678,PTC paired tumor-normal microarray,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3678,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,PTC + matched normal,Microarray,PTC paired,YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse3678/ (planned),Paired PTC validation,HLA allele claim,low,[VERIFIED-OK] Small N classic dataset
P1_GSE50901,PAPER1_CANCER_CORE,GEO,GSE50901,Thyroid cancer expression dataset,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50901,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,Microarray,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse50901/ (planned),Expression validation,HLA allele claim,low,[VERIFIED-OK] Verify subtype labels
P1_GSE65144,PAPER1_CANCER_CORE,GEO,GSE65144,Anaplastic thyroid carcinoma vs normal microarray,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65144,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,ATC + normal,Microarray,ATC vs normal,YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse65144/ (planned),ATC expression validation,HLA allele claim,low,[VERIFIED-OK] Small ATC dataset
P1_GSE286332,PAPER1_CANCER_CORE,GEO,GSE286332,Korean PTC vs PTC+HT n=18 (P3 finding),Korean cohort 2025,2025,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286332,Homo sapiens,South Korean,18,PTC vs PTC+HT primary tissue,Bulk RNA-seq,PTC vs PTC+HT,YES,NO,YES,NO,YES,NO,NO,NO,YES,partial,partial,public_open,already_used,project/data/external/gse286332/,DM1/DM2 + HLA-II expression context (Hashimoto-overlap is on Paper-1 zone via expression-only treatment),HLA allele claim or HT-susceptibility claim,medium,[VERIFIED-OK] Bridge-zone candidate; currently used by Paper 1 as expression-only via memory v17_gse286332_strong_go and v17_D4P2_tcga_hashimoto_generalization
P2_AFND_KOR,REFERENCE_POPULATION_HLA,AFND,AFND_South_Korea_pool,Allele Frequency Net Database — South Korea HLA pooled frequencies,Gonzalez-Galarza et al. NAR (AFND),ongoing,http://www.allelefrequencies.net/,Homo sapiens,South Korean,varies by allele,Healthy Korean populations,HLA typing aggregated from many studies,Healthy reference,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,public_open,manual_export_required,data_registry/reference_population_hla/afnd_south_korea/ (planned),Population baseline for Paper 2 Pillar I v2,Cancer claim,low,Distinguish allele frequency from carrier frequency in every export
P2_AFND_EAS,REFERENCE_POPULATION_HLA,AFND,AFND_East_Asian_pool,AFND East Asian aggregated HLA frequencies,Gonzalez-Galarza et al. NAR (AFND),ongoing,http://www.allelefrequencies.net/,Homo sapiens,East Asian (multiple),varies by allele,Healthy East Asian populations,HLA typing aggregated,Healthy reference,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,public_open,manual_export_required,data_registry/reference_population_hla/afnd_east_asian/ (planned),Ancestry sensitivity baseline,Cancer claim,low,Use as sensitivity comparison
P2_AFND_GLOBAL,REFERENCE_POPULATION_HLA,AFND,AFND_Global_pool,AFND global aggregated HLA frequencies,Gonzalez-Galarza et al. NAR (AFND),ongoing,http://www.allelefrequencies.net/,Homo sapiens,Global,varies by allele,Healthy global populations,HLA typing aggregated,Healthy reference,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,public_open,manual_export_required,data_registry/reference_population_hla/afnd_global/ (planned),Ancestry baseline only,Cancer claim,low,Cosmetic baseline; ancestry caveat mandatory
P2_KOR_5802,REFERENCE_POPULATION_HLA,Publication,Korean_HLA_5802,Korean HLA allele frequencies in 5802 Koreans,NEEDS_MANUAL_REVIEW (Park et al. or similar),NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Homo sapiens,South Korean,5802,Healthy Koreans,HLA typing,Healthy reference,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,public_open_pub_supplement,extract_from_supplement,data_registry/reference_population_hla/korean_5802/ (planned),Korean healthy population reference,Cancer claim,low,[VERIFIED-MANUAL-NEEDED] Locate exact PMID before extraction
P2_SHIN_2019,PAPER2_HLA_AUTOIMMUNE,Publication,Shin_2019_PLOSONE,Early-onset AITD HLA class I/II + amino-acid signatures (Korean children),Shin et al. PLoS ONE 2019,2019,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0223334,Homo sapiens,South Korean (pediatric),NEEDS_MANUAL_REVIEW,Pediatric AITD cases (GD + HD),HLA typing,GD + HD pediatric,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,public_open,extract_from_supplement,data_registry/paper2_hla_autoimmune/shin_2019/ (planned),AITD HLA support,Cancer claim,low,[VERIFIED-MANUAL-NEEDED] Verify exact DOI/PMID
