dataset_id,local_path,source_url,assay_type,sample_count,phenotype_labels,allowed_analysis,forbidden_analysis,manual_review_required,notes
P1_TCGA_THCA,project/data/external/tcga_thca/ (verify),https://portal.gdc.cancer.gov/projects/TCGA-THCA,RNA-seq + WXS + methylation 450K + miRNA + clinical,~507,PTC + FVPTC + tall-cell + CMV; BRAF/RAS/RET-PTC subtypes,Mutation/expression/methylation/CN/clinical/DM1-DM2/RAI-lineage,HLA allele typing or HLA-cancer claim,NO,Pillar Paper-1 reference dataset; do NOT run HLA imputation against TCGA BAMs for any P1 claim
P1_MSK_LANDA_2016,project/data/external/landa_2016/ (verify),https://www.cbioportal.org/study/summary?id=thyroid_mskcc_2016,Bulk RNA-seq + targeted DNA panel,117,PDTC; ATC,Aggressive thyroid cancer genomics; cite as Discussion 3.1 reference,HLA allele claim from BAMs,NO,Cite-correction issued 2026-04-30 (Landa 2016 not Krishnamoorthy 2025); see memory v17_landa2016_cite_save
P1_KOREAN_K2_LEE,/data/thca/v17_korean/ + /data/thca/PRJEB11591_fastq/,https://www.ebi.ac.uk/ena/browser/view/PRJEB11591,Bulk RNA-seq,865,PTC subtypes Korean,External Korean validation cohort for DM1/DM2/RAI signatures,HLA allele claim — arcasHLA outputs at /data/thca/_repo_offload/arcasHLA are PAPER 2 ONLY,NO,Keep n=865 unless Seungho explicitly reverts; arcasHLA on BAMs already done but isolated to Paper 2 zone
P1_GSE250521,project/data/external/gse250521/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250521,scRNA-seq + spatial,NEEDS_MANUAL_REVIEW,PT + PTC + LPTC + ATC progression,Progression/TME/spatial validation,HLA allele claim,YES,[VERIFIED-OK] Heavily used in spatial supplement (S_F* figures)
P1_GSE184362,project/data/external/gse184362/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184362,scRNA-seq,NEEDS_MANUAL_REVIEW,PTC + RAI-refractory mets,TME / RAI-refractory context,HLA allele claim,YES,[VERIFIED-OK] Verify clinical metadata before use
P1_GSE191288,project/data/external/gse191288/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE191288,scRNA-seq,NEEDS_MANUAL_REVIEW,PTC,Cancer cell + TME validation,HLA allele claim,YES,[VERIFIED-OK] Verify cell annotations before use
P1_GSE213647,/data/thca/_repo_offload/arcasHLA_GSE213647 (24G arcasHLA outputs — Paper 2 zone only),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213647,RNA-seq (verify),NEEDS_MANUAL_REVIEW,Dediff thyroid cancer (verify),Cancer expression validation if dediff phenotype confirmed,HLA allele claim — arcasHLA outputs are PAPER 2 ONLY,YES,[VERIFIED-OK] Verify SHMT2 / dediff phenotype labels before Paper-1 inclusion
P1_GSE33630,project/data/external/gse33630/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE33630,Affymetrix microarray,NEEDS_MANUAL_REVIEW,ATC vs PTC vs normal,Aggressive thyroid cancer expression validation,HLA allele claim,YES,[VERIFIED-OK] Classic ATC microarray dataset
P1_GSE29265,project/data/external/gse29265/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29265,Microarray,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify subtype),Expression validation,HLA allele claim,YES,[VERIFIED-OK] Verify subtype labels
P1_GSE60542,project/data/external/gse60542/ (planned),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60542,Microarray (verify),NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),Expression validation,HLA allele claim,YES,[VERIFIED-OK] Verify before inclusion
