sample_id	n_spots_post_qc	RAI_8_n_genes	TDS_overlap_n_genes	THYROID_NONOVERLAP_n_genes	CAF_ECM_n_genes	EMT_n_genes	Hypoxia_n_genes	Proliferation_n_genes	Epithelial_n_genes	RAI_8_genes	TDS_overlap_genes	THYROID_NONOVERLAP_genes	CAF_ECM_genes	EMT_genes	Hypoxia_genes	Proliferation_genes	Epithelial_genes	dataset	condition
GSM7221915_P1	3566	8	6	8	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	SLC26A4,IYD,DUOX1,DUOX2,TFF3,HHEX,GLIS3,DIO2	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2	GSE230424	PTC_HT
GSM7221916_P2	3005	8	6	8	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	SLC26A4,IYD,DUOX1,DUOX2,TFF3,HHEX,GLIS3,DIO2	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2	GSE230424	PTC_HT
GSM7221917_P3	2961	8	6	8	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	SLC26A4,IYD,DUOX1,DUOX2,TFF3,HHEX,GLIS3,DIO2	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2	GSE230424	PTC_HT
GSM7221918_P4	4601	8	6	8	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	SLC26A4,IYD,DUOX1,DUOX2,TFF3,HHEX,GLIS3,DIO2	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2	GSE230424	PTC_HT
GSM7908359_C1	1064	8	6	8	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	SLC26A4,IYD,DUOX1,DUOX2,TFF3,HHEX,GLIS3,DIO2	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2	GSE248205	CONTROL
GSM7908360_C2	1744	8	6	8	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	SLC26A4,IYD,DUOX1,DUOX2,TFF3,HHEX,GLIS3,DIO2	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2	GSE248205	CONTROL
GSM7908364_GD1	2266	8	6	8	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	SLC26A4,IYD,DUOX1,DUOX2,TFF3,HHEX,GLIS3,DIO2	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2	GSE248205	GD
GSM7908365_GD2	2005	8	6	8	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	SLC26A4,IYD,DUOX1,DUOX2,TFF3,HHEX,GLIS3,DIO2	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2	GSE248205	GD
GSM7908366_GD3	1969	8	6	8	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	SLC26A4,IYD,DUOX1,DUOX2,TFF3,HHEX,GLIS3,DIO2	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2	GSE248205	GD
GSM7908361_HT1	1927	8	6	8	10	10	9	7	5	TPO,DIO1,TSHR,PAX8,TG,FOXE1,NKX2-1,SLC5A5	TG,TPO,TSHR,SLC5A5,DIO1,PAX8	SLC26A4,IYD,DUOX1,DUOX2,TFF3,HHEX,GLIS3,DIO2	COL1A1,COL1A2,COL3A1,COL6A1,DCN,LUM,FAP,ACTA2,PDGFRB,POSTN	VIM,FN1,SNAI1,SNAI2,ZEB1,ZEB2,TWIST1,CDH2,ITGA5,ITGB1	VEGFA,CA9,SLC2A1,LDHA,PDK1,BNIP3,NDRG1,EGLN3,ADM	MKI67,TOP2A,PCNA,MCM2,MCM5,STMN1,CENPF	EPCAM,KRT8,KRT18,KRT19,TACSTD2	GSE248205	HT
