accession	title	modality	status	score_total	paperability	validation	bd	paperable	validation_ready	bd_ready	flags	tier	best_task	why	caveat	source
GSE290722	Longitudinal single-cell immunoprofiling links durable CAR T response to sustained activation and clonotypic expansion of the native cytotoxic T cell repertoire	CAR-T response durability	GO	15	5	5	5	True	True	True	3	TRIPLE	response durability / native repertoire expansion / outcome prediction	longitudinal patient data ties native T-cell dynamics to durable CAR-T response	LBCL-specific; use as response framework, not universal CAR-T biology	turn1search1; turn1search7; turn1search9
GSE303153	Synergistic Effect of Nucleoside Modification and Ionizable Lipid Composition on Translation and Immune Responses to mRNA Vaccines	mRNA vaccine platform	GO	15	5	5	5	True	True	True	3	TRIPLE	vaccine translation / innate response / formulation ranking	very large, translational mRNA-LNP dataset with direct formulation readouts	not cancer-specific; use as platform chemistry support	turn3view0 L23-L29; turn3view3 L32-L32
GSE270430	Allogeneic HSPC-engineered CD33-targeting CAR-NKT cells synergize with hypomethylating agents for effective and safe treatment of myeloid malignancies	CAR-NKT	GO	14	5	4	5	True	False	True	2	DUAL	cell-therapy prioritization / off-the-shelf design	off-the-shelf CAR-NKT plus HMA synergy is a strong translational and BD hook	still preclinical; selection and safety need orthogonal validation	turn4view1 L23-L28
GSE274141	Single-Cell RNA Sequencing Identifies Molecular Biomarkers Predicting Late Progression to CDK4/6 Inhibition in Patients with HR+/HER2- Metastatic Breast Cancer [FFPE]	CDK4/6 biomarker / endocrine resistance	GO	14	5	5	4	True	True	False	2	DUAL	late-progression biomarker / endocrine resistance / PFS prediction	large human FFPE cohort with direct progression biomarker utility	breast-cancer specific; keep claims tied to CDK4/6/endocrine context	turn1search2; turn1search10
GSE284026	NR2F6 deletion revives CAR-T cell function and induces antigen-agnostic immune memory in solid tumors	NR2F6 CAR-T solid tumor	GO	14	5	5	4	True	True	False	2	DUAL	solid-tumor persistence / immune memory / transcriptional brake removal	recent solid-tumor CAR-T engineering with a durable memory readout	mouse system; use as mechanism and platform support, not clinical proof	turn3search2; turn3search6
GSE289437	PARP inhibitors elicit distinct transcriptional programs in homologous recombination repair competent castrate resistant prostate cancer	PARP inhibitor	GO	14	5	5	4	True	True	False	2	DUAL	resistance / sensitization / biomarker discovery	clean perturbation logic and strong cross-cohort reuse potential	commercial relevance depends on a narrow biomarker route	turn4view7 L23-L27
GSE303442	RELB Reprograms Exhausted Tumor-Infiltrating Lymphocytes for Improved Adoptive Cell Therapy	TIL adoptive therapy	GO	14	5	5	4	True	True	False	2	DUAL	TIL expansion / exhaustion rescue / product potency	clean adoptive-cell-therapy productization signal with organoid and xenograft support	still a manufacturing/productivity layer, not direct clinical outcome evidence	turn3search3; turn3search8
GSE308384	Dextran-based T-cell expansion nanoparticles for manufacturing CAR T cells with augmented efficacy	CAR-T manufacturing	GO	14	4	5	5	False	True	True	2	DUAL	manufacturing QC / expansion / process optimization	clear process metric and direct industrial relevance; expansion nanoparticles are close to a deployable workflow	process paper, not proof of superior clinical efficacy	turn4view0 L23-L28
GSE311267	Syndecan-1-targeted therapeutic antibody inhibits macropinocytosis and induces antitumor immunity in pancreatic cancer	therapeutic antibody / PDAC	GO	14	5	4	5	True	False	True	2	DUAL	antibody target prioritization / KRAS-driven PDAC combination logic	human-specific antibody with combination synergy against KRAS-driven PDAC	PDAC-specific biology; adapt carefully outside KRAS/SDC1 contexts	turn1search0; turn1search3
GSE313971	Rational redesign of antigen binding domain improves in vivo efficacy of the CD22-CAR	CD22-CAR tonic signaling	GO	14	5	5	4	True	True	False	2	DUAL	tonic signaling / antigen-binding redesign / CAR fitness	direct CAR design optimization with a concrete clinical failure mode	human sample size is modest; keep efficacy claims platform-level	turn3search0; turn3search4
GSE236468	Restoration of LAT signaling through the expression of a novel Adjunctive LAT-Activating CAR (ALA-CART) enhances the antigen-sensitivity and persistence of CAR T cells	CAR-T signaling	GO	13	5	4	4	True	False	False	1	SINGLE	antigen-sensitivity / persistence / signal engineering	directly addresses antigen-low relapse, a classic translational bottleneck	effects are model-dependent and need safety framing	turn4view3 L23-L33
GSE290830	Harnessing STING Signaling and Natural Killer Cells to overcome PARP Inhibitor Resistance in Homologous Recombination Repair altered Breast Cancer [scRNA-seq]	PARP combo / STING / NK	GO	13	5	4	4	True	False	False	1	SINGLE	combo prioritization / immune rescue / resistance reversal	exactly the sort of resistance-to-combo bridge that can become a decision engine	species and experimental system should be checked before a claim	turn1search10 snippet
GSE292621	Single cell multi-omics reveals re-dosing with CD3 bispecific antibody induces a TCF7 high central memory CD8+ T cell population associated with reduced cytokine production	bispecific / CD3 engager	GO	13	5	4	4	True	False	False	1	SINGLE	dose scheduling / memory-state shift / cytokine risk	directly informs re-dosing strategy and cytokine-risk management	use as IO schedule support, not universal efficacy proof	turn4view9 L23-L28
GSE292859	CRISPR engineering of armored CAR T cells enables tumor-restricted payload delivery with enhanced safety and efficacy	armored CAR-T	GO	13	4	4	5	False	False	True	1	SINGLE	payload localization / tumor-restricted delivery / safety	tumor-localized cytokine delivery is highly BD-friendly and process-adjacent	n is small; keep it as design support rather than definitive validation	turn4view2 L23-L28
GSE294241	T-cell dysfunction during blinatumomab therapy in pediatric acute lymphoblastic leukemia	blinatumomab / therapy response	GO	13	5	4	4	True	False	False	1	SINGLE	response durability / T-cell dysfunction / dosing window	direct therapy-response study with longitudinal patient sampling and a practical dosing question	disease-specific and pediatric; do not overgeneralize beyond B-ALL	turn3search1; turn3search9
GSE298158	Single dose of CD137-Antibody Drug Conjugate protects non-human primate allogeneic HCT recipients against acute GVHD	CD137-ADC	GO	13	4	5	4	False	True	False	1	SINGLE	activated-T-cell depletion / safety / allogeneic transplant control	ADC crosses human, NHP, and mouse and gives a strong safety-design readout	transplant lane, not oncology; keep separate from efficacy-only claims	turn3search2
GSE304795	pTα enhances mRNA translation and potentiates CAR T cells for solid tumor eradication [eCLIP-seq]	CAR-T translation / solid tumor	GO	13	5	4	4	True	False	False	1	SINGLE	translation control / persistence / solid tumor potency	one of the strongest recent examples for engineering CAR-T into solid tumors	published late; keep claim boundary at platform support	turn2view8 L23-L30
GSE312384	BACH2 regulates T cell lineage states to enhance CAR T cell function [ATAC-seq]	CAR-T lineage state	GO	13	5	4	4	True	False	False	1	SINGLE	lineage-state / exhaustion rescue / epigenetic regulation	BACH2 is a central lever for CAR function and clinical outcome association appears in the series	ATAC-seq mechanism support, not direct patient release assay	turn2view2 L28-L47
GSE291443	Engineering an in vivo charging station for CAR-redirected invariant natural killer T cells to enhance cancer therapy	CAR-iNKT	GO	12	4	4	4	False	False	False	0	SINGLE	persistence / recruitment / local activation	in vivo activation architecture is a strong cell-therapy platform concept	therapy is still a platform design, not a disease-specific clinical proof	turn4view5 L23-L30
