heldout_study	method	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10
CEDAR	sourceheld_counterfactual_rf	913	851	0.932092004381161	0.9324671440661002	0.44981236495963	0.36596021612680846	1.0	0.005875440658049354	1.072855464159812	1.0	0.011750881316098707	1.072855464159812
NEPdb	sourceheld_counterfactual_rf	886	354	0.39954853273137697	0.4062529036142202	0.4998247737989041	0.26180400539631693	0.0	0.0	0.0	0.0	0.0	0.0
TESLA_mmc4	sourceheld_counterfactual_rf	610	37	0.060655737704918035	0.06904192878354729	0.567756237913306	0.24289268014064458	0.0	0.0	0.0	0.0	0.0	0.0
TESLA_mmc7_validation	sourceheld_counterfactual_rf	319	6	0.018808777429467086	0.057559933250117296	0.7476038338658147	0.21393296869490017	0.0	0.0	0.0	0.0	0.0	0.0
CEDAR	sourceheld_prespecified_late_fusion_w0.5	913	851	0.932092004381161	0.9225434644595703	0.4443349380235776	0.410916253335453	1.0	0.005875440658049354	1.072855464159812	0.9	0.010575793184488837	0.9655699177438308
NEPdb	sourceheld_prespecified_late_fusion_w0.5	886	354	0.39954853273137697	0.3944124811314486	0.4774807782167283	0.29380334056646473	0.0	0.0	0.0	0.0	0.0	0.0
TESLA_mmc4	sourceheld_prespecified_late_fusion_w0.5	610	37	0.060655737704918035	0.058376118483179244	0.4720060374510636	0.31181224880450964	0.0	0.0	0.0	0.0	0.0	0.0
TESLA_mmc7_validation	sourceheld_prespecified_late_fusion_w0.5	319	6	0.018808777429467086	0.01746471582538406	0.31735889243876464	0.24176044122115914	0.0	0.0	0.0	0.0	0.0	0.0
CEDAR	sourceheld_qk_compact_gamma1	913	851	0.932092004381161	0.9267438507831547	0.4613168568287783	0.5276384932319151	0.8	0.004700352526439483	0.8582843713278496	0.9	0.010575793184488837	0.9655699177438308
NEPdb	sourceheld_qk_compact_gamma1	886	354	0.39954853273137697	0.40642565475609194	0.4826366764368548	0.4014077667799855	0.4	0.005649717514124294	1.001129943502825	0.4	0.011299435028248588	1.001129943502825
TESLA_mmc4	sourceheld_qk_compact_gamma1	610	37	0.060655737704918035	0.051662525285099695	0.43790387245884627	0.4767137774437636	0.0	0.0	0.0	0.0	0.0	0.0
TESLA_mmc7_validation	sourceheld_qk_compact_gamma1	319	6	0.018808777429467086	0.014596475774591404	0.1805111821086262	0.350284076837968	0.0	0.0	0.0	0.0	0.0	0.0
