figure_id_or_filename	current_topic	intended_message	actual_message	problem_found	action	why	suggested_caption_logic	reviewer_risk
F1 (proposed)	clinical workflow + RAI-lineage premise	Current workflow has post-RAI failure delay; compact transcriptomic readout could flag RAI-lineage failure earlier	(needs build)	—	keep_main	Sets clinical motivation BEFORE molecular details	"Current vs future triage workflow with RAI-lineage compact readout as candidate flag"	high — must avoid validated RAI predictor claim
F2 (axis robustness + 8-gene readout)	driver-orthogonal axis + ARI ladder + 8-gene readout	8-gene ARI 0.49 modest by design; TIERA67 0.90 ≈ pan-genome top-5000 0.92; driver-only ≈ 0	files: project/results/v17_realfix/figures/FigR4_1_master_panel.png + ARI ladder	—	keep_main	Discovery vs deployment 2-layer; defends compactness	"Axis robust at panel-restriction; 8-gene = deployable readout"	high — reviewer Q3 anchor
F3 (external validation summary)	GSE76039 + GPL570 4-cohort	Direction-consistent lineage silencing across cohorts; ρ -0.84 to -0.94 DM1_like vs NONOVERLAP	external_dm1_nonoverlap_scatter_grid.png + external_direction_consistency_forest.png + external_rai_lineage_boxplots.png	—	keep_main	§4.3 zero-overlap defense	"Two non-overlapping panels co-collapse — system-wide lineage silencing"	medium — disclose microarray vs RNA-seq + within-dataset z
F4 (aggressive cohort + survival meta)	TCGA + MSK-IMPACT pooled OS	Pooled DM1 vs DM2 OS HR 2.53; MSK-IMPACT bias panel disclosed	requires PFI primary endpoint switch (OS event 3.4% sparse)	OS-only is misleading because of age confound; need PFI as primary	reframe	OS sparse → PFI primary; OS as secondary; bias panel SA6 mandatory	"PFI primary endpoint due to TCGA-THCA OS sparsity (3.4%); MSK-IMPACT advanced-disease anchor with explicit bias disclosure"	high — age confound + OS swap
F5 (mechanism support)	HM450 promoter methylation + TF_collapse + STAT3_AP1_DNMT	DM1 has elevated promoter methylation on lineage genes; mechanism arm direction-consistent	v17_realfix/figures + p_landa_2016/gse76039_mechanism_heatmap.png	—	keep_main	Use "consistent with" not "demonstrates"	"Mechanism support arm: lineage TF collapse + DNMT/STAT3/AP-1 program direction-consistent"	medium — never claim causality
external_rai_lineage_boxplots.png	histology boxplots per cohort × score	Already done — 4 cohorts × 3 scores grid	—	—	keep_main	Direct visual check	"3 scores × 4 cohorts; ATC always lowest in RAI/NONOVERLAP/TDS"	low
external_dm1_nonoverlap_scatter_grid.png	DM1_like vs NONOVERLAP scatter, 4 cohorts	Zero-overlap anti-correlation ρ -0.84 to -0.94	—	—	keep_main	§4.3 anchor	Y axis = NONOVERLAP score (8 different lineage genes); X = DM1_like (= -RAI_8); ρ ≤ -0.84 in 4 cohorts	low
external_direction_consistency_forest.png	advanced vs DTC + advanced vs normal forest	Direction-consistent across dataset × score × contrast	—	—	keep_main	Replication strength visualization	"Cohen's d forest; opaque = p<0.05"	low
external_dataset_qc_heatmap.png	gene panel availability per cohort	8/8 RAI_8 + 8/8 NONOVERLAP coverage in all 4 cohorts	—	—	move_supp	QC support, not headline	"All panel genes available after probe-to-gene collapse"	low
p_landa_2016/gse76039_mechanism_heatmap.png	Discussion §3.1 cite-save evidence	5/8 panel overlap + advanced-disease silencing	—	—	keep_main (or supp SD1)	Reverse-causality cite-save (Landa 2016)	"Krishnamoorthy attribution corrected to Landa et al. 2016 J Clin Invest"	low
v17_realfix/figures/FigR3_1_gse76039_roc.png	GSE76039 ROC for 8-gene	—	—	—	move_supp	Internal classifier; supplementary not main	—	low
v17_realfix/figures/FigR4_1_master_panel.png	master multi-panel	Diagnosis bundle	—	—	move_supp	—	—	low
v17_realfix/figures/FigR2_2_delta_auc_forest.png	ΔAUC across panel sizes	8 vs 16 ΔAUC = 0.013 NS	—	—	move_supp	Justifies 8 over 16	"Panel-size sensitivity"	low
project/results/v17/figures.html legacy figs	old assemblage	—	—	mixed (some current; some superseded)	move_supp	Audit individual panels	—	medium
project_external_st/results/extra/q5_thyroid_tf_network.png	10-gene network (RAI_8 + HHEX + TRPS1)	"FOXE1/NKX2-1/PAX8/HHEX TF backbone moves together"	includes TRPS1 which is ad-hoc + caption mismatch with 8-gene framing	caption-vs-content mismatch	drop or reframe	TRPS1 not canonical thyroid lineage	If kept, retitle "exploratory extended lineage TF panel (incl. TRPS1)" + supplementary only	high — drop preferred; replace with FIG_clean_8gene_and_16gene_correlation.png from dm1_subcluster_diagnosis_2026_05_07/
project/results/dm1_subcluster_diagnosis_2026_05_07/FINAL_dm_survival_pfi_fix.png	OS+PFI 4-way KM + stage panel	OS sparse (3.4%) → PFI primary; DM2 older (age confound); stage⊥DM	NEW — generated 2026-05-07	—	keep_main	Replaces the OS-only panel	"OS uninformative; PFI separates with age + stage adjustment"	high — must keep age caveat
project/results/dm1_subcluster_diagnosis_2026_05_07/FIG_clean_8gene_and_16gene_correlation.png	8-gene self + 16-gene zero-overlap	8/8 internal coherence; cross-panel ρ +0.44 demonstrates §4.3 defense	NEW — generated 2026-05-07	replaces 10-gene q5_thyroid_tf_network ad-hoc figure	keep_main	Clean replacement	"Panel A: 8-gene RAI_8 self-correlation; Panel B: 16-gene zero-overlap RAI_8 ⊕ NONOVERLAP cross-panel"	medium
project/results/figures_for_advisor/fig_2x4_RAI_DM1_per_stage.png	GSE250521 spatial 2x4 grid PT/PTC/LPTC/ATC	Spatial gradient PT→ATC of RAI_8/DM1	"PT" = Para-Tumor (normal adjacent); sample-mean stage trend MARGINAL	caption fix needed (PT meaning); spatial signal weak	move_supp	Spatial = supportive supp; main is GPL570 4-cohort	"PT (Para-Tumor adjacent normal); sample-mean stage trend p>0.6; depth-corrected p~0.18; supportive only"	high — never overclaim spatial
GSE250521 stage trend	spatial trajectory	—	—	weak signal	move_supp or drop	—	—	high
H&E / WSI / pathology figures	pathology DM1 inference	predicted not feasible	NO-GO closure complete	—	drop	"H&E DM1 closure" lock; do not retry	—	high — no_go memory
TROP2 spatial / external	tumor-population TROP2	demoted; no main claim	GPL570 bulk-microarray heterogeneous/negative	—	drop or move_supp	TROP2 demotion lock; never title or main	"Exploratory tumor-level TROP2 observation in TCGA only"	very high — never title; never spatial claim
TIERA67 ARI ladder (pan-genome)	robustness ladder	−0.007 → 0.49 → 0.90 → 0.92	—	—	keep_main_or_supp	Required for axis-not-artifact defense	"Driver-only ARI ≈ 0; 8-gene ARI 0.49 (modest by design); TIERA67 0.90; pan-genome top-5000 0.92"	high — reviewer Q3
single-cell GSE184362/193581/241184 panels	thyrocyte-intrinsic 8-gene + author-independence	r=0.798-0.886 per patient	—	—	move_supp	Supplementary mechanism layer; not main story	"Thyrocyte-intrinsic; not dependent on stromal/immune compartment"	medium
GSE213647 (Lee 2024 Korean) replication	Korean external	22-28% Hashimoto-like ≈ TCGA	—	—	keep_main	East-Asian generalizability	"Korean cohort N=632 preserves DM-score boundary"	low
K2 NBNR phenotype	Korean BRAF/RAS-negative	mixed phenotype; vascular invasion enrichment	—	—	keep_main	Korean clinical cohort applicability	"NBNR mixed phenotype with vascular-invasion enrichment in DM1"	medium
