figure_id	file_name	version_source	biological_axis	cohort	paper_role	recommended_tier	claim_strength	risk_level	include_reason	exclude_or_archive_reason	manuscript_usage_sentence_draft	needs_recalculation	notes
S_F1	S_F1_DM1_niche_2d_density.png	v1	DM1_axis	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Early DM1 niche density visualization	Superseded by S_F19 stage representative DM1 maps	[AUTHOR VOICE NEEDED: DM1 niche 2D density overview]	NO	
S_F2	S_F2_driver_orthogonal_box.png	v1	Driver_orthogonal	GSE250521	Paper2_Pillar1_support	SUPPLEMENTARY_FIGURE	MODERATE_SUPPORT	LOW	Driver-orthogonal axis exists at spot level		[AUTHOR VOICE NEEDED: Driver-orthogonal axis box]	NO	
S_F3	S_F3_HT_TLS_spatial_panel.png	v1	HT_TLS	GSE230424	Paper2_Pillar2_main	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	Early HT TLS panel; superseded by S_F8 16-slide layout		[AUTHOR VOICE NEEDED: HT TLS preview]	NO	
S_F4	S_F4_GSE248205_baseline.png	v1	Autoimmune_baseline	GSE248205	Paper2_neg_control	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	Early GSE248205 baseline; superseded by S_F36		[AUTHOR VOICE NEEDED: GSE248205 negative-control baseline]	NO	
S_F5	S_F5_TROP2_spot_distribution.png	v1	TROP2_niche	GSE250521	Paper2_Pillar1_support	SUPPLEMENTARY_FIGURE	MODERATE_SUPPORT	LOW	Per-sample TROP2 spot distribution (full cohort)		[AUTHOR VOICE NEEDED: TROP2 spot distribution per sample]	NO	
S_F6	S_F6_cross_cohort_integration.png	v1	Cross_cohort_TROP2	ALL_28_3cohort	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	Earlier 3-cohort integration; superseded by S_F11		[AUTHOR VOICE NEEDED: cross-cohort TROP2 overview]	NO	
S_F7	S_F7_TROP2_maps_GSE250521.png	v2	TROP2_niche	GSE250521	Paper2_Pillar1_main	MAIN_FIGURE	STRONG_SUPPORT	LOW	Visual evidence: TROP2 spatially organized in 8/8 PTC+LPTC slides		[AUTHOR VOICE NEEDED: TROP2 16-slide spatial maps demonstrate tumor-specific niche organization in GSE250521]	NO	
S_F8	S_F8_HT_TLS_maps_GSE230424.png	v2	HT_TLS	GSE230424	Paper2_Pillar2_main	MAIN_FIGURE	STRONG_SUPPORT	MEDIUM	HT-overlap PTC TLS niche directly visible 4/4 slides (n=4 risk)		[AUTHOR VOICE NEEDED: HT TLS 4-slide spatial maps support Pillar II HT immune niche]	NO	n=4 PTC+HT — flag in reviewer risk
S_F9	S_F9_TROP2_ranked_morans.png	v2	TROP2_niche	GSE250521	Paper2_Pillar1_support	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	LOW	Per-sample ranked Moran's I quantification of S_F7		[AUTHOR VOICE NEEDED: ranked Moran's I per sample (post-fix)]	DONE_2026_05_07	REMADE 2026-05-07 with hex 6-nbr; values now from spatial_morans_v7plus_2026_05_07.tsv
S_F10	S_F10_TROP2_DM1_colocalization.png	v2	TROP2_x_DM1	GSE250521	Paper2_Pillar1_support	SUPPLEMENTARY_FIGURE	MODERATE_SUPPORT	LOW	Spatial co-localization TROP2 × DM1 axis		[AUTHOR VOICE NEEDED: TROP2-DM1 spatial co-localization]	NO	
S_F11	S_F11_cross_cohort_heatmap.png	v2	Cross_cohort_TROP2	ALL_28_3cohort	Paper2_Pillar1_main	MAIN_FIGURE	STRONG_SUPPORT	LOW	Quantitative: TROP2 niche tumor-specific across 28 samples / 3 cohorts (post-fix)		[AUTHOR VOICE NEEDED: cross-cohort 28×12 axis Moran's I heatmap (post-fix hex 6-nbr)]	DONE_2026_05_07	REMADE 2026-05-07; PTC 0.33-0.58, LPTC 0.25-0.57 confirmed; PTC_HT TROP2 0.02-0.19 (lower) flagged
S_F12	S_F12_DM1_maps_representative.png	v2	DM1_axis	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Representative DM1 maps; superseded by S_F19 16-slide		[AUTHOR VOICE NEEDED: DM1 representative maps]	NO	
