dataset_id	citation_or_source	platform	sample_type	disease_scope	cohort_style	n_samples	used_for	contains_benign_only	contains_cancer_only	contains_mixed_benign_and_cancer	contains_HT	contains_GD	contains_ATC_PDTC	contains_only_aggressive_cases	risk_of_scope_mismatch	keep_for_main	reason_keep_or_drop	notes
TCGA-THCA	TCGA Cell 2014; cBioPortal `thca_tcga_pub`	Illumina HiSeq RNA-seq + HM450 + WES	primary tumor	mixed (PTC dominant; PDTC/ATC sparse)	broad_population	~504 RNA-seq / 503 HM450 / TERT⁺ n=36	discovery	no	yes (primary tumor)	no	likely some HT-overlap	no	yes (small subset)	no	low	yes	Discovery cohort; defines DM1/DM2/not_DM partition; methylation arm; main n=504 universe	OS event rate 3.4% — primary endpoint should be PFI (event rate 11.6%); age confound dominant
TCGA-THCA HM450	TCGA-THCA methylation	Illumina HM450	primary tumor	same as TCGA-THCA	mechanism_support	503	mechanism	no	yes	no	—	no	subset	no	low	yes	Promoter methylation evidence for lineage silencing (Fig 8)	TPO d=2.30, mean panel β 0.385 vs 0.253; fusion-independence panel
cBioPortal `thca_tcga_pub`	cBioPortal	cBioPortal mutation+SV+clinical curation	primary tumor	same as TCGA-THCA	discovery	~504 (TERT⁺ n=36 recovered)	discovery	no	yes	no	—	no	subset	no	low	yes	Source of TERT⁺ recovery + structural variant SV table for fusion analysis	Necessary for Fig 4A (8-cell BRAF×TERT×DM) and Fig 7B (fusion enrichment)
MSK-IMPACT thyroid	Landa 2016 Cell; cBioPortal `thca_mskcc_2016`	targeted DNA + clinical	advanced primary	advanced (84 PDTC + 33 ATC)	aggressive_enriched	117	aggressive_replication	no	yes	no	—	no	yes (all)	yes	medium	yes	Advanced-disease anchor for pooled OS HR meta (Fig 6A); explicit bias panel SA6	100% advanced; do NOT mix into primary-tumor prevalence claims; aggressive-bias must be disclosed
GSE76039	Landa 2016 JCI; GPL570	microarray	advanced primary	PDTC + ATC RNA-seq subset	aggressive_enriched	~37	external_validation	no	yes	no	—	no	yes	yes	medium	yes	Advanced-disease anchor; Discussion §3.1 reverse-causality cite-save; SD1 figure	Bulk-microarray subset of Landa 2016 deposit; 5/8 panel overlap with TDS-core
GSE33630	GEO; Maenhaut/Detours	GPL570	primary tumor	ATC + PTC + Normal	external_validation	105 (11 ATC / 49 PTC / 45 N)	external_validation	no	mixed	yes	—	no	yes	no	low	yes	Largest external GPL570 cohort; main external replication panel; ρ −0.93 with NONOVERLAP	Cleanest 3-arm dataset; both panels co-collapse in advanced
GSE65144	GEO	GPL570	primary tumor	ATC + Normal	external_validation	25 (12 ATC / 13 N)	external_validation	no	mixed	yes	—	no	yes	no	low	yes	Main supporting external; ATC vs normal contrast d=−2.79	Cleanest ATC vs normal binary contrast
GSE29265	GEO	GPL570	primary tumor	ATC + PTC + paired-Normal	external_validation	49 (9 ATC / 20 PTC / 20 paired-N)	external_validation	no	mixed	yes	—	no	yes	no	low	supplementary_only	Supp; paired-normal architecture; smaller effect sizes	Sporadic vs Chernobyl design (post-Chernobyl PTC included)
GSE53157	GEO	GPL570	primary tumor	PDTC + cPTC + FVPTC + FTC + N + commercial pool	external_validation	26 after pool drop (5 PDTC / 7 PTC / 8 FVPTC / 4 FTC / 2 N)	external_validation	no	mixed	yes	—	no	yes (5 PDTC)	no	medium	supplementary_only	Sensitivity only; PDTC arm n=5 underpowered; direction-consistent	Drop commercial RNA pool sample; do not over-interpret PDTC stats
GSE126698	GEO; Hüttelmaier lab	Illumina HiScanSQ RNA-seq	primary tumor	ATC + PTC + FTC + Normal	external_validation	28	dropped	no	mixed	yes	—	no	yes	no	high	no	DROP at access — Series Matrix is metadata-only; supp files are DE summaries; raw=SRA-only; alignment forbidden by spec	Failed access check; do not include in any external panel claim
GSE213647	Lee 2024 Korean PTC	RNA-seq	primary tumor	Korean PTC	external_validation	632	external_validation	no	yes	no	some HT-overlap	no	no	no	low	yes	Korean external main; 22-28% Hashimoto-like ≈ TCGA 18-20%; preservation of DM-score boundary	Largest Korean cohort; Asian generalizability anchor
K2 / PRJEB11591	Yoo 2016 SNU-GMI	RNA-seq	primary tumor	Korean PTC + NBNR cluster	external_validation	~260	external_validation	no	yes	no	some	no	no	no	medium	yes	Korean independent cohort; NBNR cluster bridges DM1 sub-B; mini-index calibration mismatch documented	Per-gene inflation 4.9–12.5×; use within-sample-centered profile (not absolute)
GSE286332	Korean PTC ± Hashimoto	RNA-seq	primary tumor	PTC + PTC+HT	mechanism_support	18	dropped (Paper 2 territory)	no	yes	no	yes	no	no	no	high	no	HT-overlap dataset is Paper 2 main scope; do NOT touch in Paper 1 framing	Paper 2 boundary; v18_paper2_HT_isolated rule
GSE184362	Pu 2021 Nat Commun, Fudan	scRNA	primary tumor + adjacent normal	PTC scRNA	mechanism_support	6 patients / 158K cells	mechanism	no	mixed (tumor + adjacent N)	yes	—	no	no	no	low	supplementary_only	Single-cell thyrocyte-intrinsic 8-gene signal; r=0.798–0.886 per patient	Paper 1 single-cell external (SB1-3, SC1, SC4, SC5, SC6); thyrocyte-restricted
GSE193581	Lu 2023	scRNA + bulk cell line	primary tumor + cell lines	mixed	mechanism_support	23 samples / 32 GSM	mechanism	no	mixed	yes	—	no	no	no	medium	supplementary_only	Author-independence cross-cohort	Joint UMAP arm; integration method (Harmony/scVI) verify-pending
GSE241184	Phase 1 single-cell	scRNA	primary tumor	1 patient	mechanism_support	1	mechanism	no	yes	no	—	no	no	no	medium	supplementary_only	Author-independence check (Phase 1 vs Pu 2021) — small n; do not over-interpret	scRNA only; SA4/SC3 only
GSE250521	Visium ST + H&E	Visium spatial transcriptomics	primary tumor + ATC + adjacent	PT (Para-Tumor normal adjacent) → PTC → LPTC → ATC	external_validation	16 (4 stages × 4 reps)	external_validation	no	mixed (PT N + tumors)	yes	—	no	yes	no	medium	supplementary_only	Spatial validation; sample-mean stage trend MARGINAL (ρ ≈ 0, p > 0.6); within-spot lineage co-collapse preserved	"PT" = Para-Tumor (normal adjacent), NOT Papillary Tumor; sample power 16 limits stage trend
GSE60542	GEO	GPL570	PTC primary + nodal mets + LN	PTC nodal	external_validation	92	dropped	no	mixed (tumor + LN)	yes	—	no	no	no	high	no	Lymphoid confounding; held from main external sweep per user spec	Cross-study sample re-use risk with GSE29265/GSE33630 lab
GSE53072	GEO	GPL6244 HuGene-1.0-ST	primary	tiny ATC + N	aggressive_enriched	9	dropped	no	mixed	yes	—	no	yes	yes	high	no	Tiny + non-GPL570 platform; held	N too small to add power
GSE120177	GEO	GPL23227 BGISEQ	cell line + ChIP	cell-line CDK7/THZ1 perturbation	mechanism_support	12	dropped	no	yes (cell line)	no	—	no	no	no	high	no	Cell-line perturbation; not patient histology; Paper 9 scope only	Out of Paper 1 scope
GSE146003	GEO	EPIC methylation	primary	—	mechanism_support	—	dropped	no	yes	no	—	no	no	no	medium	no	Nature Cancer feasibility delta_beta probe panel; Paper 1 manuscript v8 does not currently use	Paper 1 HM450 arm uses TCGA HM450 directly; this is supp at most
GSE151179	GEO post-RAI	RNA-seq	post-RAI primary	post-RAI vs pre-RAI	aggressive_enriched	52	dropped (Paper 3)	no	yes	no	—	no	no	yes (post-RAI)	high	no	Paper 3 RAI-dediff axis territory	thyroid_diff d=-1.01; Paper 3 boundary
Hugo+Riaz pooled	pooled melanoma ICI	bulk RNA-seq + response	melanoma ICI	melanoma	aggressive_enriched	415 pooled	dropped (Paper 3)	no	yes	no	—	no	no	yes	high	no	Paper 3 Track B-lite anchor	Out of Paper 1 scope
Pozdeyev 2018 CCR	publication supp	mutation + clinical	advanced DTC + ATC	779 advanced	aggressive_enriched	779	supplementary_only	no	yes	no	—	no	yes	yes	medium	supplementary_only	Disc 3.1 boost cite (broader cohort than Landa 2016)	Supp table only; raw → corresponding author request
Bundang SNUH	Korean retrospective FFPE	—	—	outreach 0%	external_validation	0	dropped	—	—	—	—	—	—	—	high	no	No data yet; Yu outreach pending; Plan B trigger if 6+ wk no response	Future Korean cohort; ≠ K2
AFND South Korea pool	AFND Allele Freq Net DB	HLA pop allele freq	—	pop reference	comparator	pooled	dropped (Paper 2/4)	—	—	—	—	—	—	—	high	no	Paper 2/4 Korean baseline; out of Paper 1 scope	Replaces Chu 2018 GD comparator; not Paper 1
