entity_name	type	size	role_in_paper	main_or_supp	keep_or_drop	description	dependencies	risk_of_confusion	note
TIERA67	candidate_universe	67	literature-curated 7-category candidate pool from which everything else is sub-selected	supp	keep	"Tier A 67-gene" project-internal acronym; categories: TDS_core 16 / MAPK_output 10 / Driver_anchor 12 / Aggressive 10 / Dediff_invasion 10 / Immune_stromal_light 5 / Thyroid_lineage_extra 4 (PAX8 dual-counted)	literature (Yoo 2016 + Riesco-Eizaguirre 2014 + TCGA 2014 + canonical EMT + immune checkpoint)	high — must clarify "internal name, not published acronym"	Methods 명시: "literature-curated; not data-mined"; Supplementary Table S1 anchor
55-gene driver-excluded	exploratory	55	historical reference; TIERA67 minus 12 driver_anchor genes	internal_only	drop	Pre-2026-05-04 narrative used "55-gene driver-excluded" framing; superseded by TIERA67 explicit driver inclusion	TIERA67	high — old framing implied drivers were excluded by design	Memory `v17_8gene_audit_2026_04_29` correction; do not use in current narrative
TDS-16 (TDS_core)	comparator	16	canonical thyroid differentiation score full panel from Yoo 2016 PLOS Genet; 8-gene panel is its top-8 subset	supp	keep	16 genes: DIO1, DIO2, DUOX1, DUOX2, FOXE1, GLIS3, NKX2-1, PAX8, SLC26A4, SLC5A5, SLC5A8, TG, THRA, THRB, TPO, TSHR	literature	medium — distinguish from RAI_8 (subset)	5-fold CV AUC 0.975 vs 8-gene 0.962 (ΔAUC = 0.013, NS); justify 8-gene compactness
RAI_8 panel (8-gene)	gene_panel	8	compact deployable RAI-lineage readout (RT-qPCR / NanoString viable)	main	keep	SLC5A5, TPO, TG, TSHR, PAX8, NKX2-1, FOXE1, DIO1; selected from TDS-core via Yoo 2016 RAI biology	TDS-16 superset	low	primary panel; not the discovery axis (axis is TIERA67/pan-genome top-5000)
THYROID_NONOVERLAP	gene_panel	8	zero-overlap orthogonal lineage panel for §4.3 panel-overlap defense	main	keep	SLC26A4 (Pendrin), IYD, DUOX1, DUOX2, TFF3, HHEX, GLIS3, DIO2; 0 gene overlap with RAI_8	literature	medium — must explain "zero overlap"	Cross-panel ρ = +0.44 (TCGA); +ρ ≤ −0.84 with DM1_like in 4 GPL570 cohorts
TF_collapse / TDS_TF	score	4	regulatory-layer mechanism support	supp (mechanism)	keep	mean(z(FOXE1), z(NKX2-1), z(PAX8), z(HHEX)) — 4 thyroid lineage master TFs	cross-panel (3 from RAI_8 + HHEX from NONOVERLAP)	high — must clarify "spans two panels"	Damante 4-TF backbone; ρ ≤ −0.74 with DM1_like in all 4 cohorts
STAT3_AP1_DNMT mechanism arm	score	5	mechanism layer support (de-differentiation TF program)	supp (mechanism)	keep	mean(z(STAT3), z(FOSL1), z(JUNB), z(DNMT1), z(DNMT3B))	—	low	"consistent with" / "supports" — not "demonstrates causality"
TROP2 / TACSTD2	gene_panel	1	demoted; exploratory tumor-level observation only	supp / internal	keep_demoted	Single-gene marker; TCGA bulk signal observed but external GPL570 replication failed/heterogeneous	—	high — must NOT return to title or main claim	Memory `v17_landa2016_cite_save` + `2026_05_04_paper1_final_strategy_after_external_validation.md` §7
DM1_like_score	score	8	axis readout score = − mean(z(RAI_8))	main	keep	identical to negative RAI_8; sign-flipped framing for "DM1 정체성 강함 = 양의 값"	RAI_8	medium — easy to confuse with DM1 cluster label	Score (continuous) ≠ DM1 cluster (KMeans label)
DM1 cluster label	module	—	KMeans k=2 partition on 8-gene transcript space; DM1 = low RAI_8 / dedifferentiated	main	keep	n=110 (master) DM1 / n=69 DM2 / n=334 not_DM in TCGA	RAI_8 + KMeans k=2	high — score vs cluster confusion + 110 vs 140 versioning gap with subcluster file	internal versioning audit pending
DM1 sub-A / sub-B	module	—	2nd-level KMeans k=2 within DM1 to dissect fusion-driven young vs immune-active older	supp	keep_with_caveat	sub-A: fusion+ young Stage I; sub-B: fusion- older immune-active	DM1 cluster	high — caption n=72/19 reflects 140-DM1 universe, master is 110-DM1	versioning gap noted in `dm1_subcluster_diagnosis_2026_05_07/`
DM2 cluster label	module	—	"Hashimoto-like" cluster; OR up to 5× HT enrichment	main	keep	n=69; older patient population; lower advanced-stage but higher OS event rate (age confound)	—	medium — partial Paper 2 overlap	Memory `v17_D4P2_tcga_hashimoto_generalization`
not_DM	module	—	residual partition outside DM1 ∪ DM2	main	keep	n=334; heterogeneous; includes most classical PTC and TERT+ aggressive cases	—	medium — heterogeneous group	stage III/IV 37% (highest) but OS event 2.6%
TIERA67 ARI ladder	score	—	robustness of cluster against candidate-pool restriction	main	keep	8-gene alone ARI=0.49; TIERA67 ARI=0.90; pan-genome top-5000 ARI=0.92; Driver_anchor ARI=−0.007	all gene sets	high — reviewer Q3 anchor	Hypergeometric enrichment of TIERA67 in pan-genome top-100 p=3×10⁻⁴
10-gene q5_thyroid_tf_network	exploratory	10	exploratory; ad-hoc network including TRPS1	internal_only	drop / supp_with_relabel	RAI_8 + HHEX + TRPS1; TRPS1 in thyroid is emerging not canonical (no Yoo / Landa / TCGA cite)	mixed	high — caption mismatch with 8-gene framing	Replace with 8-gene self + 16-gene zero-overlap (already drafted)
8-gene + HHEX (proposed 9)	gene_panel	9	"TF backbone (4) + RAI effectors (5)" extended panel	supp	keep_optional	completes Damante 4-TF backbone within RAI_8 effector set; defensible	literature	medium	alternative compact panel if reviewer accepts HHEX inclusion
PFI / DSS / DFI / OS endpoints	score	—	survival endpoints	main	keep	OS event rate 3.4% in TCGA-THCA → primary endpoint should be PFI (11.6%); OS retained as secondary panel	clinical	high — OS sparse → "swap" is age-confound artifact	Memory + dm1_subcluster_diagnosis_2026_05_07/FINAL figure
