figure_id	figure_title	has_what	has_why	has_whats_lacking	has_claim_guard	risk_level	recommended_fix
Fig 01	Clinical workflow current vs future	yes	yes	yes	yes (NOT validated predictor / NOT treatment-selection)	low	already hardened; keep
Fig 02	Dataset suitability matrix	yes	yes	partial	yes (drop 4 / advanced-bias disclosure)	low	keep
Fig 03	Gene-set hierarchy	yes	yes	yes	yes (drop / demoted layer)	low	keep
Fig 04	Main evidence chain	yes	yes	partial	yes (★ 2-layer architecture)	low	keep
Fig 05	External validation summary (4-cohort ρ)	yes	yes	yes (RNA-seq cohort 부재)	low	low	keep; note within-dataset z
Fig 06	Aggressive cohort context	yes	yes	yes (advanced-bias)	yes (SA6 mandatory)	medium	keep — bias panel SA6 명시 유지
Fig 07	Main vs Supp vs Drop figure registry	yes	yes	—	yes	low	keep
Fig 08	Claim boundary board	yes	yes	—	yes (allowed/forbidden table)	low	keep
Fig 09	Reviewer risk heatmap	yes	yes	—	yes	low	keep
Fig 10	Keep/Move/Drop registry	yes	—	—	yes	low	keep
Fig 11	Storyline arc	yes	yes	—	yes (hypothesis only)	low	keep
Fig 12	Thyroid hormone synthesis pathway ★★★	yes	yes	yes	yes	low	PPTX downloadable; ★★★ marked; keep
Fig 13	Mechanism cascade ★★★	yes	yes	yes	yes (NOT therapeutic validation; mechanism hypothesis)	medium	HARDENED 2026-05-07; keep
Fig 14	Clinical timeline	yes	yes	yes	yes (hypothesis only)	medium	keep — outcome implication 어조 주의
Fig 15	Korean cohort applicability	yes	yes	yes	—	low	keep
Fig 16	Two-layer architecture (discovery vs deployment)	yes	yes	yes	—	low	keep — paper 의 핵심 framing
Fig 17	Future-validation board	yes	yes	yes	yes (future-work only)	low	keep
Fig 18	Main figures meaning summary	yes	yes	yes	yes (GUARD column)	low	keep
External GPL570 scatter ★★★	DM1_like vs NONOVERLAP (4 cohort)	yes	yes	yes	yes	low	keep — §4.3 anchor
External direction-consistency forest	advanced vs DTC + advanced vs normal	yes	yes	yes	—	low	keep
External histology boxplots	3 scores × 4 cohorts	yes	yes	yes	—	low	keep
Survival audit ★★★	OS sparse → PFI + 4-way KM	yes	yes	yes	yes (PFI primary; age confound)	medium	keep — DEEP-DIVE 2 (sub-A/B 재산출) 추가됨
Panel combination scan	16 panel × AUC + ARI	yes	yes	yes	yes (axis robustness; cross-cohort validation 필요)	medium	HARDENED 2026-05-07; supplement only
Deep-dive 1 — RAI_8/NONO LOO	per-gene contribution	yes	yes	—	yes (single-gene dominance 없음)	low	keep
Deep-dive 2 — sub-A/sub-B re-derivation	master DM1 위에서 재산출	yes	yes	yes	yes (versioning gap 명시)	high	D3 manual decision pending
Deep-dive 3 — HM450 per-gene	8 genes Cohen's d	yes	yes	yes	yes (NIS expression vs methylation 분리)	low	keep — mechanism hypothesis only
