topic	claim_candidate	allowed_or_forbidden	risk_level	supporting_files_or_figures	wording_guard	likely_reviewer_question	answer_direction
Why 8 genes	"8-gene panel is the deployable readout, not the discovery axis"	allowed	medium	Fig 2 ARI ladder; ΔAUC 8 vs 16 = 0.013 NS	"compact RAI-lineage readout"; never "novel 8-gene discovery"	Why not TDS-16?	ΔAUC 0.013 NS + clinical interpretability + RT-qPCR/NanoString deployability + Yoo 2016 8/8 overlap canonical
Why not 67	"67-gene TIERA67 establishes the axis at robustness; 8-gene operationalizes it"	allowed	medium	TIERA67 ARI 0.90; pan-genome 0.92	"discovery vs deployment 2-layer"	Why not deploy 67?	Clinical compactness; 8-gene loses 0.013 AUC for 8x panel-size reduction
Just dedifferentiation relabeled	"Differentiation axis YES, but adds driver-orthogonality + mechanism + outcome layers + East-Asian generalizability"	allowed	high	Fig 1C BRAF mRNA neutrality; Fig 6 forest; Fig 8 methylation	"complementary to ATA 2015"; never "replaces ATA"	Is this just TDS rebranded?	Same biology axis CONFIRMED; novelty is (a) driver-orthogonality demonstrated explicitly, (b) Discussion §3.1 reverse-causality framing, (c) Korean East-Asian generalizability, (d) cross-panel zero-overlap defense
External datasets aggressive-biased	"GPL570 pack mostly mixed-cohort; GSE76039 explicitly advanced-bias-disclosed (SA6)"	allowed	medium	GPL570 4-cohort metadata; SA6 MSK-IMPACT bias panel	"advanced-disease replication"; never "general clinical validation"	External cohorts are not consecutive primaries	Disclose: TCGA+K2+Lee=primary cohorts; GSE76039+MSK-IMPACT=advanced anchors with explicit bias panel
RAI response prediction	"NOT a validated RAI response predictor"	forbidden	very high	—	never "predicts RAI response"; never "validated RAI predictor"	Does this predict RAI response?	"Hypothesis-generating compact readout for RAI-lineage failure biology; prospective trial required for response prediction"
Clinical overclaim	"NOT a treatment selection tool; NOT prospectively validated"	forbidden	very high	—	never "treatment selection"; never "clinical utility proven"	Can you use this in clinic now?	"Candidate triage scaffold; requires prospective trial; not for current clinical decision"
TROP2 main claim	—	forbidden	very high	demotion lock from `2026_05_04_paper1_final_strategy_after_external_validation.md` §7	never title; never main; never "TROP2 vulnerability headline"	Why no TROP2 in title?	GPL570 external replication failed/heterogeneous → demoted to exploratory tumor-level supplementary
Pathology / H&E branch	—	forbidden	very high	`pathology_dm1_phaseA_cpu_verdict_2026_05_04.md` + `image_dm1_final_nogo_decision`	never "H&E inferable"; never "pathology DM1 prediction"	Why no H&E figure?	Pre-tested no-go (closure report); negative result honestly disclosed in supp methods
THYROID_NONOVERLAP novelty	"Zero-overlap panel co-collapse rules out panel-overlap artifact"	allowed	low	external_dm1_nonoverlap_scatter_grid.png; cross-panel ρ +0.44 TCGA	"orthogonal lineage panel"; "zero-gene-overlap audit"	Is NONOVERLAP just lineage genes again?	Different gene families (apical iodide transport / H2O2 / iodide recycling / alt deiodinase / lineage TF) ≠ RAI_8 effectors; literature-grounded biology
Cheaper surrogate of TDS	"8-gene = compact subset of TDS-16 by design; not a new score"	allowed	low	S2/F2	"compact RAI-lineage readout"; never "novel score"	Is 8-gene a compressed TDS?	Yes, by design; ΔAUC 0.013 NS supports compactness; novelty is in axis interpretation + mechanism + East-Asian + driver-orthogonality, not in panel size
Survival OS swap	"OS event rate 3.4% in TCGA-THCA → primary endpoint should be PFI"	allowed	high	dm1_subcluster_diagnosis_2026_05_07/FINAL_dm_survival_pfi_fix.png; v2_diagnosis_report.txt	"PFI primary; OS secondary"; "age confound dominant"	Why does DM2 have higher OS event rate?	Age confound (DM2 median 55y vs DM1 36y; age HR 1.18 per year p<0.001); reported with age + stage adjusted Cox
Stage doesn't separate dramatically	"AJCC stage measures presentation extent; DM measures dedifferentiation biology — orthogonal axes"	allowed	high	dm1_subcluster_diagnosis_2026_05_07/v2_stage_distribution.png	"orthogonality, not contradiction"	Why doesn't DM1 have more advanced stage?	Stage = at presentation (size/extension); DM = molecular axis. Adding DM provides orthogonal molecular information beyond stage. Frame as complementary, not redundant.
Sub-A vs sub-B versioning	"DM1 sub-A/sub-B labels in subcluster_labels.tsv (n=140) overlap only 17 with current master DM1 (n=110)"	allowed (with explicit caveat)	high	dm1_subcluster_diagnosis_2026_05_07/diagnosis_summary.txt	"versioning gap; sub-cluster derivation pending re-run on master DM1 universe"	Why sub-A n=72 in caption ≠ master?	Internal versioning gap from earlier DM1 derivation iteration; caption numbers refer to that universe; re-derivation queued; current claim direction-consistent across both
Spatial GSE250521	"Sample-mean stage trend MARGINAL (ρ ≈ 0, p > 0.6)"	allowed (limited)	high	gse250521_dm1_spatial_validation_report.md	"supportive supplement only"; never "spatial validation strong"	Spatial signal is weak — why include?	16-sample power limit; depth heterogeneity; within-spot lineage co-collapse preserved; framed as supportive supp not main; main external = GPL570 4-cohort
DM1 sub-B = NBNR	"Bridges TCGA DM1 to K2 NBNR cohort; 4× Hashimoto-like rate"	allowed	medium	memory `v17_D6P7_dm1_subB_NBNR`	"bridge"; "consistent with"	Is sub-B = NBNR proven?	Phenotypic concordance (96% mutation-negative; immune-active); 4× HT-rate enrichment; not causally proven
TIERA67 acronym	"Internal name for the 67-gene candidate pool; not a published acronym"	allowed (with disclosure)	low	Methods M2 + Supp Table S1	"project-internal name"; never imply external acronym	What does TIERA67 mean?	"Tier A 67-gene literature-curated candidate pool (project-internal nomenclature)"; categories disclosed in Supp Table S1
Causality of mechanism arm	"Direction-consistent; mechanism support, not causal proof"	allowed	medium	Fig 8 + R6	"consistent with"; "supports"; never "demonstrates"; never "causes"	Have you shown mechanism causally?	Direction-consistent across cohorts; HM450 promoter methylation; lineage TF collapse correlated; causal proof requires functional perturbation (out of paper scope)
Korean cohort applicability	"Lee 2024 / GSE213647 + K2 + GSE286332 = 874 East-Asian samples"	allowed	low	memory + Fig 2B + Fig 5A	"East-Asian generalizability"	Is this Western-cohort biased?	No — DM1 prevalence 28.4% TCGA vs 37.8% Korean (close); Hashimoto-like 18-20% vs 22-28%
Single-cell thyrocyte-intrinsic	"Per-patient r=0.798-0.886 (GSE184362)"	allowed	low	Fig 3 + SB1-3	"thyrocyte-intrinsic"; "not stromal/immune confounded"	Is this just immune signature noise?	Per-cell thyrocyte-restricted (KRT8+/KRT19+/EPCAM+) gradient preserved; stromal/immune compartments separately confirmed
Decitabine + I-131 retrospective	"Schematic + literature meta only (NCT00085293, NCT01065090)"	allowed	medium	S8	"retrospective trial schematic"; never "validated"	Are you proposing this as treatment?	"Mechanistic rationale for prospective trial design stratified by DM1 status"; never current treatment recommendation
selpercatinib reflex testing	"DM1 captures 81.8% TCGA RET-fusion+; reflex testing rationale"	allowed	medium	Fig 7E	"reflex testing rationale"; never "validated reflex algorithm"	Is selpercatinib reflex validated?	No — proposes reflex testing rationale; estimate ~48 selpercatinib-eligible per 1000 PTC; prospective validation required
