file	line	matched_phrase	context	classification	recommended_action
project/reports/2026_05_06_paper1_comprehensive_audit_master.md	76	treatment selection	- NOT a validated treatment selection tool	safe_negation	OK — negation context
project/reports/2026_05_06_paper1_comprehensive_audit_master.md	94	predicts RAI response	1. Predicts RAI response — VERY HIGH (forbidden claim)	safe_negation	OK — negation context
project/reports/2026_05_06_paper1_comprehensive_audit_master.md	107	treatment selection	**Forbidden wording:** validated RAI predictor / treatment selection / clinical utility proven / TROP2 vulnerability (title) / H&E inferable / demonstrates causality.	remove_or_rewrite	manual review required
project/reports/2026_05_06_paper1_comprehensive_audit_master.md	107	clinical utility proven	**Forbidden wording:** validated RAI predictor / treatment selection / clinical utility proven / TROP2 vulnerability (title) / H&E inferable / demonstrates causality.	remove_or_rewrite	manual review required
project/reports/2026_05_06_paper1_comprehensive_audit_master.md	107	TROP2 vulnerability	**Forbidden wording:** validated RAI predictor / treatment selection / clinical utility proven / TROP2 vulnerability (title) / H&E inferable / demonstrates causality.	remove_or_rewrite	manual review required
project/reports/2026_05_06_paper1_comprehensive_audit_master.md	107	H&E inferable	**Forbidden wording:** validated RAI predictor / treatment selection / clinical utility proven / TROP2 vulnerability (title) / H&E inferable / demonstrates causality.	remove_or_rewrite	manual review required
project/reports/2026_05_06_paper1_comprehensive_audit_master.md	117	outperforms	- Lineage TF + Effector minimal 6 (FOXE1+NKX2-1+PAX8+TG+TPO+DIO1): AUC 0.893 + ARI 0.410 — **outperforms canonical RAI_8**	remove_or_rewrite	manual review required
project/reports/2026_05_06_paper1_comprehensive_audit_master.md	117	outperform	- Lineage TF + Effector minimal 6 (FOXE1+NKX2-1+PAX8+TG+TPO+DIO1): AUC 0.893 + ARI 0.410 — **outperforms canonical RAI_8**	remove_or_rewrite	manual review required
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	12	validated predictor	**Hardening complete.** Page 의 clinical RAI-refractory framing 은 유지하면서, *validated predictor / treatment recommendation / prospective utility* 등 모든 affirmative overclaim 을 hypothesis-language 로 재작성. P	future_work_only	OK — future-work context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	12	treatment recommendation	**Hardening complete.** Page 의 clinical RAI-refractory framing 은 유지하면서, *validated predictor / treatment recommendation / prospective utility* 등 모든 affirmative overclaim 을 hypothesis-language 로 재작성. P	future_work_only	OK — future-work context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	14	validated predictor	**Final overclaim sweep:** all banned phrases ("능가", "outperform", "더 정확", "decitabine candidate", "selpercatinib eligible", "low-cost", "8-gene superiority", "replace RAI") = 0 affirmative hits. Resi	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	14	predicts RAI response	**Final overclaim sweep:** all banned phrases ("능가", "outperform", "더 정확", "decitabine candidate", "selpercatinib eligible", "low-cost", "8-gene superiority", "replace RAI") = 0 affirmative hits. Resi	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	14	treatment selection	**Final overclaim sweep:** all banned phrases ("능가", "outperform", "더 정확", "decitabine candidate", "selpercatinib eligible", "low-cost", "8-gene superiority", "replace RAI") = 0 affirmative hits. Resi	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	14	treatment recommendation	**Final overclaim sweep:** all banned phrases ("능가", "outperform", "더 정확", "decitabine candidate", "selpercatinib eligible", "low-cost", "8-gene superiority", "replace RAI") = 0 affirmative hits. Resi	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	14	replace RAI	**Final overclaim sweep:** all banned phrases ("능가", "outperform", "더 정확", "decitabine candidate", "selpercatinib eligible", "low-cost", "8-gene superiority", "replace RAI") = 0 affirmative hits. Resi	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	14	decitabine candidate	**Final overclaim sweep:** all banned phrases ("능가", "outperform", "더 정확", "decitabine candidate", "selpercatinib eligible", "low-cost", "8-gene superiority", "replace RAI") = 0 affirmative hits. Resi	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	14	selpercatinib eligible	**Final overclaim sweep:** all banned phrases ("능가", "outperform", "더 정확", "decitabine candidate", "selpercatinib eligible", "low-cost", "8-gene superiority", "replace RAI") = 0 affirmative hits. Resi	safe_negation	OK — negation context
