split_name	fold_id	sample_id
repeated_stratified_5x5_internal	rs_00	CNV0_02425
repeated_stratified_5x5_internal	rs_00	CNV0_02477
repeated_stratified_5x5_internal	rs_00	CNV0_02478
repeated_stratified_5x5_internal	rs_00	CNV0_02479
repeated_stratified_5x5_internal	rs_00	CNV0_02513
repeated_stratified_5x5_internal	rs_00	CNV0_02516
repeated_stratified_5x5_internal	rs_00	CNV0_02518
repeated_stratified_5x5_internal	rs_00	CNV0_02544
repeated_stratified_5x5_internal	rs_00	CNV0_02545
repeated_stratified_5x5_internal	rs_00	CNV0_02551
repeated_stratified_5x5_internal	rs_00	CNV0_02555
repeated_stratified_5x5_internal	rs_00	CNV0_02557
repeated_stratified_5x5_internal	rs_00	CNV0_02564
repeated_stratified_5x5_internal	rs_00	CNV0_02568
repeated_stratified_5x5_internal	rs_00	CNV0_02573
repeated_stratified_5x5_internal	rs_00	CNV0_02580
repeated_stratified_5x5_internal	rs_00	CNV0_02581
repeated_stratified_5x5_internal	rs_00	CNV0_02588
repeated_stratified_5x5_internal	rs_01	CNV0_02396
repeated_stratified_5x5_internal	rs_01	CNV0_02415
repeated_stratified_5x5_internal	rs_01	CNV0_02442
repeated_stratified_5x5_internal	rs_01	CNV0_02452
repeated_stratified_5x5_internal	rs_01	CNV0_02512
repeated_stratified_5x5_internal	rs_01	CNV0_02515
repeated_stratified_5x5_internal	rs_01	CNV0_02517
repeated_stratified_5x5_internal	rs_01	CNV0_02537
repeated_stratified_5x5_internal	rs_01	CNV0_02559
repeated_stratified_5x5_internal	rs_01	CNV0_02561
repeated_stratified_5x5_internal	rs_01	CNV0_02567
repeated_stratified_5x5_internal	rs_01	CNV0_02582
repeated_stratified_5x5_internal	rs_01	CNV0_02583
repeated_stratified_5x5_internal	rs_01	CNV0_02587
repeated_stratified_5x5_internal	rs_01	CNV0_02589
repeated_stratified_5x5_internal	rs_01	CNV0_02594
repeated_stratified_5x5_internal	rs_01	CNV0_02655
repeated_stratified_5x5_internal	rs_01	CNV0_02712
repeated_stratified_5x5_internal	rs_02	CNV0_02398
repeated_stratified_5x5_internal	rs_02	CNV0_02401
repeated_stratified_5x5_internal	rs_02	CNV0_02416
repeated_stratified_5x5_internal	rs_02	CNV0_02418
repeated_stratified_5x5_internal	rs_02	CNV0_02419
repeated_stratified_5x5_internal	rs_02	CNV0_02421
repeated_stratified_5x5_internal	rs_02	CNV0_02424
repeated_stratified_5x5_internal	rs_02	CNV0_02511
repeated_stratified_5x5_internal	rs_02	CNV0_02538
repeated_stratified_5x5_internal	rs_02	CNV0_02565
repeated_stratified_5x5_internal	rs_02	CNV0_02574
repeated_stratified_5x5_internal	rs_02	CNV0_02577
repeated_stratified_5x5_internal	rs_02	CNV0_02578
repeated_stratified_5x5_internal	rs_02	CNV0_02584
repeated_stratified_5x5_internal	rs_02	CNV0_02585
repeated_stratified_5x5_internal	rs_02	CNV0_02681
repeated_stratified_5x5_internal	rs_02	CNV0_02685
repeated_stratified_5x5_internal	rs_02	CNV0_02709
repeated_stratified_5x5_internal	rs_03	CNV0_02405
repeated_stratified_5x5_internal	rs_03	CNV0_02411
repeated_stratified_5x5_internal	rs_03	CNV0_02412
repeated_stratified_5x5_internal	rs_03	CNV0_02450
repeated_stratified_5x5_internal	rs_03	CNV0_02453
repeated_stratified_5x5_internal	rs_03	CNV0_02458
repeated_stratified_5x5_internal	rs_03	CNV0_02510
repeated_stratified_5x5_internal	rs_03	CNV0_02514
repeated_stratified_5x5_internal	rs_03	CNV0_02536
repeated_stratified_5x5_internal	rs_03	CNV0_02543
repeated_stratified_5x5_internal	rs_03	CNV0_02550
repeated_stratified_5x5_internal	rs_03	CNV0_02563
repeated_stratified_5x5_internal	rs_03	CNV0_02569
repeated_stratified_5x5_internal	rs_03	CNV0_02572
repeated_stratified_5x5_internal	rs_03	CNV0_02579
repeated_stratified_5x5_internal	rs_03	CNV0_02591
repeated_stratified_5x5_internal	rs_03	CNV0_02592
repeated_stratified_5x5_internal	rs_03	CNV0_02710
repeated_stratified_5x5_internal	rs_04	CNV0_02413
repeated_stratified_5x5_internal	rs_04	CNV0_02414
repeated_stratified_5x5_internal	rs_04	CNV0_02448
repeated_stratified_5x5_internal	rs_04	CNV0_02460
repeated_stratified_5x5_internal	rs_04	CNV0_02520
repeated_stratified_5x5_internal	rs_04	CNV0_02553
repeated_stratified_5x5_internal	rs_04	CNV0_02556
repeated_stratified_5x5_internal	rs_04	CNV0_02562
repeated_stratified_5x5_internal	rs_04	CNV0_02570
repeated_stratified_5x5_internal	rs_04	CNV0_02571
repeated_stratified_5x5_internal	rs_04	CNV0_02575
repeated_stratified_5x5_internal	rs_04	CNV0_02586
