heldout_study	method	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10
CEDAR	sourceheld_counterfactual_rf	913	851	0.932092004381161	0.91808240664723	0.41634130624312954	0.37090045711445097	0.8	0.004700352526439483	0.8582843713278496	0.9	0.010575793184488837	0.9655699177438308
NEPdb	sourceheld_counterfactual_rf	886	354	0.39954853273137697	0.4053403878591387	0.4952104838367104	0.2614279549233514	0.0	0.0	0.0	0.0	0.0	0.0
TESLA_mmc4	sourceheld_counterfactual_rf	610	37	0.060655737704918035	0.06501090293105945	0.549266544030942	0.24214991448573278	0.0	0.0	0.0	0.0	0.0	0.0
TESLA_mmc7_validation	sourceheld_counterfactual_rf	319	6	0.018808777429467086	0.03780955444409747	0.6554845580404686	0.21254766160730756	0.0	0.0	0.0	0.0	0.0	0.0
CEDAR	sourceheld_prespecified_late_fusion_w0.5	913	851	0.932092004381161	0.9218162592509168	0.43902808839695234	0.4133529299514523	1.0	0.005875440658049354	1.072855464159812	1.0	0.011750881316098707	1.072855464159812
NEPdb	sourceheld_prespecified_late_fusion_w0.5	886	354	0.39954853273137697	0.39550944093588697	0.4792967588462682	0.29372609952834633	0.0	0.0	0.0	0.0	0.0	0.0
TESLA_mmc4	sourceheld_prespecified_late_fusion_w0.5	610	37	0.060655737704918035	0.05511072124262366	0.46493089948587335	0.31171003529885044	0.0	0.0	0.0	0.0	0.0	0.0
TESLA_mmc7_validation	sourceheld_prespecified_late_fusion_w0.5	319	6	0.018808777429467086	0.016896940033674205	0.29446219382321615	0.2416708535566024	0.0	0.0	0.0	0.0	0.0	0.0
CEDAR	sourceheld_qk_compact_gamma1	913	851	0.932092004381161	0.9267438507831547	0.4613168568287783	0.5276384932319151	0.8	0.004700352526439483	0.8582843713278496	0.9	0.010575793184488837	0.9655699177438308
NEPdb	sourceheld_qk_compact_gamma1	886	354	0.39954853273137697	0.40642565475609194	0.4826366764368548	0.4014077667799855	0.4	0.005649717514124294	1.001129943502825	0.4	0.011299435028248588	1.001129943502825
TESLA_mmc4	sourceheld_qk_compact_gamma1	610	37	0.060655737704918035	0.051662525285099695	0.43790387245884627	0.4767137774437636	0.0	0.0	0.0	0.0	0.0	0.0
TESLA_mmc7_validation	sourceheld_qk_compact_gamma1	319	6	0.018808777429467086	0.014596475774591404	0.1805111821086262	0.350284076837968	0.0	0.0	0.0	0.0	0.0	0.0
