split_name	fusion	status	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	top10_precision
study_heldout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.75	exploratory	9	5	0.5555555555555556	0.6444444444444444	0.4	0.3141210516487219	0.4	0.5555555555555556
study_heldout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.5	prespecified_equal_weight	9	5	0.5555555555555556	0.5968253968253969	0.30000000000000004	0.31676001180978275	0.4	0.5555555555555556
exact_peptide_hla_holdout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.5968090870769442	0.7682072829131653	0.17829801501975484	0.8	0.7
study_heldout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.75	exploratory	9	5	0.5555555555555556	0.5911111111111111	0.30000000000000004	0.31212355425260874	0.4	0.5555555555555556
study_heldout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.75	exploratory	9	5	0.5555555555555556	0.5911111111111111	0.30000000000000004	0.3176474670555469	0.4	0.5555555555555556
exact_peptide_hla_holdout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.5869645960912089	0.7570028011204482	0.18427719438277027	1.0	0.7
study_heldout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.5	prespecified_equal_weight	9	5	0.5555555555555556	0.5634920634920635	0.2	0.32636606011306235	0.2	0.5555555555555556
hla_stratified_group_5fold	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.5550392245105422	0.761204481792717	0.18384975390949337	0.6	0.6
exact_peptide_hla_holdout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.5536344496457672	0.7661064425770309	0.18136335437810008	0.8	0.8
hla_supertype_heldout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.75	exploratory	72	15	0.20833333333333334	0.5465292504940278	0.768421052631579	0.17869625051155147	0.6	0.6
exact_peptide_hla_holdout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.545582320520956	0.7654061624649859	0.18638811496837138	0.6	0.6
exact_peptide_hla_holdout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.5452001601218119	0.757703081232493	0.1793084617010886	0.8	0.6
exact_peptide_hla_holdout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.25	exploratory	89	21	0.23595505617977527	0.5397523572623605	0.7303921568627452	0.19632033948467748	1.0	0.5
hla_stratified_group_5fold	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.5320362790916444	0.7457983193277311	0.18169907907834734	0.8	0.6
hla_stratified_group_5fold	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.5211785584562283	0.7240896358543417	0.18983474268664546	0.6	0.6
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.75	exploratory	445	105	0.23595505617977527	0.5205976030158227	0.7145098039215686	0.18564848462343114	1.0	1.0
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.25	exploratory	89	21	0.23595505617977527	0.5188916973291038	0.7100840336134454	0.2046241729392194	0.8	0.7
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.518668956892469	0.7226890756302521	0.1850522210156483	0.8	0.7
hla_supertype_heldout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.5	prespecified_equal_weight	72	15	0.20833333333333334	0.5152318028436839	0.7134502923976609	0.19633605352594288	0.8	0.5
exact_peptide_hla_holdout	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.25	exploratory	89	21	0.23595505617977527	0.512136099342104	0.7485994397759104	0.19962176119747946	0.8	0.7
near_peptide_cluster_holdout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.4999156044384016	0.7282913165266106	0.19170888872686623	0.6	0.8
exact_peptide_hla_holdout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.4983550105222275	0.7205882352941178	0.19192385519425062	0.6	0.8
study_heldout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.5	prespecified_equal_weight	9	5	0.5555555555555556	0.49682539682539684	0.25	0.32350689324546317	0.4	0.5555555555555556
hla_stratified_group_5fold	counterfactual_rf_plus_qk_clean_no_tcr_gamma1_w0.75	exploratory	89	21	0.23595505617977527	0.49393240152099	0.7219887955182073	0.18652481672804355	0.6	0.5
hla_stratified_group_5fold	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.5	prespecified_equal_weight	89	21	0.23595505617977527	0.4924062359991129	0.7212885154061625	0.197061363499437	0.8	0.6
hla_supertype_heldout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.75	exploratory	72	15	0.20833333333333334	0.4913549736158431	0.776608187134503	0.1777526136089801	0.6	0.5
study_heldout	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.25	exploratory	9	5	0.5555555555555556	0.49111111111111116	0.25	0.33988079599381416	0.4	0.5555555555555556
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.5	prespecified_equal_weight	445	105	0.23595505617977527	0.4797074060919125	0.6873669467787114	0.19683691213629462	1.0	0.8
study_heldout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.25	exploratory	9	5	0.5555555555555556	0.4768253968253968	0.2	0.3256326438751123	0.4	0.5555555555555556
exact_peptide_hla_holdout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.25	exploratory	89	21	0.23595505617977527	0.4720500966718686	0.680672268907563	0.21006430384408287	0.6	0.6
hla_supertype_heldout	counterfactual_rf_plus_qk_quantum_only_gamma1_w0.25	exploratory	72	15	0.20833333333333334	0.4708552832206079	0.6573099415204678	0.22332922036680314	0.8	0.4
repeated_stratified_5x5_internal	counterfactual_rf_plus_qk_no_anchor_gamma1_w0.75	exploratory	445	105	0.23595505617977527	0.46965894118534884	0.7188795518207283	0.18431902764799596	0.6	0.7
