model	true	pred	count
logreg	BRAF_like	BRAF_like	694
logreg	BRAF_like	RAS_like	52
logreg	BRAF_like	dedifferentiated	1
logreg	RAS_like	BRAF_like	10
logreg	RAS_like	RAS_like	107
logreg	RAS_like	dedifferentiated	0
logreg	dedifferentiated	BRAF_like	22
logreg	dedifferentiated	RAS_like	0
logreg	dedifferentiated	dedifferentiated	46
gb	BRAF_like	BRAF_like	725
gb	BRAF_like	RAS_like	21
gb	BRAF_like	dedifferentiated	1
gb	RAS_like	BRAF_like	25
gb	RAS_like	RAS_like	92
gb	RAS_like	dedifferentiated	0
gb	dedifferentiated	BRAF_like	23
gb	dedifferentiated	RAS_like	0
gb	dedifferentiated	dedifferentiated	45
