compound	moa	weight	sig_up_n	sig_down_n	reversal_hits	reinforce_hits	connectivity_score	direction	matched_total	matched_genes	rationale
selumetinib	MEK1/2 억제 (MEK1/2 inhibitor)	1.0	11	13	12	0	-0.5	reverser	12	DIO1;DIO2;FN1;HMGA2;KLK10;LCN2;S100A4;TACSTD2;TG;TIMP1;TMPRSS4;TPO	radioiodine-refractory THCA에서 NIS 재발현 유도 (Ho et al., 2013).
sorafenib	VEGFR · RAF · PDGFR 다중억제 (multikinase)	1.0	8	15	11	0	-0.4783	reverser	11	DIO1;DIO2;FN1;HMGA2;KLK10;LCN2;TACSTD2;TG;TIMP1;TMPRSS4;TPO	DTC(분화형 thyroid cancer) radioiodine-refractory에 승인 — DECISION trial.
dabrafenib	BRAF V600E 억제 (BRAF V600E inhibitor)	1.0	15	16	14	0	-0.4516	reverser	14	CXCL14;DIO1;DIO2;FN1;HMGA2;KLK10;LCN2;S100A4;SERPINA1;TACSTD2;TG;TIMP1;TMPRSS4;TPO	BRAF V600E papillary thyroid cancer의 표준 표적. BRAF-like 프로그램을 직접 역전.
encorafenib	BRAF V600E 억제 (BRAF V600E inhibitor, 3세대)	0.95	11	13	11	0	-0.4354	reverser	11	DIO1;DIO2;FN1;HMGA2;KLK10;LCN2;TACSTD2;TG;TIMP1;TMPRSS4;TPO	melanoma에서 vemurafenib 대비 potency↑; thyroid basket trial 진행 중.
vemurafenib	BRAF V600E 억제 (BRAF V600E inhibitor)	1.0	14	16	13	0	-0.4333	reverser	13	CXCL14;DIO1;DIO2;FN1;HMGA2;KLK10;LCN2;S100A4;TACSTD2;TG;TIMP1;TMPRSS4;TPO	첫 승인된 BRAF V600E 억제제; THCA 임상에서 재분화 유도 보고.
trametinib	MEK1/2 억제 (MEK1/2 inhibitor)	1.0	13	15	12	0	-0.4286	reverser	12	DIO1;DIO2;FN1;HMGA2;KLK10;LCN2;S100A4;TACSTD2;TG;TIMP1;TMPRSS4;TPO	MAPK pathway downstream 차단 — redifferentiation 유도 (Ho et al., NEJM 2013).
cabozantinib	MET · VEGFR · RET 다중억제 (multikinase)	0.95	6	14	9	0	-0.4275	reverser	9	DIO1;FN1;KLK10;LCN2;MET;TACSTD2;TG;TIMP1;TPO	MTC + RR-DTC 후라인; MET-axis 차단.
cobimetinib	MEK1/2 억제 (MEK1/2 inhibitor)	0.9	9	10	9	0	-0.4263	reverser	9	DIO1;DIO2;FN1;KLK10;TACSTD2;TG;TIMP1;TMPRSS4;TPO	BRAFi 병용 (encorafenib/cobimetinib)로 저항 극복.
vandetanib	VEGFR · EGFR · RET 억제 (multikinase)	0.9	6	11	7	0	-0.3706	reverser	7	DIO1;FN1;KLK10;TACSTD2;TG;TIMP1;TPO	MTC(medullary) 표준; RET-driven tumor에 효과.
romidepsin	HDAC 억제 (class I HDAC inhibitor)	0.8	10	9	8	0	-0.3368	reverser	8	DIO1;DIO2;FN1;HMGA2;KLK10;TACSTD2;TG;TPO	CTCL 승인; thyroid redifferentiation 전임상.
lenvatinib	VEGFR · FGFR · RET · KIT 다중억제 (multikinase)	1.0	10	17	10	1	-0.3333	reverser	11	DIO1;DIO2;FN1;KIT;KLK10;LCN2;TACSTD2;TG;TIMP1;TMPRSS4;TPO	RR-DTC 1차 옵션 — SELECT trial (Schlumberger, NEJM 2015).
larotrectinib	TRK A/B/C 억제 (NTRK inhibitor)	0.85	6	10	6	0	-0.3187	reverser	6	FN1;HMGA2;S100A4;TACSTD2;TG;TPO	NTRK-fusion driven thyroid cancer에 특이; 소아 PTC 부분에 효과.
vorinostat	HDAC 억제 (SAHA, pan-HDAC inhibitor)	0.85	13	11	9	0	-0.3187	reverser	9	DIO1;DIO2;FN1;HMGA2;KLK10;TACSTD2;TG;TMPRSS4;TPO	epigenetic redifferentiation; thyroid NIS 재발현 실험 보고.
decitabine	DNMT 억제 (DNA methyltransferase inhibitor)	0.75	11	8	8	0	-0.3158	reverser	8	DIO1;DIO2;FN1;HMGA2;KLK10;TACSTD2;TG;TPO	promoter hypermethylation 해소 — NIS 재발현 / redifferentiation.
azacitidine	DNMT 억제 (5-azacytidine, DNA methyltransferase inhibitor)	0.75	11	8	8	0	-0.3158	reverser	8	DIO1;DIO2;FN1;HMGA2;KLK10;TACSTD2;TG;TPO	MDS 승인; TET/DNMT 축을 통해 differentiation 프로그램 회복.
everolimus	mTORC1 억제 (mTOR inhibitor)	0.75	7	11	7	0	-0.2917	reverser	7	DIO1;FN1;LCN2;TACSTD2;TG;TMPRSS4;TPO	anaplastic/poorly differentiated 임상 시도; PI3K/AKT/mTOR 축 차단.
apatinib	VEGFR2 억제 (selective VEGFR2 inhibitor)	0.7	3	7	4	0	-0.28	reverser	4	DIO1;TACSTD2;TG;TPO	RR-DTC 2상 (중국); anti-angiogenic 단독.
fenretinide	retinoid 유도체 (synthetic retinoid, ROS-mediated apoptosis)	0.55	10	6	7	0	-0.2406	reverser	7	DIO1;DIO2;FN1;HMGA2;TACSTD2;TG;TPO	retinoid이 THCA redifferentiation에 historical 시도; evidence 약함.
sirolimus	mTORC1 억제 (mTOR inhibitor)	0.7	6	9	5	0	-0.2333	reverser	5	DIO1;FN1;TACSTD2;TG;TPO	rapamycin — mTOR 축 차단; repurpose 후보.
entrectinib	TRK · ROS1 · ALK 억제 (multi-kinase incl. NTRK)	0.8	5	9	4	0	-0.2286	reverser	4	FN1;TACSTD2;TG;TPO	NTRK/ROS1-fusion tumor에 승인; THCA basket.
propranolol	β-adrenergic 차단 (β-blocker, repurposed)	0.45	4	6	5	0	-0.225	reverser	5	DIO1;FN1;TACSTD2;TG;TPO	infantile hemangioma 승인; cancer repurpose 관찰연구.
metformin	AMPK 활성화 (AMPK activator / biguanide)	0.6	7	9	6	0	-0.225	reverser	6	DIO1;FN1;HMGA2;TACSTD2;TG;TPO	대규모 코호트에서 THCA 위험↓ 관찰; mTOR/inflammation 축 완화.
axitinib	VEGFR1/2/3 억제 (VEGFR inhibitor)	0.6	2	6	2	0	-0.15	reverser	2	TG;TPO	RCC 승인; THCA 2상 보고 존재.
celecoxib	COX2 선택적 억제 (selective COX2 inhibitor)	0.5	3	7	3	0	-0.15	reverser	3	TACSTD2;TG;TPO	familial adenomatous polyposis 승인; THCA 2상 보고.
curcumin	polyphenol · NF-κB 억제 (natural polyphenol)	0.4	5	9	5	0	-0.1429	reverser	5	DIO1;FN1;TACSTD2;TG;TPO	supplement 수준 증거; 약동학 한계.
quercetin	flavonoid · PI3K/NF-κB 억제 (flavonoid)	0.35	3	8	4	0	-0.1273	reverser	4	FN1;TACSTD2;TG;TPO	supplement 수준 증거.
aspirin	COX1/COX2 억제 (non-selective NSAID)	0.45	3	8	3	0	-0.1227	reverser	3	TACSTD2;TG;TPO	CRC 예방 증거 확립; thyroid는 관찰 수준.
simvastatin	HMG-CoA reductase 억제 (statin)	0.5	4	6	3	1	-0.1	reverser	4	FN1;HMGA2;LDLR;TACSTD2	대규모 코호트에서 THCA risk 관찰; mevalonate 축 차단이 LDLR 신호 회복과 맞물림.
pembrolizumab	anti-PD1 면역관문 억제 (anti-PD1 checkpoint blockade)	0.7	11	7	1	0	-0.0389	neutral	1	TACSTD2	proxy 주의 — 발현 변화가 아닌 PD1-PD-L1 결합 차단. BRAF-like의 immune-cold 상태를 논리적으로 역전.
topotecan	topoisomerase I 억제 (topoisomerase inhibitor)	0.4	4	5	0	0	0.0	neutral	0		광범위 세포독성 — THCA에서 사용 드묾.
irinotecan	topoisomerase I 억제 (topoisomerase inhibitor)	0.4	5	6	0	0	0.0	neutral	0		광범위 세포독성 — THCA 일차 치료는 아님.
nivolumab	anti-PD1 면역관문 억제 (anti-PD1 checkpoint blockade)	0.7	9	6	0	0	0.0	neutral	0		proxy 주의 — 직접 발현 조절 약물 아님; IFN-γ response에 의한 2차적 변화.
docetaxel	microtubule 안정화 (taxane)	0.45	3	5	0	0	0.0	neutral	0		ATC 병용 고려; 유방/전립선암 표준.
paclitaxel	microtubule 안정화 (taxane)	0.45	4	5	0	0	0.0	neutral	0		ATC 병용; mitotic arrest로 광범위 증식억제.
epirubicin	topoisomerase II / DNA intercalation (anthracycline)	0.45	4	4	0	0	0.0	neutral	0		doxorubicin 유사체; 유방암 표준.
doxorubicin	topoisomerase II / DNA intercalation (anthracycline)	0.5	5	6	0	0	0.0	neutral	0		ATC에서 historical 표준; 일반 세포독성.
carboplatin	DNA 가교 백금 (platinum DNA-crosslink)	0.35	4	4	0	0	0.0	neutral	0		ATC 병용; 일반 세포독성.
oxaliplatin	DNA 가교 백금 (platinum DNA-crosslink)	0.3	3	3	0	0	0.0	neutral	0		CRC 표준; THCA 직접 효능 부족.
cisplatin	DNA 가교 백금 (platinum DNA-crosslink)	0.4	6	5	0	0	0.0	neutral	0		ATC(anaplastic) 병용요법에 포함되지만 저분자화 프로그램 차원의 재분화 효과 없음.
