class_name	rank	gene	mean_abs_shap
BRAF_like	1	TPO	0.03131968660441126
BRAF_like	2	DIO1	0.03032217648936227
BRAF_like	3	DIO2	0.0285864574169455
BRAF_like	4	MET	0.02015518314022331
BRAF_like	5	SLC5A8	0.01598119523795986
BRAF_like	6	SLC26A4	0.012543743068426129
BRAF_like	7	TWIST1	0.01023879388684453
BRAF_like	8	IYD	0.010101514499704737
BRAF_like	9	DUOX2	0.009687482580357018
BRAF_like	10	DUOX1	0.009338799505022874
BRAF_like	11	KLK10	0.009039078561433676
BRAF_like	12	VIM	0.006651524338972831
BRAF_like	13	TG	0.006047138395994967
BRAF_like	14	MSH2	0.005963182019803263
BRAF_like	15	AKT1	0.005956723798842411
RAS_like	1	TPO	0.03342226818446032
RAS_like	2	DIO1	0.030497772344669296
RAS_like	3	DIO2	0.027610820310558754
RAS_like	4	SLC5A8	0.018184863382362915
RAS_like	5	MET	0.016754939429734467
RAS_like	6	SLC26A4	0.012926904943055033
RAS_like	7	DUOX2	0.011192581662774407
RAS_like	8	IYD	0.011011197598115483
RAS_like	9	DUOX1	0.008741092833147081
RAS_like	10	KLK10	0.00742425393532444
RAS_like	11	TG	0.0067637678851960575
RAS_like	12	PAX8	0.0062046601475210916
RAS_like	13	LOX	0.0043738975969519565
RAS_like	14	CDH1	0.003836760140128321
RAS_like	15	THADA	0.003830845923142796
dedifferentiated	1	TWIST1	0.011434068432218914
dedifferentiated	2	CTNNB1	0.0070383020154076706
dedifferentiated	3	VIM	0.006709062513362594
dedifferentiated	4	MSH2	0.005171578611376492
dedifferentiated	5	SNAI2	0.0049837784976849014
dedifferentiated	6	PTEN	0.004945329488896164
dedifferentiated	7	APC	0.004740730813852173
dedifferentiated	8	MET	0.004231400450931702
dedifferentiated	9	AKT1	0.003593452361108581
dedifferentiated	10	CDKN2A	0.0034968747352416237
dedifferentiated	11	THADA	0.0034476973524062856
dedifferentiated	12	CDH1	0.003030946833917465
dedifferentiated	13	FOXE1	0.0025194957803799664
dedifferentiated	14	SLC5A8	0.002262017431261912
dedifferentiated	15	TSHR	0.0022318567723601883
