gene	in_original	in_proxy	shared
AC002401.4	False	True	False
AC004847.1	False	True	False
AC009549.1	False	True	False
ACTBL2	False	True	False
ADAMTS14	False	True	False
AL096865.1	False	True	False
AL137026.1	False	True	False
ALDH1A3	True	False	False
ANKRD18B	True	False	False
AP002358.1	False	True	False
APOE	True	False	False
ARSI	False	True	False
BCHE	True	False	False
BEND6	False	True	False
BNC1	False	True	False
BRINP2	False	True	False
C16ORF89	False	True	False
CA2	True	False	False
CDH1	True	False	False
CDH11	True	False	False
CDK5RAP2	False	True	False
CEACAM6	False	True	False
CFB	False	True	False
CITED1	True	False	False
CLDN1	True	False	False
CLDN10	False	True	False
CLDN16	True	False	False
COL9A3	True	False	False
CPE	True	False	False
CREB5	False	True	False
CRLF2	False	True	False
CRYBG2	False	True	False
CST2	False	True	False
CST5	False	True	False
CYP1B1-AS1	False	True	False
DCSTAMP	False	True	False
DIO1	True	False	False
DIO2	True	False	False
DLK1	True	False	False
DMBX1	False	True	False
DRAXIN	False	True	False
DSC3	False	True	False
DUOX1	True	False	False
DUOX2	True	False	False
DUOXA2	True	False	False
ELFN2	False	True	False
ERBB4	True	False	False
EREG	False	True	False
FAM111A-DT	False	True	False
FAM155B	False	True	False
FAM3B	True	False	False
FBP1	True	False	False
FBP2	True	False	False
FCGRT	True	False	False
FCHO1	False	True	False
FGFBP1	False	True	False
FN1	False	True	False
FOXE1	True	False	False
GJA1	True	False	False
GLIS3	True	False	False
HHEX	True	False	False
HLA-G	False	True	False
ID4	True	False	False
IGFL2	False	True	False
INAVA	False	True	False
IVL	False	True	False
IYD	True	False	False
KCNN4	False	True	False
KIT	True	False	False
KLK6	False	True	False
KLK7	False	True	False
KRT19	True	False	False
LAMB3	True	False	False
LIMS2	True	False	False
LINC00607	False	True	False
LINC02408	False	True	False
LRP4	True	False	False
LRRC52-AS1	False	True	False
LRRK2	True	False	False
LY6G6C	False	True	False
MGAT3	False	True	False
MPPED2	True	False	False
MT1X	True	False	False
MYBPH	False	True	False
NDUFA4L2	True	False	False
NIS	True	False	False
NKX2-1	True	False	False
NR4A2	True	False	False
PAX8	True	False	False
PDE8B	True	False	False
PLA2G16	True	False	False
PLCB4	True	False	False
PNPLA5	False	True	False
PODNL1	False	True	False
PRKCB	True	False	False
RAB27B	False	True	False
RNF183	False	True	False
RPS29P11	False	True	False
RUNX1T1	True	False	False
S100A13	True	False	False
SDR16C5	False	True	False
SERPINA1	True	False	False
SIGLEC6	False	True	False
SLC25A47P1	False	True	False
SLC26A4	True	False	False
SLC26A7	True	False	False
SLC34A2	True	False	False
SLC5A8	True	False	False
SLC6A14	False	True	False
SLC6A20	False	True	False
SMOC2	True	False	False
SORBS2	True	False	False
SPOCD1	False	True	False
SPOCK2	False	True	False
ST6GALNAC5	False	True	False
STAC	False	True	False
SYT1	True	True	True
SYT12	False	True	False
TBL1X	True	False	False
TBX1	True	False	False
TFAP2A	True	False	False
TFCP2L1	True	False	False
TG	True	False	False
TIMP1	True	False	False
TM4SF4	False	True	False
TMEM92	False	True	False
TMPRSS11E	False	True	False
TMPRSS6	False	True	False
TPM1	True	False	False
TPO	True	False	False
TSHR	True	False	False
TTC9	True	False	False
UPP1	True	False	False
VAV3	True	False	False
VGLL1	False	True	False
VTCN1	False	True	False
WARS1P1	False	True	False
WNT10A	False	True	False
WNT5A	True	False	False
XIRP1	True	False	False
ZNF385B	True	False	False
ZNF667	True	False	False
