gene_a	gene_b	source	confidence
BRAF	MAP2K1	STRING	0.999
BRAF	MAP2K2	STRING	0.998
BRAF	RAF1	STRING	0.99
BRAF	ARAF	STRING	0.975
MAP2K1	MAPK1	STRING	0.999
MAP2K1	MAPK3	STRING	0.999
MAP2K2	MAPK1	STRING	0.995
MAP2K2	MAPK3	STRING	0.995
MAPK1	DUSP5	STRING	0.95
MAPK1	DUSP6	STRING	0.97
MAPK3	DUSP5	STRING	0.945
MAPK3	DUSP6	STRING	0.965
DUSP5	DUSP6	STRING	0.82
MAPK1	ETV5	STRING	0.91
ETV5	DUSP6	STRING	0.8
MET	HGF	STRING	0.999
MET	EGFR	STRING	0.92
MET	CBL	STRING	0.9
MET	GRB2	STRING	0.9
MET	MAPK1	BioGRID	0.78
MET	HRAS	STRING	0.85
TG	TPO	STRING	0.95
TG	TSHR	STRING	0.92
TPO	DUOX1	STRING	0.93
TPO	DUOX2	STRING	0.94
DUOX1	DUOX2	STRING	0.9
DUOX2	DUOXA2	STRING	0.95
DIO1	DIO2	STRING	0.85
DIO1	TG	STRING	0.8
DIO2	TSHR	STRING	0.82
FOXE1	PAX8	STRING	0.89
FOXE1	NKX2-1	STRING	0.9
PAX8	NKX2-1	STRING	0.91
PAX8	TG	STRING	0.9
PAX8	TPO	STRING	0.89
PAX8	SLC5A5	STRING	0.91
FOXE1	TPO	STRING	0.8
NKX2-1	TG	STRING	0.9
NKX2-1	TPO	STRING	0.9
SLC5A8	SLC5A5	STRING	0.75
SLC5A8	TSHR	BioGRID	0.72
CD274	PDCD1	STRING	0.999
CD274	IFNG	STRING	0.87
CD274	STAT1	STRING	0.83
HLA-DRA	HLA-DRB1	STRING	0.999
HLA-DRA	CD4	STRING	0.92
HLA-DRA	CIITA	STRING	0.9
HLA-DRA	IFNG	STRING	0.81
LOX	COL1A1	STRING	0.82
LOX	COL3A1	STRING	0.81
LOX	FN1	STRING	0.79
LOX	ELN	STRING	0.8
KLK10	KLK7	STRING	0.78
KLK10	KLK6	STRING	0.75
KLK10	KLK11	STRING	0.75
TACSTD2	EPCAM	STRING	0.82
TACSTD2	CLDN7	STRING	0.76
TACSTD2	CDH1	STRING	0.72
TMPRSS4	ST14	STRING	0.81
TMPRSS4	CDH1	BioGRID	0.72
TMPRSS4	SNAI1	STRING	0.74
CYP1B1	AHR	STRING	0.93
CYP1B1	CYP1A1	STRING	0.91
CYP1B1	NR1I2	STRING	0.76
LDLR	APOB	STRING	0.95
LDLR	PCSK9	STRING	0.95
LDLR	SREBF2	STRING	0.9
LDLR	HMGCR	STRING	0.81
PLEKHA6	PARD3	BioGRID	0.72
PLEKHA6	CTNNB1	BioGRID	0.7
PLEKHA6	CDH1	BioGRID	0.72
AHR	ESR1	STRING	0.8
CYP1B1	ESR1	STRING	0.78
AHR	NKX2-1	BioGRID	0.7
MYC	CCND1	STRING	0.9
MYC	MKI67	STRING	0.75
CCND1	CDK4	STRING	0.99
CDK4	RB1	STRING	0.99
MAPK1	MYC	STRING	0.86
BRAF	HRAS	STRING	0.94
EGFR	ERBB2	STRING	0.94
EGFR	GRB2	STRING	0.96
GRB2	SOS1	STRING	0.97
SOS1	HRAS	STRING	0.94
HRAS	RAF1	STRING	0.96
LOX	MET	BioGRID	0.7
