gene	modality	evidence_class	agent_count	representative_agent	rationale
CYP1B1	SM	clinical	12	resveratrol	flavonoid inhibitors (resveratrol Ph3, quercetin Ph3, luteolin Ph2); TMS preclinical; α-naphthoflavone tool compound
CYP1B1	mAb	none	0		intracellular ER-membrane enzyme — antibodies non-viable
CYP1B1	ADC	none	0		intracellular target — not ADC-accessible
CYP1B1	bispecific	none	0		intracellular target
CYP1B1	siRNA	preclinical	2		CYP1B1 siRNA shown to sensitize tumors in vitro; no clinical program
CYP1B1	PROTAC	hypothesis	0		CYP1B1 PROTAC design feasible via heme-pocket ligand + CRBN warhead; no published program
CYP1B1	CAR_T	none	0		no surface epitope
CYP1B1	radioligand	none	0		intracellular; no high-affinity radiopharmaceutical
CYP1B1	mRNA	none	0		no therapeutic rationale to replace/deliver
CYP1B1	ASO	preclinical	1		Gen-2 ASO knockdown reported in breast cancer models
LDLR	SM	approved	30	atorvastatin	statins up-regulate LDLR via SREBP axis (atorvastatin, rosuvastatin, etc.); ezetimibe complementary
LDLR	mAb	approved	3	evolocumab	PCSK9 mAbs stabilize surface LDLR: evolocumab, alirocumab (approved); tafolecimab (clinical CN)
LDLR	ADC	none	0		LDLR is widely expressed on hepatocytes — ADC would be hepatotoxic
LDLR	bispecific	hypothesis	0		PCSK9 × LDLR bispecifics described conceptually; no clinical program
LDLR	siRNA	approved	2	inclisiran	inclisiran (PCSK9 siRNA, Novartis) → raises LDLR indirectly; lepodisiran Ph3
LDLR	PROTAC	none	0		LDLR up-regulation is therapeutic goal — degradation counter-productive
LDLR	CAR_T	none	0		no specific tumor-restricted expression
LDLR	radioligand	preclinical	1		Cu-64 LDL particle imaging explored; not therapeutic
LDLR	mRNA	preclinical	2		LDLR mRNA replacement for homozygous FH under investigation (Moderna)
LDLR	ASO	approved	1	mipomersen	mipomersen (ApoB ASO) reduces LDL indirectly; volanesorsen (ApoC3) approved EU
TACSTD2	SM	none	0		extracellular adhesion molecule — no small-molecule chemistry
TACSTD2	mAb	clinical	5		RN927C, datopotamab, sacituzumab all have naked-mAb PK data
TACSTD2	ADC	approved	4	sacituzumab_govitecan	🔥 sacituzumab govitecan (Trodelvy) approved breast/urothelial; datopotamab deruxtecan (Dato-DXd) Ph3 lung; SKB264 Ph3 CN; BAT8003 preclinical
TACSTD2	bispecific	clinical	2		TROP2 × CD3 bispecifics entering Ph1 (Chugai CMG901-like, IGM)
TACSTD2	siRNA	preclinical	1		TROP2 siRNA anti-proliferative in vitro; no clinical
TACSTD2	PROTAC	none	0		extracellular target — not amenable to cytosolic E3 machinery
TACSTD2	CAR_T	clinical	3		TROP2 CAR-T Ph1 (NCT04151186 gastric; Legend Biotech)
TACSTD2	radioligand	preclinical	2		⁶⁴Cu- and ¹⁷⁷Lu-labelled anti-TROP2 preclinical; Actinium Pharma exploratory
TACSTD2	mRNA	none	0		not a replacement target
TACSTD2	ASO	none	0		less competitive vs. ADC for a surface-expressed oncogene
TMPRSS4	SM	clinical	6	nafamostat	nafamostat (approved JP pancreatitis/DIC; tested as host-protease inhibitor); camostat (approved JP); gabexate; sivelestat
TMPRSS4	mAb	preclinical	1		anti-TMPRSS4 mAb against extracellular protease domain reported (Kim 2020)
TMPRSS4	ADC	hypothesis	0		extracellular protease domain internalizing — conceptually ADC-amenable
TMPRSS4	bispecific	none	0		no rationale beyond ADC
TMPRSS4	siRNA	preclinical	3		TMPRSS4 siRNA reduces invasion in colon/thyroid models (Kim lab)
TMPRSS4	PROTAC	hypothesis	0		plasma-membrane PROTAC uncommon; one exception family (LyTACs)
TMPRSS4	CAR_T	none	0		low broad expression for CAR-T
TMPRSS4	radioligand	none	0		not developed
TMPRSS4	mRNA	none	0		
TMPRSS4	ASO	preclinical	1		ASO prototypes reported academically
GABRB2	SM	approved	20	diazepam	benzodiazepines (diazepam, midazolam, clonazepam); Z-drugs (zolpidem); anaesthetics (etomidate, propofol); flumazenil antagonist
GABRB2	mAb	none	0		ion-channel intracellular/membrane-embedded – not an antibody target
GABRB2	ADC	none	0		
GABRB2	bispecific	none	0		
GABRB2	siRNA	preclinical	1		GABRB2 siRNA explored in neuropsychiatric models
GABRB2	PROTAC	hypothesis	0		ion channel PROTAC (e.g., GABAAR) remains exploratory
GABRB2	CAR_T	none	0		
GABRB2	radioligand	approved	1		[¹¹C]flumazenil PET tracer (benzodiazepine site) — diagnostic
GABRB2	mRNA	none	0		
GABRB2	ASO	preclinical	1		antisense modulation described
PLEKHA6	SM	hypothesis	0		scaffold PH domain — challenging pocket; no chemical probes
PLEKHA6	mAb	none	0		intracellular junctional scaffold
PLEKHA6	ADC	none	0		
PLEKHA6	bispecific	none	0		
PLEKHA6	siRNA	preclinical	1		PLEKHA6 siRNA reduces copper-ATP7A junction retention in vitro
PLEKHA6	PROTAC	hypothesis	0		PH-domain PROTACs feasible (cf. AKT PH-domain PROTACs); de novo
PLEKHA6	CAR_T	none	0		
PLEKHA6	radioligand	none	0		
PLEKHA6	mRNA	none	0		
