endpoint	value	source
physchem.smiles	CCc1c2cc(O)ccc2nc2cc3c(cc12)Cn1c-3cc2c(c1=O)COC(=O)C2(O)CC	RDKit 2026.03
physchem.mol_weight	442.47	RDKit 2026.03
physchem.logp_crippen	3.5	RDKit 2026.03
physchem.h_bond_donors	2	RDKit 2026.03
physchem.h_bond_acceptors	6	RDKit 2026.03
physchem.tpsa	101.65	RDKit 2026.03
physchem.rotatable_bonds	2	RDKit 2026.03
physchem.num_heavy_atoms	33	RDKit 2026.03
physchem.num_aromatic_rings	4	RDKit 2026.03
physchem.qed	0.321	RDKit 2026.03
physchem.lipinski_ro5_violations	0	RDKit 2026.03
literature.oral_bioavailability_qual	very low; primarily IV administration	claude-haiku-4-5 literature synthesis
literature.half_life_h	2.8-3.0	claude-haiku-4-5 literature synthesis
literature.primary_metabolism	glucuronidation	claude-haiku-4-5 literature synthesis
literature.ugt1a1_involvement	yes; UGT1A1 is primary enzyme for SN-38 glucuronidation	claude-haiku-4-5 literature synthesis
literature.plasma_protein_binding_pct	95-97	claude-haiku-4-5 literature synthesis
literature.cyp3a4_substrate	no; not a CYP3A4 substrate	claude-haiku-4-5 literature synthesis
literature.bbb_permeability	low; high plasma protein binding limits CNS penetration	claude-haiku-4-5 literature synthesis
literature.hepatotoxicity_risk	moderate; biliary excretion of glucuronide can cause cholestasis	claude-haiku-4-5 literature synthesis
literature.myelosuppression_risk	high; dose-limiting toxicity	claude-haiku-4-5 literature synthesis
literature.diarrhea_mechanism	enterohepatic recirculation of SN-38 glucuronide; bacterial β-glucuronidase cleaves conjugate in colon	claude-haiku-4-5 literature synthesis
literature.active_form_relative_potency_vs_camptothecin	100-1000 fold more potent	claude-haiku-4-5 literature synthesis
literature.ic50_nm_topoisomerase_I	0.1-0.3	claude-haiku-4-5 literature synthesis
literature.solubility_mg_per_ml	0.1-0.5; poorly water-soluble	claude-haiku-4-5 literature synthesis
literature.clearance_pathway	hepatic glucuronidation followed by biliary excretion	claude-haiku-4-5 literature synthesis
literature.key_toxicity_note	UGT1A1*28 polymorphism increases glucuronide accumulation and toxicity risk; dose reduction recommended for homozygous carriers	claude-haiku-4-5 literature synthesis
