panel	asset	path	purpose
Fig. 0O	impact banner	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_impact_banner.png	Single top-screen banner that reinforces the claim without adding clutter.
Fig. 0N	micro strip	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_micro_strip.png	Shortest numeric strip for the absolute first visual hit.
Fig. 0M	claim strip	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_claim_strip.png	Shortest possible claim strip for the very first screen.
Fig. 0L	topline banner	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_topline_banner.png	Shortest possible opening banner for immediate claim lock.
Fig. 0K	launch banner	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_launch_banner.png	Topmost launch banner that hits the claim before anything else.
Fig. 0J	cover slab	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_cover_slab.png	Largest front-page slab with the clearest claim boundary.
Fig. 0H	opening impact board	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_opening_impact_board.png	Top-screen impact board that locks the page verdict immediately.
Fig. 0I	verdict wall	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_verdict_wall.png	Largest first-screen verdict wall for immediate impact.
Fig. 0A	evidence stack	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_evidence_stack.png	Single-line evidence stack for the whole page.
Fig. 0B	verdict poster	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_verdict_poster.png	Hero-level claim boundary and summary poster.
Fig. 0C	claim poster	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_claim_poster.png	Full-width claim poster for the first screen.
Fig. 0D	front-page collage	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_frontpage_collage.png	First-screen collage across claim, benchmark, replay, and case.
Fig. 0E	super poster	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_super_poster.png	One-screen ultra-summary poster.
Fig. 0F	monument poster	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_monument_poster.png	Dark hero-style monument poster for the first screen.
Fig. 0G	cover wall	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_cover_wall.png	True first-screen cover wall for the dossier.
Fig. 1	dataset ladder	project/results/p_neo_ici_combo_2026_05_11/figures/Fig_NeoICI_combo_dataset_ladder.png	Public combo dataset registry and evidence ladder.
Fig. 2	algorithm gauntlet	project/results/p_neo_ici_combo_2026_05_11/figures/Fig_NeoICI_algorithm_gauntlet_AUPRC.png	NeoICI vs existing algorithms.
Fig. 2A	algorithm rank bars	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_algorithm_rankbars.png	Human-readable rank order on the validation-like split.
Fig. 2B	algorithm heatmap	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_algorithm_heatmap.png	Top algorithm metrics as a simple heatmap.
