candidate	candidate_type	class	dependency_evidence	expression_evidence	drug_response_evidence	artifact_risk	thyroid_specific_coverage	pan_cancer_corrected_association	claim_status	claim_boundary	evidence_tier	verdict
GLUD1	gene	glutamate_dehydrogenase	supportive; r=0.0754, p=0.0109, n=1140	weak_or_none; r=0.0477, p=0.0481, n=1719	not_testable; matches=0; no matched processed drug metadata	low_to_moderate	strict dependency n=11; strict expression n=22; underpowered	supportive; r=0.0619, p=0.0365	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	MEDIUM	PRIORITIZE_FOR_WETLAB
SLC1A5	gene	glutamine_transport	supportive; r=0.102, p=0.000533, n=1140	weak_or_none; r=-0.0659, p=0.00624, n=1719	not_testable; matches=0; no matched processed drug metadata	moderate_tissue_context_risk	strict dependency n=11; strict expression n=22; underpowered	supportive; r=0.078, p=0.00838	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	MEDIUM	PRIORITIZE_FOR_WETLAB
GLS	gene	glutaminase	supportive; r=0.0881, p=0.0029, n=1140	supportive; r=0.127, p=1.26e-07, n=1719	weak_or_discordant; matches=1; GDSC1_AUC BPTES GDSC1:1425 DPC-007404 r=-0.0153, p=0.694	moderate_tissue_context_risk	strict dependency n=11; strict expression n=22; underpowered	supportive; r=0.0808, p=0.00635	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	MEDIUM_MINUS	KEEP_AS_CANDIDATE
MYC_glutamine_addiction_module	module	myc_glutamine_addiction	supportive; r=0.136, p=4.04e-06, n=1140	weak_or_none; r=0.0278, p=0.25, n=1719	weak_or_discordant; matches=9; CTRP_AUC SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL) CTRP:660134 DPC-005968 r=-0.165, p=5.33e-06	moderate_high_proliferation_or_common_essential_risk	strict dependency n=11; strict expression n=22; underpowered	supportive; r=0.176, p=2.26e-09	weak_artifact_guard_required	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	HYPOTHESIS_SUPPORT_ARTIFACT_GUARDED	KEEP_AS_AXIS_OR_SECONDARY
LDHA_glycolysis_comparator	module	glycolysis_comparator	weak_or_negative; r=0.027, p=0.362, n=1140	supportive; r=0.194, p=4.33e-16, n=1719	not_testable; matches=0; no matched processed drug metadata	moderate_high_proliferation_or_common_essential_risk	strict dependency n=11; strict expression n=22; underpowered	supportive; r=0.0658, p=0.0263	weak_comparator_only	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW_ARTIFACT_GUARDED	COMPARATOR_ONLY
NAMPT_NAD_salvage_comparator	module	nad_salvage_comparator	weak_or_negative; r=0.0273, p=0.357, n=1140	supportive; r=-0.196, p=2.14e-16, n=1719	not_testable; matches=0; no matched processed drug metadata	moderate_high_proliferation_or_common_essential_risk	strict dependency n=11; strict expression n=22; underpowered	supportive; r=0.057, p=0.0545	weak_comparator_only	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW_ARTIFACT_GUARDED	COMPARATOR_ONLY
OXPHOS_comparator	module	oxphos_comparator	weak_or_negative; r=0.0315, p=0.288, n=1140	weak_or_none; r=0.0634, p=0.00859, n=1719	weak_or_discordant; matches=2; CTRP_AUC OLIGOMYCIN A CTRP:411869 DPC-004751 r=-0.101, p=0.00557	moderate_high_proliferation_or_common_essential_risk	strict dependency n=11; strict expression n=22; underpowered	weak_or_none; r=0.0243, p=0.412	weak_comparator_only	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW_ARTIFACT_GUARDED	COMPARATOR_ONLY
ASNS	gene	amino_acid_synthesis	weak_or_negative; r=0.0381, p=0.199, n=1140	weak_or_none; r=-0.0716, p=0.00296, n=1719	not_testable; matches=0; no matched processed drug metadata	low_to_moderate	strict dependency n=11; strict expression n=22; underpowered	weak_or_none; r=0.0391, p=0.187	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW	WATCHLIST
GLUD2	gene	glutamate_dehydrogenase	weak_or_negative; r=-0.0203, p=0.493, n=1140	weak_or_none; r=0.0586, p=0.0151, n=1719	not_testable; matches=0; no matched processed drug metadata	low_to_moderate	strict dependency n=11; strict expression n=22; underpowered	weak_or_none; r=-0.0351, p=0.236	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW	WATCHLIST
GOT1	gene	transaminase	weak_or_negative; r=0.0213, p=0.472, n=1140	weak_or_none; r=0.0197, p=0.414, n=1719	not_testable; matches=0; no matched processed drug metadata	low_to_moderate	strict dependency n=11; strict expression n=22; underpowered	weak_or_none; r=-0.0153, p=0.605	allowed_candidate_hypothesis	allowed: metabolic candidate prioritization; weak: thyroid-specific inference; forbidden: validated synthetic lethality or treatment recommendation	LOW	WATCHLIST
