section	story_step	why_here	figure_or_table	boundary_sentence
Title/Abstract	Name the paper as a framework/prior-map paper	No-Yu data can support a translational rationale, not discovery	Fig. 1 summary schematic	Do not say postoperative transition was discovered
Introduction paragraph 1	PTC is usually curable but residual-risk biology is hard to read after surgery	creates clinical gap	Fig. 1A	avoid implying current tools are useless
Introduction paragraph 2	Yu 2024 shows CTC-EMT measurement around thyroidectomy is feasible	published anchor	literature anchor box	do not present Yu as our dataset
Introduction paragraph 3	No public dataset integrates serial CTC-EMT, matched NGS, cfDNA, tissue context, and outcome	main gap	Fig. 7 / Table gap	avoid saying no one has ever studied CTCs
Results 1	Public multi-omics can build a prior but not test the transition	data provenance first	Fig. 2	no CTC conclusion
Results 2	BRAF/mutation alone does not resolve tissue-state heterogeneity	TCGA BRAF split and variance models	Fig. 3	no causality
Results 3	Tissue states are spatially organized	spatial coherence and adjacency	Fig. 4	not CTC origin
Results 4	Marker modules have cell and protein context	scRNA/proteomics support	Fig. 5	not validated blood assay
Results 5	Construct CTC-EMT-NGS prior map	panel logic and clone anchor	Fig. 6	research-grade, not diagnostic
Discussion	The real test requires serial hospital CTC/cfDNA/tissue NGS	bridge to Samsung Science proposal	Fig. 7	future validation needed
Reviewer defense	Use hard claim boundaries and kill criteria	credibility	Fig. 8 / Table 4	no recurrence prediction
