paper_item	title	asset_or_table	data_used	manuscript_position	allowed_takeaway	claim_boundary
Fig. 1	Clinical gap and perturbation model	PF01_manuscript_flow.png; slide01/02 figures	Yu 2024 literature + proposal logic	Introduction / Rationale	Thyroidectomy is a controlled human perturbation for serial CTC-EMT monitoring	not a clinical diagnostic
Fig. 2	Public data layer/provenance map	PF02_data_provenance_map.png; F02_public_data_layer_map.png	TCGA, spatial, scRNA, proteomics, Yu literature	Results 1 / Methods overview	public data can construct a prior map	does not prove CTC biology
Fig. 3	Mutation alone is insufficient	F03_tcga_braf_state_split.png; tcga_braf_only_vulnerability_axis_heatmap.png	TCGA-THCA BRAF-mutant subset	Results 2	BRAF tumors split across tissue states	no recurrence/CTC claim
Fig. 4	Spatial tissue-state organization	F05_spatial_tissue_state_organization.png; spatial_coherence_summary.png	GSE250521 spatial transcriptomics	Results 3	tissue states are spatially coherent	not a shedding origin proof
Fig. 5	Single-cell/proteomics marker support	F06_scrna_marker_context.png; F07_proteomics_dediff_direction.png	scRNA module table + bulk proteomics proxy	Results 4	marker modules have tissue/cell/protein rationale	not CTC validation
Fig. 6	CTC-EMT-NGS prior panel	F08_ctc_emt_ngs_prior_panel.png; PF03_marker_to_ngs_map.png	marker prior table + thyroid cancer drivers	Results 5 / Proposal bridge	define research-grade phenotype/genotype panel	not a locked clinical assay
Fig. 7	Dataset gap and prospective design	PF04_dataset_gap_bridge.png; slide08/09 figures	public dataset gap table + Samsung study design	Discussion / Future validation	integrated serial CTC-EMT-NGS dataset is missing and needed	not solved by public data
Fig. 8	Claim boundary and kill criteria	PF05_claim_boundary_matrix.png; F09_publishability_decision.png	claim boundary reports and reviewer defense	Discussion / Reviewer defense	explicit boundaries make proposal credible	no overclaiming
Table 1	Data dictionary	data_dictionary_master.tsv	all local/public/planned datasets	Methods / Supplement	each data layer has defined role and limits	no untracked source
Table 2	Figure/table manifest	figure_table_manifest.tsv	all selected outputs	Supplement	every figure maps to a source and claim	no floating figure
Table 3	Manuscript flow outline	manuscript_flow_outline.tsv	proposal/no-Yu outputs	Writing plan	result sequence is fixed	not final prose
Table 4	Claim boundary matrix	claim_boundary_matrix.tsv	claim-boundary reports	Reviewer defense	allowed/forbidden statements are separated	not defensive handwaving
