evidence_id	dataset	cohort_definition	n_total	n_event	n_control	molecular_measure	endpoint	endpoint_timing	comparison	effect_measure	effect_estimate	ci_low	ci_high	p_value	q_value	model	covariates	unit_of_analysis	independence_issue	missingness	power_or_mde	source_raw_file	source_script	source_output	reproduced	claim_supported	claim_not_supported	risk_level	notes
IC-01	TCGA-THCA	RAI-treated (mCi) TCGA-THCA patients with an evaluable treatment_best_response and an 8-gene panel score; index course selected per rule	167	26	141	8-gene thyroid-differentiation panel z-score (TG,TSHR,SLC5A5,TPO,NKX2-1,FOXE1,DIO1,PAX8)	failure to achieve complete response to radioiodine (non-CR vs CR), treatment_best_response field, GDC BCR Biotab radiation table	response to indexed RAI course (rule varies by row)	index rule = first course (earliest start day); non-CR vs CR	Cohen's d	-0.0	-0.445	0.457	0.9104		Mann-Whitney U (d + bootstrap CI); ordinal gradient CR>PR>SD>PD via Spearman	none (unadjusted)	patient	none — one indexed course per patient by construction	167/235 RAI-treated panel-scored patients have an evaluable treatment_best_response (68 missing/not evaluable)	see POW-TCGA-BR-01	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/01_tcga_cohort_and_index_course.py	rai-response-genomics-atlas/results/tables/audit01_index_course_sensitivity_2026_08_06.tsv; audit/rai_integration_20260806/03_TCGA_COHORT_CONSTRUCTION_AUDIT.md	exact	Confirms the null is robust to the choice of index course: all five rules give |d|<=0.03, P>0.7 (first/worst-course rules P=0.91).	Cannot support any claim that panel score predicts response to a specific (e.g. first) radioiodine course.	low	This audit table replaces an implicit first-pass choice ('best response across courses', row IC-04) that was not disclosed as a choice. Ordinal-gradient Spearman rho and its p-value are reported in the same source row (rho column here is the ordinal CR->PR->SD->PD gradient statistic, n=167 in all cases, not a second independent test of the binary contrast).
IC-01b	TCGA-THCA	same as IC-01, ordinal endpoint (CR/PR/SD/PD) instead of binary non-CR/CR	167			8-gene panel z-score	ordinal gradient CR>PR>SD>PD in treatment_best_response	response to indexed RAI course	index rule = first course (earliest start day); ordinal trend	Spearman rho	-0.0193			0.8044		Spearman rank correlation	none	patient	none — one indexed course per patient by construction			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/01_tcga_cohort_and_index_course.py	rai-response-genomics-atlas/results/tables/audit01_index_course_sensitivity_2026_08_06.tsv	exact	No monotonic trend across response grades under any index rule (|rho|<=0.036).		low	Companion ordinal statistic to IC-01.
IC-02	TCGA-THCA	RAI-treated (mCi) TCGA-THCA patients with an evaluable treatment_best_response and an 8-gene panel score; index course selected per rule	167	24	143	8-gene thyroid-differentiation panel z-score (TG,TSHR,SLC5A5,TPO,NKX2-1,FOXE1,DIO1,PAX8)	failure to achieve complete response to radioiodine (non-CR vs CR), treatment_best_response field, GDC BCR Biotab radiation table	response to indexed RAI course (rule varies by row)	index rule = last course; non-CR vs CR	Cohen's d	-0.03	-0.505	0.459	0.7305		Mann-Whitney U (d + bootstrap CI); ordinal gradient CR>PR>SD>PD via Spearman	none (unadjusted)	patient	none — one indexed course per patient by construction	167/235 RAI-treated panel-scored patients have an evaluable treatment_best_response (68 missing/not evaluable)	see POW-TCGA-BR-01	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/01_tcga_cohort_and_index_course.py	rai-response-genomics-atlas/results/tables/audit01_index_course_sensitivity_2026_08_06.tsv; audit/rai_integration_20260806/03_TCGA_COHORT_CONSTRUCTION_AUDIT.md	exact	Confirms the null is robust to the choice of index course: all five rules give |d|<=0.03, P>0.7 (first/worst-course rules P=0.91).	Cannot support any claim that panel score predicts response to a specific (e.g. first) radioiodine course.	low	This audit table replaces an implicit first-pass choice ('best response across courses', row IC-04) that was not disclosed as a choice. Ordinal-gradient Spearman rho and its p-value are reported in the same source row (rho column here is the ordinal CR->PR->SD->PD gradient statistic, n=167 in all cases, not a second independent test of the binary contrast).
IC-02b	TCGA-THCA	same as IC-02, ordinal endpoint (CR/PR/SD/PD) instead of binary non-CR/CR	167			8-gene panel z-score	ordinal gradient CR>PR>SD>PD in treatment_best_response	response to indexed RAI course	index rule = last course; ordinal trend	Spearman rho	-0.0358			0.6458		Spearman rank correlation	none	patient	none — one indexed course per patient by construction			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/01_tcga_cohort_and_index_course.py	rai-response-genomics-atlas/results/tables/audit01_index_course_sensitivity_2026_08_06.tsv	exact	No monotonic trend across response grades under any index rule (|rho|<=0.036).		low	Companion ordinal statistic to IC-02.
IC-03	TCGA-THCA	RAI-treated (mCi) TCGA-THCA patients with an evaluable treatment_best_response and an 8-gene panel score; index course selected per rule	167	24	143	8-gene thyroid-differentiation panel z-score (TG,TSHR,SLC5A5,TPO,NKX2-1,FOXE1,DIO1,PAX8)	failure to achieve complete response to radioiodine (non-CR vs CR), treatment_best_response field, GDC BCR Biotab radiation table	response to indexed RAI course (rule varies by row)	index rule = highest-dose course; non-CR vs CR	Cohen's d	-0.03	-0.505	0.459	0.7305		Mann-Whitney U (d + bootstrap CI); ordinal gradient CR>PR>SD>PD via Spearman	none (unadjusted)	patient	none — one indexed course per patient by construction	167/235 RAI-treated panel-scored patients have an evaluable treatment_best_response (68 missing/not evaluable)	see POW-TCGA-BR-01	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/01_tcga_cohort_and_index_course.py	rai-response-genomics-atlas/results/tables/audit01_index_course_sensitivity_2026_08_06.tsv; audit/rai_integration_20260806/03_TCGA_COHORT_CONSTRUCTION_AUDIT.md	exact	Confirms the null is robust to the choice of index course: all five rules give |d|<=0.03, P>0.7 (first/worst-course rules P=0.91).	Cannot support any claim that panel score predicts response to a specific (e.g. first) radioiodine course.	low	This audit table replaces an implicit first-pass choice ('best response across courses', row IC-04) that was not disclosed as a choice. Ordinal-gradient Spearman rho and its p-value are reported in the same source row (rho column here is the ordinal CR->PR->SD->PD gradient statistic, n=167 in all cases, not a second independent test of the binary contrast).
IC-03b	TCGA-THCA	same as IC-03, ordinal endpoint (CR/PR/SD/PD) instead of binary non-CR/CR	167			8-gene panel z-score	ordinal gradient CR>PR>SD>PD in treatment_best_response	response to indexed RAI course	index rule = highest-dose course; ordinal trend	Spearman rho	-0.0358			0.6458		Spearman rank correlation	none	patient	none — one indexed course per patient by construction			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/01_tcga_cohort_and_index_course.py	rai-response-genomics-atlas/results/tables/audit01_index_course_sensitivity_2026_08_06.tsv	exact	No monotonic trend across response grades under any index rule (|rho|<=0.036).		low	Companion ordinal statistic to IC-03.
IC-04	TCGA-THCA	RAI-treated (mCi) TCGA-THCA patients with an evaluable treatment_best_response and an 8-gene panel score; index course selected per rule	167	24	143	8-gene thyroid-differentiation panel z-score (TG,TSHR,SLC5A5,TPO,NKX2-1,FOXE1,DIO1,PAX8)	failure to achieve complete response to radioiodine (non-CR vs CR), treatment_best_response field, GDC BCR Biotab radiation table	response to indexed RAI course (rule varies by row)	index rule = best response across courses (= first-pass primary, superseded as sole index choice); non-CR vs CR	Cohen's d	-0.03	-0.505	0.459	0.7305		Mann-Whitney U (d + bootstrap CI); ordinal gradient CR>PR>SD>PD via Spearman	none (unadjusted)	patient	none — one indexed course per patient by construction	167/235 RAI-treated panel-scored patients have an evaluable treatment_best_response (68 missing/not evaluable)	see POW-TCGA-BR-01	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/01_tcga_cohort_and_index_course.py	rai-response-genomics-atlas/results/tables/audit01_index_course_sensitivity_2026_08_06.tsv; audit/rai_integration_20260806/03_TCGA_COHORT_CONSTRUCTION_AUDIT.md	exact	Confirms the null is robust to the choice of index course: all five rules give |d|<=0.03, P>0.7 (first/worst-course rules P=0.91).	Cannot support any claim that panel score predicts response to a specific (e.g. first) radioiodine course.	low	This audit table replaces an implicit first-pass choice ('best response across courses', row IC-04) that was not disclosed as a choice. Ordinal-gradient Spearman rho and its p-value are reported in the same source row (rho column here is the ordinal CR->PR->SD->PD gradient statistic, n=167 in all cases, not a second independent test of the binary contrast).
IC-04b	TCGA-THCA	same as IC-04, ordinal endpoint (CR/PR/SD/PD) instead of binary non-CR/CR	167			8-gene panel z-score	ordinal gradient CR>PR>SD>PD in treatment_best_response	response to indexed RAI course	index rule = best response across courses (= first-pass primary, superseded as sole index choice); ordinal trend	Spearman rho	-0.0358			0.6458		Spearman rank correlation	none	patient	none — one indexed course per patient by construction			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/01_tcga_cohort_and_index_course.py	rai-response-genomics-atlas/results/tables/audit01_index_course_sensitivity_2026_08_06.tsv	exact	No monotonic trend across response grades under any index rule (|rho|<=0.036).		low	Companion ordinal statistic to IC-04.
IC-05	TCGA-THCA	RAI-treated (mCi) TCGA-THCA patients with an evaluable treatment_best_response and an 8-gene panel score; index course selected per rule	167	26	141	8-gene thyroid-differentiation panel z-score (TG,TSHR,SLC5A5,TPO,NKX2-1,FOXE1,DIO1,PAX8)	failure to achieve complete response to radioiodine (non-CR vs CR), treatment_best_response field, GDC BCR Biotab radiation table	response to indexed RAI course (rule varies by row)	index rule = worst response across courses; non-CR vs CR	Cohen's d	-0.0	-0.445	0.457	0.9104		Mann-Whitney U (d + bootstrap CI); ordinal gradient CR>PR>SD>PD via Spearman	none (unadjusted)	patient	none — one indexed course per patient by construction	167/235 RAI-treated panel-scored patients have an evaluable treatment_best_response (68 missing/not evaluable)	see POW-TCGA-BR-01	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/01_tcga_cohort_and_index_course.py	rai-response-genomics-atlas/results/tables/audit01_index_course_sensitivity_2026_08_06.tsv; audit/rai_integration_20260806/03_TCGA_COHORT_CONSTRUCTION_AUDIT.md	exact	Confirms the null is robust to the choice of index course: all five rules give |d|<=0.03, P>0.7 (first/worst-course rules P=0.91).	Cannot support any claim that panel score predicts response to a specific (e.g. first) radioiodine course.	low	This audit table replaces an implicit first-pass choice ('best response across courses', row IC-04) that was not disclosed as a choice. Ordinal-gradient Spearman rho and its p-value are reported in the same source row (rho column here is the ordinal CR->PR->SD->PD gradient statistic, n=167 in all cases, not a second independent test of the binary contrast).
IC-05b	TCGA-THCA	same as IC-05, ordinal endpoint (CR/PR/SD/PD) instead of binary non-CR/CR	167			8-gene panel z-score	ordinal gradient CR>PR>SD>PD in treatment_best_response	response to indexed RAI course	index rule = worst response across courses; ordinal trend	Spearman rho	-0.0193			0.8044		Spearman rank correlation	none	patient	none — one indexed course per patient by construction			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/01_tcga_cohort_and_index_course.py	rai-response-genomics-atlas/results/tables/audit01_index_course_sensitivity_2026_08_06.tsv	exact	No monotonic trend across response grades under any index rule (|rho|<=0.036).		low	Companion ordinal statistic to IC-05.
