claim_id,file,section,line,original_text,claim_type,evidence_required,evidence_available,support_level,problem,recommended_action,replacement_text,priority
NCv2-001,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,front matter / status,7,"status: v2 draft — integrates predictive-interaction finding (A2, TCGA p_ix = 0.022), external axis replication (Lee 2024 p = 2.7e-7), IHC 3-plex killer finding (BRAF+ PFI p = 1.7e-4), multi-omics 5-way convergence and SNUBH n=200 power simulation",methodological,"internal changelog, not a reader-facing claim",n/a,not testable,"Uses 'predictive-interaction' label for a DM1xBRAF genotype interaction on PFI, not a treatment(RAI)xscore interaction.","No manuscript action required (YAML front matter, not body text); rename to 'genotype-interaction finding' for internal consistency once body text is corrected.",n/a (internal metadata),P3 minor
NCv2-002,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,front matter / v2_changes,17,"Results §3: new subsection ""A predictive interaction with BRAF V600E status"" (from A2)",methodological,internal changelog,n/a,not testable,"Same 'predictive' mislabeling as NCv2-001, propagated into section title.",Align with corrected section-title recommendation at NCv2-010.,n/a (internal metadata),P3 minor
NCv2-003,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,front matter / v2_changes,22,"Discussion ""Clinical implications"": upgraded to treatment-selection biomarker framing",methodological,internal changelog,n/a,not testable,"Documents the editorial decision that produced the P0 treatment-selection claims flagged below (NCv2-024, NCv2-026).",Revert this changelog line once treatment-selection framing is walked back.,n/a (internal metadata),P3 minor
NCv2-004,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Title,29,# A thyroid-lineage state marks radioiodine-refractory biology in BRAF V600E-mutant papillary thyroid cancer,descriptive,association between DM1 axis and radioiodine-refractory biology,GSE151179 post-RAI d≈-1.0 anchor; new TCGA Firth OR 0.221/0.224 for post-treatment structural events in RAI-treated patients,partially supported,"Title uses 'marks ... biology' (already softened per CLAIM_LANGUAGE_MATRIX from an earlier 'predicts' version). This is defensible given GT3 (prognostic within RAI-treated patients) but must not be read as RAI-response prediction (GT2: d=-0.03 to -0.00, P=0.73-0.91 for initial RAI response).","Keep title language ('marks ... biology'); do not revert to 'predicts radioiodine-refractoriness' per CLAIM_LANGUAGE_MATRIX title rule. Consider adding 'within BRAF V600E-mutant, RAI-treated patients' scope qualifier once GT3 result is incorporated.",A thyroid-lineage state is associated with post-treatment structural outcome in radioiodine-treated BRAF V600E-mutant papillary thyroid cancer,P2 moderate
NCv2-005,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Abstract,40,"Radioiodine remains central to differentiated thyroid cancer management, yet current molecular frameworks do not directly measure the thyroid-lineage machinery required for iodine uptake and organification, and cannot identify BRAF V600E-mutant patients in whom repeated high-dose radioiodine may be biologically futile.",descriptive,"background/motivation claim, not a study result",field-standard background,supported,None; standard motivating background sentence.,No action needed.,n/a,P3 minor
NCv2-006,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Abstract,40,"In TCGA-THCA (n = 504), this axis resolves iodine-handling-low (DM1) and iodine-handling-high (DM2) states that are recovered by pan-genome clustering (ARI = 0.92), and DM1 is associated with overall survival (pooled hazard ratio 2.53, 95% CI 1.31-4.89; I^2 = 0%).",survival,"TCGA+MSK pooled OS hazard ratio, clustering ARI",AUDIT_LOCKED_RESULTS.md-tracked TCGA+MSK meta-analysis,supported,"None identified against the RAI ground truth (this is an OS claim, not an RAI-response claim).",No action needed for this sentence specifically.,n/a,P3 minor
NCv2-007,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Abstract,40,"Critically, we identify a significant interaction between DM1 and BRAF V600E status on progression-free interval (Cox interaction p = 0.022, HR_int = 0.47; n = 472), such that DM1-low tumours have shorter progression-free interval than DM1-high tumours within the BRAF+ subset (continuous thyroid differentiation score HR per +1 SD = 0.66, 95% CI 0.48-0.92, where higher score = more iodine-handling-high; log-rank p = 7.6 x 10^-3) but the score is not associated with outcome in BRAF- or RAS+ tumours.",prognostic,DM1 x BRAF genotype interaction Cox model on PFI,TCGA-THCA n=472 Cox interaction model (existing result),supported,"This is a DM1 x BRAF-genotype interaction on progression-free interval, not a DM1 x RAI-treatment interaction. The word 'Critically' and framing as a headline abstract finding invites readers to interpret this as evidence the axis predicts RAI treatment benefit, which the new RAI-treatment interaction test does not support (GT4: RAI-treatment x score interaction not estimable, P=0.077, only 2 events among non-RAI patients).","Keep the numeric PFI-interaction result (it is internally supported) but add an explicit sentence clarifying this is a driver-genotype interaction, not a radioiodine-treatment interaction, and that a direct RAI-treatment x score interaction test was not estimable.","...but the score is not associated with outcome in BRAF- or RAS+ tumours. This is an interaction with driver genotype, not with radioiodine treatment itself; a direct radioiodine-treatment x score interaction could not be estimated in this cohort because too few non-RAI-treated patients had recorded events.",P1 major
NCv2-008,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Abstract,40,"An in-silico expression proxy based on promoter methylation of a three-marker combination (TG + PAX8 + NKX2-1) — using antibodies already in routine clinical use for thyroid pathology — reproduces this stratification with log-rank p = 1.7 x 10^-4 in the BRAF+ subset, without requiring new assay development, although direct immunohistochemistry validation on tissue sections has not been performed.",methodological,"IHC-3plex in-silico methylation proxy, BRAF+ PFI stratification",existing HM450 proxy analysis,supported,"Appropriately hedged already (""in-silico"", ""has not been performed""). Restates the same PFI (not RAI-response) endpoint as NCv2-007.",No independent action beyond NCv2-007's fix; ensure this proxy is not later described as validating RAI response.,n/a,P3 minor
NCv2-009,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Abstract,40,"The DM1 axis itself replicates across five independent external cohorts, most strongly in Lee 2024 (Korean n = 370, Mann-Whitney p = 2.7 x 10^-7). Monte Carlo simulation using TCGA-derived priors predicts >90% power for prospective replication at n = 200.",external-validation,cross-cohort axis replication + power simulation,existing multi-cohort replication analyses,supported,None identified against RAI ground truth.,No action needed.,n/a,P3 minor
NCv2-010,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Abstract,40,"These findings position the eight-gene axis, and its in-silico IHC 3-plex derivative, as a candidate treatment-selection hypothesis for the BRAF-mutant subset of differentiated thyroid cancer, subject to prospective validation.",treatment-effect,"evidence that DM1 predicts differential treatment benefit (i.e., a score x RAI-treatment interaction)","None: RAI-treatment x score interaction is not estimable (GT4, P=0.077, 2 events among non-RAI patients); initial RAI response shows no association with the panel (GT2, d=-0.03 to -0.00, P=0.73-0.91)",unsupported,"""Treatment-selection hypothesis"" implies the axis may identify which patients benefit differentially from radioiodine treatment. The only interaction actually tested in this manuscript is DM1 x BRAF genotype on PFI, not DM1 x RAI-treatment. A direct RAI-treatment interaction test exists now (today's audit) and is not estimable, and the panel is not associated with initial RAI response at all. Calling this a 'treatment-selection hypothesis' overstates what has been shown.","Reframe as a prognostic hypothesis confined to BRAF V600E-mutant disease, explicitly stating that a direct radioiodine-treatment-selection claim requires an estimable treatment x score interaction that is not yet available.","These findings position the eight-gene axis, and its in-silico IHC 3-plex derivative, as a candidate prognostic marker within BRAF V600E-mutant differentiated thyroid cancer; a radioiodine treatment-selection role has not been established and requires a treatment x score interaction test that could not be estimated in the available data.",P0 fatal
