figure_id	panel	question	dataset	analysis_population	visual_type	primary_or_supplement	source_script	source_data	main_message	required_caveat	recommended_action
figure_tcga_rai_best_response_2026_08_06	a	Does the 8-gene panel score differ between patients who achieved complete response vs non-complete response to their initial course of radioiodine?	TCGA-THCA	167 RAI-treated, response-evaluable patients (24 non-CR / 143 CR)	box plot with overlaid patient-level scatter (jittered strip)	primary candidate — needed to correct Limitation 6	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/tcga_rai_response_adjusted_2026_08_06.tsv	Panel score is indistinguishable between complete and non-complete responders (d=-0.03, 95% CI -0.51 to +0.46, P=0.73); a clean, adequately-characterised null.	86% of this cohort achieved CR (ceiling effect: little room to discriminate); MDE at 80% power is d=0.625 -- do not state this excludes all clinically meaningful effects (that equivalence framing was withdrawn, see audit03_TCGA_COHORT_CONSTRUCTION_AUDIT.md).	Use as the primary Limitation-6-correcting panel; state n, d, CI, P and the 86% CR ceiling-effect explanation together, not the withdrawn equivalence framing.
figure_tcga_rai_best_response_2026_08_06	b	Does the null in panel a survive adjustment for stage, BRAF status, age, tumour purity and cumulative RAI dose?	TCGA-THCA	167 RAI-treated, response-evaluable patients, 6-covariate model	forest plot (odds ratio, log scale, with 95% CI)	primary candidate (companion to panel a)	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/tcga_rai_response_adjusted_2026_08_06.tsv	Panel z remains null after adjustment (OR=0.85, 95% CI 0.34-2.12, P=0.73); no covariate reaches P<0.05 (closest: stage, P=0.10).	EPV~4 for a 6-term model on 24 events is low; this model was NOT re-run with Firth penalisation in the 2026-08-06 audit (unlike the structural-outcome endpoints, see figure_tcga_rai_structural panel a/b) -- treat wide-CI terms (e.g. purity OR=0.14, CI 0.002-13.2) as provisional.	If retained in the manuscript, re-run with Firth penalisation for consistency with the structural-outcome figure before final submission.
figure_tcga_rai_best_response_2026_08_06	c	Is there a monotonic dose-response-like gradient across the ordinal response categories CR > PR > SD > PD?	TCGA-THCA	167 RAI-treated, response-evaluable patients, all four response grades	box plot with overlaid patient-level scatter across four ordinal categories	supplement (companion sensitivity check to panel a)	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/tcga_rai_response_adjusted_2026_08_06.tsv	No ordinal trend (Spearman rho=-0.036, P=0.65) across CR/PR/SD/PD.	Category sizes are very unequal (CR=143 vs PD=5); ordinal trend test has limited power at the PD tail.	Keep as supplementary robustness panel; do not present rho as a standalone quantitative claim without its wide implicit uncertainty.
figure_tcga_rai_structural_2026_08_06	a	Does the 8-gene panel score differ between RAI-treated patients who did vs did not have a new tumour event after initial treatment?	TCGA-THCA	145 RAI-treated patients (9 events / 136 no-event)	box plot with overlaid patient-level scatter	primary candidate	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_structural_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv	Lower panel score is associated with a subsequent new tumour event (d=-0.84, 95% CI -1.37 to -0.25, P=0.0049, q=0.015).	Only 9 events; original figure/table used ordinary ML logistic for the adjusted OR (biased away from the null per audit03/04) -- the CURRENT preferred adjusted estimate is the Firth OR=0.221 (0.062-0.784), not the OR=0.203 originally plotted if the figure encodes the ML value. Verify which OR this panel actually renders before using it as the manuscript figure.	Regenerate this panel from the Firth (audit03) results before manuscript submission if it currently renders the superseded ML odds ratio; add the EPV and rare-event caveat to the caption.
figure_tcga_rai_structural_2026_08_06	b	How do the three candidate structural-outcome endpoints (new tumour event, persistent disease, structural disease at last follow-up) compare on one effect-size axis?	TCGA-THCA	three overlapping RAI-treated subsets (n=145/72/216)	forest plot (Cohen's d with 95% CI) across three endpoints	primary candidate (companion to panel a)	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_structural_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv	Two of three endpoints move (new tumour event, persistent disease); 'structural disease at last follow-up' is null (d=+0.06, P=0.88).	'Persistent disease within 3 months of surgery' overlaps the usual 4-12 week interval to RAI and is not a pure post-RAI endpoint; 'structural disease at last follow-up' mixes pre- and post-treatment status (per audit/00_EXECUTIVE_DECISION.md Q3).	Caption must name which of the three endpoints is the cleanest post-treatment measure (new tumour event) and flag the other two as endpoint-definition caveats, not omit them.
figure_gse151179_uptake_at_met_site_2026_08_06	a	Does the 8-gene panel score differ between lesions that did vs did not take up radioiodine, at the patient level?	GSE151179	32 patients contributing tumour specimens (16 uptake-Yes / 16 uptake-No)	box plot with overlaid patient-level scatter	supplement (underpowered, per audit)	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_at_met_site_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/audit05_gse151179_structure_2026_08_06.tsv	Directionally correct (d=+0.37) but null (95% CI -0.34 to +0.98, P=0.53); this cohort can only detect d>=1.02 at 80% power.	The negative control (non-neoplastic thyroid, d=0.65) is LARGER than the tumour signal, and the association collapses to beta=0.035 (P=0.88) once tumour purity is held constant (panel b) -- report both facts alongside the point estimate, not the point estimate alone.	If used at all, present as an underpowered/confounded cohort, explicitly alongside the power and purity-adjustment findings; do not present d=+0.37 in isolation.
figure_gse151179_uptake_at_met_site_2026_08_06	b	Does the association survive sensitivity restrictions (primary tumour only, pre-RAI specimens only, high-purity only), the negative control, and adjustment for purity and driver class?	GSE151179	various sample-level subsets, n=6-20 per row	forest plot (Cohen's d / OLS beta with 95% CI) across 6 sensitivity rows	supplement	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_at_met_site_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/audit05_gse151179_structure_2026_08_06.tsv	Every sensitivity row is null; the adjusted-OLS uptake term collapses to beta=+0.035 (P=0.88) once purity is held constant, while purity itself is strongly significant (beta=-0.88, P=1.9e-4).	Sample-level rows (19-20 tumour specimens from 32 patients) violate independence in principle, though the quantified ICC in this dataset is 0.0 (design effect 1.0, per audit05) -- state this explicitly rather than either ignoring the clustering or overstating its impact.	Caption must state the withdrawn claim explicitly: 'purity not significantly associated with outcome' is NOT equivalent to 'purity is not a confounder' (audit00 Q5 withdrawal).
figure_gse151179_uptake_at_met_site_2026_08_06	c	Which of the 8 individual panel genes drives the (null) patient-level uptake association?	GSE151179	16 uptake-Yes vs 16 uptake-No patients, 8 genes	horizontal bar plot of per-gene Cohen's d	supplement	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_at_met_site_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/audit05_gse151179_structure_2026_08_06.tsv	TPO and TG carry the largest (still non-significant after BH correction) effects; SLC5A5/NIS, the most direct iodide-handling gene, is flat (d=0.06).	None of the 8 genes individually significant after multiplicity correction (q>=0.51 for all).	Use only to support the leave-one-gene-out robustness statement, not as an implied per-gene discovery.
figure_gse138042_rair_panel_2026_08_06	a	Does the 8-gene panel score differ between radioiodine-refractory and radiosensitive GSE138042 carcinomas, on the clean (RAI-outcome-documented) contrast?	GSE138042	23 carcinomas with documented RAI outcome (13 refractory / 10 sensitive)	box plot with overlaid sample-level scatter	supplement (underpowered per audit)	rai-response-genomics-atlas/scripts/gse138042_rair_panel_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse138042_rair_panel_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/gse138042_rair_adjusted_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/gse138042_rair_per_gene_2026_08_06.tsv	Direction as hypothesised (refractory lower) but null on the clean head-to-head contrast (d=-0.42, 95% CI -1.44 to +0.42, P=0.34); detects only d>=1.24 at 80% power.	Must not be conflated with the larger, significant but CONFOUNDED broad contrast (13 vs 82, d=-1.03, P=1.7e-4) that mixes in benign adenomas, medullary carcinomas and RAI-outcome-unknown samples.	If the figure axis or caption shows both the clean (n=23) and broad (n=95) contrasts, label the broad one explicitly as confounded/context, not as a second independent confirmation.
figure_gse138042_rair_panel_2026_08_06	b	Does the (broad, composition-confounded) association survive adjustment for immune and stromal transcript content?	GSE138042	95 libraries (13 refractory vs 82 rest, broad contrast)	forest plot (odds ratio, log scale, with 95% CI)	supplement	rai-response-genomics-atlas/scripts/gse138042_rair_panel_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse138042_rair_panel_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/gse138042_rair_adjusted_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/gse138042_rair_per_gene_2026_08_06.tsv	Panel z retains significance (OR=0.29, 95% CI 0.10-0.82, P=0.020) after adjusting for immune/stromal composition on the BROAD contrast.	This is the composition-confounded 95-library contrast (G138-03 in the evidence ledger), not the clean 23-patient RAI-outcome contrast in panel a; the two must not be visually or narratively merged.	Caption should explicitly state which contrast (broad vs clean) this adjusted model uses.
