split	algorithm	n	positives	positive_rate	AUPRC	AUROC	top5_precision	top5_hits	top10_precision	top10_hits	top24_precision	top24_hits	top96_precision	top96_hits
academic_train_sources	BigMHC_IM	2285	1168	0.5111597374179431	0.6981290443649661	0.6825396886229014	0.8	4	0.9	9	0.7916666666666666	19	0.875	84
academic_train_sources	BigMHC_EL	2285	1168	0.5111597374179431	0.7001434698249481	0.7134719803534417	0.6	3	0.7	7	0.6666666666666666	16	0.7604166666666666	73
academic_train_sources	CROSS_core	2285	1168	0.5111597374179431	0.8824045757224565	0.8621759299002956	1.0	5	1.0	10	0.9166666666666666	22	0.9479166666666666	91
academic_train_sources	CROSS_stress	2285	1168	0.5111597374179431	0.8824045757224565	0.8621759299002956	1.0	5	1.0	10	0.9166666666666666	22	0.9479166666666666	91
academic_train_sources	CROSS_BMA	2285	1168	0.5111597374179431	0.8729021218933208	0.8488383144675685	1.0	5	1.0	10	0.9166666666666666	22	0.9270833333333334	89
academic_train_sources	CROSS_finetuned	2285	1168	0.5111597374179431	0.8554283396806818	0.8538741246734771	1.0	5	1.0	10	0.9166666666666666	22	0.875	84
academic_train_sources	CROSS_integrated	2285	1168	0.5111597374179431	0.8846490445870075	0.8736302902834157	1.0	5	1.0	10	1.0	24	1.0	96
academic_train_sources	CROSS_claimsafe	2285	1168	0.5111597374179431	0.8675124226137223	0.8383006708281723	1.0	5	1.0	10	1.0	24	1.0	96
academic_train_sources	BioDarwin_PublicFallback	2285	1168	0.5111597374179431	0.7343329142005388	0.7041653125421568	1.0	5	1.0	10	0.9583333333333334	23	0.90625	87
academic_train_sources	BioDarwin_PanVax	2285	1168	0.5111597374179431	0.9172135804416075	0.8982291117352008	1.0	5	1.0	10	1.0	24	1.0	96
academic_validation_like	BigMHC_IM	430	11	0.02558139534883721	0.3337050077519977	0.8277283575612931	0.6	3	0.4	4	0.25	6	0.09375	9
academic_validation_like	BigMHC_EL	430	11	0.02558139534883721	0.3075901462458979	0.7146886526361468	0.4	2	0.3	3	0.20833333333333334	5	0.08333333333333333	8
academic_validation_like	CROSS_core	430	11	0.02558139534883721	0.6507890517584681	0.8769798220872206	1.0	5	0.7	7	0.2916666666666667	7	0.07291666666666667	7
academic_validation_like	CROSS_stress	430	11	0.02558139534883721	0.6507890517584681	0.8769798220872206	1.0	5	0.7	7	0.2916666666666667	7	0.07291666666666667	7
academic_validation_like	CROSS_BMA	430	11	0.02558139534883721	0.6597609480858024	0.8674332827077457	1.0	5	0.7	7	0.2916666666666667	7	0.07291666666666667	7
academic_validation_like	CROSS_finetuned	430	11	0.02558139534883721	0.6056252886437907	0.8791494901280105	1.0	5	0.6	6	0.2916666666666667	7	0.09375	9
academic_validation_like	CROSS_integrated	430	11	0.02558139534883721	0.7138411132584275	0.946192232588414	1.0	5	0.7	7	0.3333333333333333	8	0.09375	9
academic_validation_like	CROSS_claimsafe	430	11	0.02558139534883721	0.846480282703193	0.9919722282490779	1.0	5	0.8	8	0.4166666666666667	10	0.11458333333333333	11
academic_validation_like	BioDarwin_PublicFallback	430	11	0.02558139534883721	0.5396811039145686	0.8793664569320894	0.8	4	0.6	6	0.2916666666666667	7	0.08333333333333333	8
academic_validation_like	BioDarwin_PanVax	430	11	0.02558139534883721	0.8863066757803602	0.97244521588197	1.0	5	0.9	9	0.4166666666666667	10	0.10416666666666667	10
industrial_locked_v0	BigMHC_IM	25	9	0.36	0.5781211163564105	0.6111111111111112	0.8	4	0.4	4	0.375	9	0.36	9
industrial_locked_v0	BigMHC_EL	25	9	0.36	0.4161278984314835	0.4513888888888889	0.2	1	0.2	2	0.375	9	0.36	9
industrial_locked_v0	GA_public_feature_adapter	25	9	0.36	0.5153963210229195	0.5902777777777778	0.6	3	0.4	4	0.375	9	0.36	9
industrial_locked_v0	BioDarwin_PublicFallback	25	9	0.36	0.4943223443223443	0.5416666666666666	0.6	3	0.4	4	0.375	9	0.36	9
industrial_locked_v0	BioDarwin_PanVax	25	9	0.36	0.4943223443223443	0.5416666666666666	0.6	3	0.4	4	0.375	9	0.36	9
