external_dataset	contrast	group_a	group_b	module	n_group_a	n_group_b	mean_group_a	mean_group_b	delta_mean_score_group_a_minus_group_b	cohen_d_group_a_minus_group_b	exact_two_sided_p	n_exact_permutations	mannwhitney_p	auc_group_a_vs_group_b	boundary	BH_FDR_exact_all_tests
GSE184362	Tumor_vs_Paratumor	Tumor	Paratumor	HLA_I	2	2	0.7135824845777032	0.6837125563297375	0.02986992824796575	0.20688972919468665	1.0	6			scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Tumor_vs_Paratumor	Tumor	Paratumor	HLA_II_AP	7	6	0.2527224017178888	0.1749339739104437	0.07778842780744508	0.1747337060546455	0.7309260337798485	1716	1.0	0.5	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Tumor_vs_Paratumor	Tumor	Paratumor	B_TLS	2	2	0.5299141972773418	0.6296052204181853	-0.09969102314084355	-0.37004066050063517	1.0	6			scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Tumor_vs_Paratumor	Tumor	Paratumor	T_IFNG	2	2	0.6143343896551476	0.32208365440515263	0.292250735249995	0.6545702020566112	0.7142857142857143	6			scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Tumor_vs_Paratumor	Tumor	Paratumor	Myeloid_DC	2	2	0.5303706557207442	-0.181802810489193	0.7121734662099372	0.5776979146729667	1.0	6			scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Tumor_vs_Paratumor	Tumor	Paratumor	CD74_MIF_axis	2	2	0.33651576397417887	0.2525587699512221	0.08395699402295675	0.3044832200376538	1.0	6			scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Tumor_vs_Paratumor	Tumor	Paratumor	AP_TLS_composite	7	6	0.20206322904142177	0.19240119035825276	0.009662038683169005	0.027878326970585655	1.0	1716	0.9304788153513146	0.4761904761904762	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Metastasis_vs_Tumor	Metastasis	Tumor	HLA_I	1	2	0.012930834537177546	0.7135824845777032	-0.7006516500405257		0.5	3			scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Metastasis_vs_Tumor	Metastasis	Tumor	HLA_II_AP	10	7	0.02094769642487689	0.2527224017178888	-0.2317747052930119	-0.7267110957704708	0.1544552419147514	19448	0.3043932662651072	0.3928571428571429	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Metastasis_vs_Tumor	Metastasis	Tumor	B_TLS	1	2	0.3154381115257033	0.5299141972773418	-0.2144760857516385		1.0	3			scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Metastasis_vs_Tumor	Metastasis	Tumor	T_IFNG	1	2	-0.02082442610640789	0.6143343896551476	-0.6351588157615555		0.75	3			scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Metastasis_vs_Tumor	Metastasis	Tumor	Myeloid_DC	1	2	-1.079940203452919	0.5303706557207442	-1.6103108591736632		0.75	3			scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Metastasis_vs_Tumor	Metastasis	Tumor	CD74_MIF_axis	1	2	-0.31730480719499377	0.33651576397417887	-0.6538205711691727		0.5	3			scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE184362	Metastasis_vs_Tumor	Metastasis	Tumor	AP_TLS_composite	10	7	0.026245753788723607	0.20206322904142177	-0.17581747525269817	-0.7635037529461738	0.1544552419147514	19448	0.3043932662651072	0.3928571428571429	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE191288	Tumor_vs_NonTumor_qualitative	Tumor	NonTumor	HLA_I	6	1	-0.25464584988755956	-1.2796458170267044	1.024999967139145			0		0.8333333333333334	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE191288	Tumor_vs_NonTumor_qualitative	Tumor	NonTumor	HLA_II_AP	6	1	-0.2877168753087527	-1.301836367884134	1.0141194925753814			0		0.8333333333333334	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE191288	Tumor_vs_NonTumor_qualitative	Tumor	NonTumor	B_TLS	6	1	-0.25800253302430587	-1.086461748770922	0.8284592157466162			0		0.6666666666666666	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE191288	Tumor_vs_NonTumor_qualitative	Tumor	NonTumor	T_IFNG	6	1	-0.10922896326105687	-1.1966378824478496	1.0874089191867928			0		1.0	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE191288	Tumor_vs_NonTumor_qualitative	Tumor	NonTumor	Myeloid_DC	6	1	0.24942565998339325	-1.113749446910543	1.3631751068939362			0		1.0	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE191288	Tumor_vs_NonTumor_qualitative	Tumor	NonTumor	CD74_MIF_axis	6	1	-0.18091004488434662	0.22461600865027276	-0.40552605353461935			0		0.3333333333333333	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
GSE191288	Tumor_vs_NonTumor_qualitative	Tumor	NonTumor	AP_TLS_composite	6	1	-0.27285970416652927	-1.194149058327528	0.9212893541609988			0		0.8333333333333334	scRNA expression generalization only; no HT-specific or HLA allele/genotype claims	1.0
