endpoint	FinnGen_R12:AI-HYPER:FIN(EUR)	FinnGen_R12:GD-OPHT:FIN(EUR)	FinnGen_R12:GD:FIN(EUR)	FinnGen_R12:HT-AI-DX:FIN(EUR)	FinnGen_R12:HT-AI:FIN(EUR)	FinnGen_R12:THYR-ANY:FIN(EUR)	FinnGen_R12:AITD-ICD:FIN(EUR)	FinnGen_R12:THYR-CHRON:FIN(EUR)	FinnGen_R12:GD-OPHT-BROAD:FIN(EUR)	FinnGen_R12:HT-REIMB:FIN(EUR)	FinnGen_R12:PSOR:FIN(EUR)	FinnGen_R12:RA:FIN(EUR)	FinnGen_R12:T1D:FIN(EUR)	PanUKBB:GD-EUR-EUR:EUR	PanUKBB:HYPOTHY-EUR-EUR:EUR	PanUKBB:HYPOTHY-EUR-EAS:EAS	PanUKBB:HYPOTHY-EUR-CSA:CSA	PanUKBB:HYPOTHY-EUR-AFR:AFR	PanUKBB:HYPOTHY-NOS-EUR-EUR:EUR	PanUKBB:HYPOTHY-NOS-EUR-EAS:EAS	PanUKBB:HYPOTHY-NOS-EUR-CSA:CSA	PanUKBB:HYPOTHY-NOS-EUR-AFR:AFR	PanUKBB:CHRONIC-LYMPHOCYTIC-THY-EUR-EUR:EUR	PanUKBB:CHRONIC-THY-EUR-EUR:EUR	PanUKBB:ICD10-E03-OTHER-HYPOTHY-EUR:EUR	PanUKBB:ICD10-E03-OTHER-HYPOTHY-EAS:EAS	PanUKBB:ICD10-E03-OTHER-HYPOTHY-CSA:CSA	PanUKBB:ICD10-E03-OTHER-HYPOTHY-AFR:AFR	PanUKBB:ICD10-E05-THYROTOX-EUR:EUR	PanUKBB:ICD10-E05-THYROTOX-CSA:CSA	PanUKBB:ICD10-E05-THYROTOX-AFR:AFR	PanUKBB:ICD10-E06-THYROIDITIS-EUR:EUR	PanUKBB:SELF-HYPER-EUR:EUR	PanUKBB:SELF-HYPER-CSA:CSA	PanUKBB:SELF-HYPER-AFR:AFR	PanUKBB:SELF-HYPOTHY-MYXOEDEMA-EUR:EUR	PanUKBB:SELF-HYPOTHY-MYXOEDEMA-CSA:CSA	PanUKBB:SELF-HYPOTHY-MYXOEDEMA-AFR:AFR	PanUKBB:RX-LEVO-EUR:EUR	PanUKBB:RX-LEVO-CSA:CSA	PanUKBB:RX-LEVO-AFR:AFR	PanUKBB:RX-CARBIM-EUR:EUR
FinnGen_R12:PSOR:FIN(EUR)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FinnGen_R12:RA:FIN(EUR)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FinnGen_R12:T1D:FIN(EUR)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:GD-EUR-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:HYPOTHY-EUR-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.053	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.000
PanUKBB:HYPOTHY-EUR-EAS:EAS	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:HYPOTHY-EUR-CSA:CSA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.538	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:HYPOTHY-EUR-AFR:AFR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.429	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:HYPOTHY-NOS-EUR-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.053	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.000
PanUKBB:HYPOTHY-NOS-EUR-EAS:EAS	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:HYPOTHY-NOS-EUR-CSA:CSA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:HYPOTHY-NOS-EUR-AFR:AFR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.667	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:CHRONIC-LYMPHOCYTIC-THY-EUR-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.429	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:CHRONIC-THY-EUR-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.429	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:ICD10-E03-OTHER-HYPOTHY-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.053	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.000
PanUKBB:ICD10-E03-OTHER-HYPOTHY-EAS:EAS	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:ICD10-E03-OTHER-HYPOTHY-CSA:CSA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:ICD10-E03-OTHER-HYPOTHY-AFR:AFR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.429	0.000	0.000	0.000	0.667	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000
PanUKBB:ICD10-E05-THYROTOX-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.250
PanUKBB:ICD10-E05-THYROTOX-CSA:CSA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:ICD10-E05-THYROTOX-AFR:AFR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:ICD10-E06-THYROIDITIS-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:SELF-HYPER-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.053	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000
PanUKBB:SELF-HYPER-CSA:CSA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	1.000	0.000	0.000	0.000	0.000	0.053	0.053	0.000	0.000
PanUKBB:SELF-HYPER-AFR:AFR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:SELF-HYPOTHY-MYXOEDEMA-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:SELF-HYPOTHY-MYXOEDEMA-CSA:CSA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
PanUKBB:SELF-HYPOTHY-MYXOEDEMA-AFR:AFR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
PanUKBB:RX-LEVO-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.053	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
PanUKBB:RX-LEVO-CSA:CSA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000
PanUKBB:RX-LEVO-AFR:AFR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000
PanUKBB:RX-CARBIM-EUR:EUR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000
