query_label	query_term	pmid	year	journal	title	abstract_snippet
A_BRAF_TROP2_thyroid	(BRAF) AND (TROP2) AND (thyroid)	35121239	2022	Annals of diagnostic pathology	TROP-2 and 5hmC expression in follicular-patterned thyroid neoplasm emphasizing tiny well-formed papillae.	Follicular-patterned thyroid neoplasms (FPTNs), characterized by predominantly follicular growth pattern, represent diverse pathological entities. We aimed to study the nuclear features and the immunoexpression of trophoblast cell-surface antigen 2 (TROP-2) and 5-hydroxymethylcytosine (5hmC) in FPTNs. FPTNs were divided into 4 groups: I) noninvasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP), II) encapsulated follicular variant of papillary thyroid carcinoma (FVPTC)
A_BRAF_TROP2_thyroid	(BRAF) AND (TROP2) AND (thyroid)	31949805	2018	International journal of clinical and experimental pathology	Overexpression of trophoblast cell surface antigen 2 is associated with BRAF V600E mutation and aggressive behavior in papillary thyroid cancer.	Papillary thyroid cancer (PTC) is the most common endocrine tumor with an increasing incidence. The dilemma in treating this cancer is how to discriminate the tumors with aggressive behavior from the indolent ones. Trophoblast cell surface antigen 2 (trop-2) has been identified in multiple epithelial cancers and proven to be associated with shortened overall survival and disease-free survival. In this study, we retrospectively collected the clinicopathologic characteristics of 145 patients who u
A_BRAF_TROP2_thyroid	(BRAF) AND (TROP2) AND (thyroid)	29228520	2018	Journal of pathology and translational medicine	The Significance of TROP2 Expression in Predicting BRAF Mutations in Papillary Thyroid Carcinoma.	Trophoblast antigen 2 (TROP2) is a human trophoblast cell-surface glycoprotein that is overexpressed in several types of epithelial cancers, and is suggested to be associated with an unfavorable prognosis. BRAF mutations are the most common genetic alteration in papillary thyroid carcinoma (PTC). We evaluated the correlation between TROP2 expression and BRAF mutation in PTC. First, we carried out pyrosequencing for BRAF mutations and immunohistochemistry for TROP2 expression with a tissue microa
B_BRAF_TACSTD2_thyroid	(BRAF) AND (TACSTD2) AND (thyroid)	38696857	2024	Pathology, research and practice	BRAF mutation, selected miRNAs and genes expression in primary papillary thyroid carcinomas and local lymph node metastases.	Mutations in cancer-related genes are now known to be accompanied by epigenetic events in carcinogenesis by modification of the regulatory pathways and expression of genes involved in the pathobiology. Such cancer-related mutations, miRNAs and gene expression may be promising molecular markers of the most common papillary thyroid carcinoma (PTC). However, there are limited data on their relationships. The aim of this study was to analyse the interactions between BRAF mutations, selected microRNA
C_V600E_TROP2	(V600E) AND (TROP2)	41373672	2025	International journal of molecular sciences	Advances in Targeted Therapy for Non-Small-Cell Lung Cancer: Current Progress and Future Directions.	The advent of targeted therapies has significantly transformed the management of non-small-cell lung cancer (NSCLC), improving survival across all disease stages. Discoveries of both common and rare oncogenic drivers are advancing rapidly, posing a challenge for clinicians and researchers to remain up to date in this dynamic field. This review highlights the evolving landscape of therapeutic strategies for actionable mutations in lung cancer, with particular attention given to the latest develop
C_V600E_TROP2	(V600E) AND (TROP2)	35121239	2022	Annals of diagnostic pathology	TROP-2 and 5hmC expression in follicular-patterned thyroid neoplasm emphasizing tiny well-formed papillae.	Follicular-patterned thyroid neoplasms (FPTNs), characterized by predominantly follicular growth pattern, represent diverse pathological entities. We aimed to study the nuclear features and the immunoexpression of trophoblast cell-surface antigen 2 (TROP-2) and 5-hydroxymethylcytosine (5hmC) in FPTNs. FPTNs were divided into 4 groups: I) noninvasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP), II) encapsulated follicular variant of papillary thyroid carcinoma (FVPTC)
C_V600E_TROP2	(V600E) AND (TROP2)	31949805	2018	International journal of clinical and experimental pathology	Overexpression of trophoblast cell surface antigen 2 is associated with BRAF V600E mutation and aggressive behavior in papillary thyroid cancer.	Papillary thyroid cancer (PTC) is the most common endocrine tumor with an increasing incidence. The dilemma in treating this cancer is how to discriminate the tumors with aggressive behavior from the indolent ones. Trophoblast cell surface antigen 2 (trop-2) has been identified in multiple epithelial cancers and proven to be associated with shortened overall survival and disease-free survival. In this study, we retrospectively collected the clinicopathologic characteristics of 145 patients who u
C_V600E_TROP2	(V600E) AND (TROP2)	29228520	2018	Journal of pathology and translational medicine	The Significance of TROP2 Expression in Predicting BRAF Mutations in Papillary Thyroid Carcinoma.	Trophoblast antigen 2 (TROP2) is a human trophoblast cell-surface glycoprotein that is overexpressed in several types of epithelial cancers, and is suggested to be associated with an unfavorable prognosis. BRAF mutations are the most common genetic alteration in papillary thyroid carcinoma (PTC). We evaluated the correlation between TROP2 expression and BRAF mutation in PTC. First, we carried out pyrosequencing for BRAF mutations and immunohistochemistry for TROP2 expression with a tissue microa
D_thyroid_sacituzumab	(thyroid) AND (sacituzumab)	41384307	2025	Analytical chemistry	Integrated Biomimetic Platform for Enhancing the Efficient Capture and Visual Identification of Circulating Tumor Cells.	The nondestructive capture and direct identification of circulating tumor cells (CTCs) have emerged as the critical technologies in modern oncology for oncology research, clinical diagnosis, and personalized therapy optimization. However, technical challenges still exist due to the extreme rarity and significant phenotypic heterogeneity. Herein, we present an innovative biomimetic detection platform engineered by integrating platelet membrane-camouflaged magnetic beads (PM-MBs) with rolling circ
D_thyroid_sacituzumab	(thyroid) AND (sacituzumab)	40809034	2025	Frontiers in oncology	Case Report: Personalized treatment in stage IV breast cancer using the patient-derived organoids.	Breast cancer, especially stage IV breast cancer, is highly heterogeneous at morphological and molecular levels. Recently, the role of patient-derived organoids (PDOs) has become increasingly prominent in cancer research and personalized medicine. They are not only used to predict the clinical responses of patients with multiple cancer types, but also applied to drug development. In this study, we reported a case of stage IV breast cancer who responded well to sacituzumab govitecan that was high
D_thyroid_sacituzumab	(thyroid) AND (sacituzumab)	39413161	2024	Science translational medicine	Intraoperative evaluation of tumor margins using a TROP2 near-infrared imaging probe to enable human breast-conserving surgery.	Intraoperative surgical margin assessment remains a challenge during breast-conserving surgery. Here, we report a combined strategy of immuno-positron emission tomography (PET) for preoperative detection of breast cancer and guided assessment of margins in breast-conserving surgery through second near-infrared (NIR-II) fluorescence imaging of trophoblastic cell surface antigen 2 (TROP2). We demonstrated that the intensity of PET signals in the tumors was nearly five times higher than in normal b
D_thyroid_sacituzumab	(thyroid) AND (sacituzumab)	39067901	2024	Lancet (London, England)	Sacituzumab govitecan for metastatic breast cancer: the TROPiCS-02 trial.	
D_thyroid_sacituzumab	(thyroid) AND (sacituzumab)	37740463	2023	Clinical and translational medicine	Uncovering therapeutic opportunities in the clinical development of antibody-drug conjugates.	Antibody-drug conjugates (ADCs) are a family of therapeutic agents that have demonstrated clinical activity in several indications. In this article, we performed a deep analysis of their clinical landscape matched with public genomic human datasets from tumour antigen targets (TATs), to identify empty areas for clinical development. We observed that TATs used in haematological malignancies were more specific than the ones developed in solid cancers. Those included CD19, CD22, CD30, CD33 and CD79
D_thyroid_sacituzumab	(thyroid) AND (sacituzumab)	35477165	2022	Pathobiology : journal of immunopathology, molecular and cellular biology	Trophoblast Cell Surface Antigen 2 Expression in Human Tumors: A Tissue Microarray Study on 18,563 Tumors.	Trophoblast cell surface antigen 2 (TROP2) is the target of sacituzumab govitecan, an antibody-drug conjugate approved for treatment of triple negative breast cancer and urothelial carcinoma. A tissue microarray containing 18,563 samples from 150 different tumor types and subtypes as well as 608 samples of 76 different normal tissue types was analyzed by TROP2 immunohistochemistry. TROP2 positivity was found in 109 tumor categories, including squamous cell carcinomas of various origins, urotheli
D_thyroid_sacituzumab	(thyroid) AND (sacituzumab)	33289434	2021	International journal of surgical pathology	TROP-2, 5hmC, and IDH1 Expression in Anaplastic Thyroid Carcinoma.	Anaplastic thyroid carcinoma (ATC), a highly aggressive malignancy, has no effective treatment to date. Trophoblast cell-surface antigen 2 (TROP-2), a transmembrane glycoprotein, has been suggested to be a promising novel target for sacituzumab govitecan, an antibody-drug conjugate. 5-Hydroxymethylcytosine (5hmC) has a role in tumor suppression and promoting modification. Additionally, isocitrate dehydrogenase 1 (IDH1) mutations are strongly associated with increased overall survival in gliomas 
