gene	direction	cohens_d	fdr	druggable_with	note
ICAM1	DM1_up_to_INDUCE	4.632333037685606	1.351300068194322e-09	anti-ICAM1 mAb (alicaforsen / BI-505)	DM1-up — DIRECT antibody neutralization is REVERSE direction; induction not standard. Marker, not target.
LAMB3	DM1_up_to_INDUCE	4.294410339932794	2.657815963918371e-13	none direct	ECM/integrin pathway; no clinical drug.
PTPRE	DM1_up_to_INDUCE	4.260398373347524	9.960636532603045e-09	none direct	phosphatase; no clinical drug.
RUNX2	DM1_up_to_INDUCE	4.039325542587589	5.386976536913763e-12	none direct	TF; not directly druggable.
PDLIM4	DM1_up_to_INDUCE	3.9727273271519032	9.250227416097534e-11	none direct	actin scaffold.
KCNQ3	DM1_up_to_INDUCE	3.877273584301526	7.55690453418364e-12	retigabine (Kv7 opener)	off-target — Kv7 channel; not for cancer.
PLEKHN1	DM1_up_to_INDUCE	3.852313642726004	4.6111622950833073e-10	none catalogued	not in H17 mini-druggability KB
COL8A2	DM1_up_to_INDUCE	3.786989396418386	4.148324511828449e-09	none catalogued	not in H17 mini-druggability KB
MTMR11	DM1_up_to_INDUCE	3.710121652383914	6.069035114180709e-08	none catalogued	not in H17 mini-druggability KB
KCNN4	DM1_up_to_INDUCE	3.6280735733816583	1.2793848870519019e-11	none catalogued	not in H17 mini-druggability KB
MVP	DM1_up_to_INDUCE	3.6220390267189884	5.5659454610246007e-08	none direct	vault protein; chemoresistance marker.
CXCL16	DM1_up_to_INDUCE	3.520420473264179	1.636265527472622e-08	none direct	chemokine; could be induced via IFN-γ/TLR agonists.
ICAM5	DM1_up_to_INDUCE	3.497407927007596	4.152093932139968e-08	none direct	neuronal ICAM.
TMC6	DM1_up_to_INDUCE	3.4692462692331207	3.4609714705397917e-07	none catalogued	not in H17 mini-druggability KB
PARP9	DM1_up_to_INDUCE	3.424189263807012	8.779508130156075e-07	none direct (PARP1/2 inhibitors NOT cross)	PARP9 is non-canonical.
NR2F1-AS1	DM1_up_to_INDUCE	3.4232719190003147	4.172855434141362e-11	none catalogued	not in H17 mini-druggability KB
PLAU	DM1_up_to_INDUCE	3.422101344082349	5.3936988331520654e-11	upamostat / mesupron (uPA inhibitor)	DM1-up — would NOT want to induce — but uPA is also DM2-up via FN1/PLAU axis; check sign.
FN1	DM1_up_to_INDUCE	3.4003874662815785	4.6111622950833073e-10	none direct	ECM fibronectin.
PHF19	DM1_up_to_INDUCE	3.3994780710098036	6.772215911585993e-08	none catalogued	not in H17 mini-druggability KB
PDZK1IP1	DM1_up_to_INDUCE	3.3980812479885385	6.061666709230751e-10	none catalogued	not in H17 mini-druggability KB
TMC8	DM1_up_to_INDUCE	3.3934815972001617	1.3293462447070364e-08	none catalogued	not in H17 mini-druggability KB
EMP3	DM1_up_to_INDUCE	3.337993425294769	4.55488276267162e-07	none catalogued	not in H17 mini-druggability KB
