gene	mean_DM1	mean_DM2	cohens_d	t	pval	fdr	abs_d
EMP3	0.6556372831759774	-1.4150192460058288	3.337993425294769	9.607668276284729	1.1737981469188522e-09	4.55488276267162e-07	3.337993425294769
PROS1	0.23164426340443736	-1.7456671214003918	3.3330239698523245	10.478318583534888	1.0091325522167762e-11	1.3293462447070364e-08	3.3330239698523245
MRC2	0.47000118716794614	-1.7527063422048925	3.3083930981642706	9.53166300021435	1.3280764621361172e-09	4.961257577732071e-07	3.3083930981642706
ALOX5	0.4941617379472466	-1.4258943814870428	3.29978827015431	11.219065620452367	1.48332851140649e-13	5.99811756302527e-10	3.29978827015431
PLXNC1	0.27199430864648394	-1.4920772513188083	3.2962820569370312	10.962422056920945	5.006494794129073e-13	1.2530755820225655e-09	3.2962820569370312
CLIP3	0.2906942822382211	-1.7085968043166433	3.296149698907927	11.030409887133764	3.5490012209057436e-13	9.652306163013434e-10	3.296149698907927
CHI3L1	0.6746162631014184	-1.470755298891073	3.2622737068370444	11.335049696752638	7.528252017814664e-14	4.1872137723085157e-10	3.2622737068370444
JAK3	0.5643133266934108	-1.45854220448859	3.262110986144186	10.969651202650246	3.663626535164314e-13	9.652306163013434e-10	3.262110986144186
ATP6V1B2	0.5246984581692201	-1.6470355438995985	3.202166322733694	9.324453352365424	1.493237076041567e-09	5.416555184962954e-07	3.202166322733694
DUSP5	0.1801684209521312	-1.7018429552570433	3.1710073790957956	10.324749488457284	4.694916466849255e-12	7.833937616584666e-09	3.1710073790957956
LGALS3	0.4569920574005559	-1.4815876178845913	3.166419974771491	8.88578007707803	9.653365610601581e-09	2.0599719106995486e-06	3.166419974771491
STING1	0.6266928163331366	-1.4038362837774006	3.1336685153703825	9.895661543249343	3.4882398438761317e-11	3.637798127182321e-08	3.1336685153703825
TMSB4X	0.46947390221395763	-1.5625924731750354	3.1101922271719125	9.40155107715029	4.250256831759197e-10	2.0858760439627635e-07	3.1101922271719125
TIMP1	0.3312276398937187	-1.643363889380048	3.1011327628971648	8.432644815030974	4.748356613643213e-08	6.7526487319815894e-06	3.1011327628971648
CDH3	0.58995916642013	-1.5224578932623496	3.083059459302543	8.451960010720562	3.8458930224410114e-08	5.746797400517975e-06	3.083059459302543
DUSP4	0.7035676675231655	-1.5353813868856363	3.0792839328880706	8.702222291694298	1.1717743965158068e-08	2.365188820193075e-06	3.0792839328880706
SLC22A31	0.4128692621943897	-1.445723497868095	3.0701140781507106	10.899621963162542	2.1108819705222244e-13	7.044435312026768e-10	3.0701140781507106
FAM234B	-0.4720612365804509	1.8272446895853443	-3.0674254463275346	-8.44284701848455	3.5880950267120184e-08	5.459357472557757e-06	3.0674254463275346
OR2A1-AS1	-0.6575460185755009	1.0198938054939775	-3.045790169895557	-8.864618659023357	3.990010514864935e-09	1.0974282766654337e-06	3.045790169895557
PLK3	0.42982949033597045	-1.5351891138671518	3.045488938985468	10.321295963632105	1.713368504221618e-12	3.5057656188791656e-09	3.045488938985468
AL031710.1	-0.37630244607743896	1.764751596902219	-3.0427629859986602	-7.694885286371146	6.667292713175557e-07	4.534454690373673e-05	3.0427629859986602
LRG1	0.528579986500027	-1.424213403193856	3.0326310144612583	11.14367034864924	1.5577036301755665e-13	5.99811756302527e-10	3.0326310144612583
PLP2	0.6844550638713041	-1.6264844957623514	3.023844768488887	7.994416011698108	1.865603076326932e-07	1.8696130991556634e-05	3.023844768488887
MCUB	0.46314915364210746	-1.4626559890107826	3.0198662302338457	8.338192660435286	4.1103623530040016e-08	6.051662313725715e-06	3.0198662302338457
AC006058.3	-0.5882504927034578	1.535260978085068	-3.0152028471486907	-8.743535362802884	5.677874895586585e-09	1.3599189546568097e-06	3.0152028471486907
