figure	panel	description	cohort	n	source_data_path	script_path	asset_path	caption_file	cited_in_v2_draft	status
Fig1	A	Cohort and design schematic strip	TCGA/MSK/GSE213647/K2/GSE184362/GSE193581	504+117+632+260+6+23	N/A (schematic)	project/results/manuscript_v8_nc_main/fig1_discovery.py	project/results/manuscript_v8_nc_main/Fig1_discovery_axis.png	05_figure_captions_NC.md	Yes (Fig. 1a)	REBUILD_REQUIRED
Fig1	B	TIERA67 → 8-gene Sankey curation flow	TCGA-THCA	504	N/A (metadata/design)	project/results/manuscript_v8_nc_main/fig1_discovery.py	project/results/manuscript_v8_nc_main/Fig1_discovery_axis.png	05_figure_captions_NC.md	Yes (Fig. 1b)	LOCKED
Fig1	C	UMAP of TCGA-THCA on 8-gene space, DM1/DM2 colored	TCGA-THCA	504	project/results/ncomm_push_2026_05_08/cbioportal_sweep/panel_expression_thpa_tcga_gdc.tsv	project/results/manuscript_v8_nc_main/fig1_discovery.py	project/results/manuscript_v8_nc_main/Fig1_discovery_axis.png	05_figure_captions_NC.md	Yes (Fig. 1c)	LOCKED
Fig1	D	8-gene expression heatmap sorted by P_DM1 with driver tracks	TCGA-THCA	504	project/results/ncomm_push_2026_05_08/cbioportal_sweep/panel_expression_thpa_tcga_gdc.tsv	project/results/manuscript_v8_nc_main/fig1_discovery.py	project/results/manuscript_v8_nc_main/Fig1_discovery_axis.png	05_figure_captions_NC.md	Yes (Fig. 1d)	LOCKED
Fig1	E	Driver mRNA neutrality AUC bar (BRAF/TERT/KRAS/NRAS/HRAS)	TCGA-THCA	504	project/results/ncomm_push_2026_05_08/cbioportal_sweep/panel_expression_thpa_tcga_gdc.tsv	project/results/manuscript_v8_nc_main/fig1_discovery.py	project/results/manuscript_v8_nc_main/Fig1_discovery_axis.png	05_figure_captions_NC.md	Yes (Fig. 1f)	LOCKED
Fig1	F	Pan-genome ARI ladder (6 gene-set sizes)	TCGA-THCA	504	project/results/d4p2_tcga_hashimoto_signature/tcga_with_clinical_mutations.tsv	project/results/manuscript_v8_nc_main/fig1_discovery.py	project/results/manuscript_v8_nc_main/Fig1_discovery_axis.png	05_figure_captions_NC.md	Yes (Fig. 1e)	LOCKED
Fig1	G	Kaplan-Meier OS DM1 vs DM2 teaser (TCGA-THCA)	TCGA-THCA	504 (16 events)	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/fig1_discovery.py	project/results/manuscript_v8_nc_main/Fig1_discovery_axis.png	05_figure_captions_NC.md	Yes (survival)	REBUILD_REQUIRED
Fig2	A	Dark-matter rescue Sankey (BRAF/RAS-neg pool → DM1/DM2)	TCGA-THCA	180 dark-matter	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/fig2_fusion.py	project/results/manuscript_v8_nc_main/Fig2_fusion_mechanism.png	05_figure_captions_NC.md	Yes (Fig. 2a)	LOCKED
Fig2	B	DM1 sub-A vs sub-B silhouette structure	TCGA-THCA DM1	91	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/fig2_fusion.py	project/results/manuscript_v8_nc_main/Fig2_fusion_mechanism.png	05_figure_captions_NC.md	Yes (mentioned)	LOCKED
Fig2	C	Kinase fusion enrichment by DM cluster (stacked bar)	TCGA-THCA	379 (SV-called)	project/results/audit_2026_04_30/round5/r5_1_msk_fusion.json; project/results/audit_2026_04_30/round3/cbio_sv_thca.tsv	project/results/manuscript_v8_nc_main/fig2_fusion.py	project/results/manuscript_v8_nc_main/Fig2_fusion_mechanism.png	05_figure_captions_NC.md	Yes	LOCKED
Fig2	D	Fusion partner spectrum within DM1 fusion-positive tumors	TCGA-THCA DM1	82 (SV-called DM1)	project/results/audit_2026_04_30/round3/cbio_sv_thca.tsv	project/results/manuscript_v8_nc_main/fig2_fusion.py	project/results/manuscript_v8_nc_main/Fig2_fusion_mechanism.png	05_figure_captions_NC.md	Yes	LOCKED
Fig2	E	DM1 capture rate of RET/NTRK/ALK/BRAF fusion-positive tumors	TCGA-THCA	33 RET; overall 379	project/results/audit_2026_04_30/round3/cbio_sv_thca.tsv	project/results/manuscript_v8_nc_main/fig2_fusion.py	project/results/manuscript_v8_nc_main/Fig2_fusion_mechanism.png	05_figure_captions_NC.md	Yes	REBUILD_REQUIRED
Fig2	F	FVPTC histology enrichment mosaic (OR=17.9)	TCGA-THCA	504	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/fig2_fusion.py	project/results/manuscript_v8_nc_main/Fig2_fusion_mechanism.png	05_figure_captions_NC.md	Yes (Fig. 8c context)	REBUILD_REQUIRED
Fig2	G	Cross-cohort fusion replication MSK-IMPACT	MSK-IMPACT advanced thyroid	117	SOURCE_MISSING	project/results/manuscript_v8_nc_main/fig2_fusion.py	project/results/manuscript_v8_nc_main/Fig2_fusion_mechanism.png	05_figure_captions_NC.md	Yes	SOURCE_MISSING
Fig3	A	HM450 per-gene promoter beta heatmap (8 genes × 503 tumors)	TCGA-THCA HM450	503	project/results/audit_2026_04_30/round5/r5_2_sample_methylation_8gene.tsv	project/results/manuscript_v8_nc_main/fig3_epigenetic.py	project/results/manuscript_v8_nc_main/Fig3_epigenetic.png	05_figure_captions_NC.md	Yes (Fig. 3a)	LOCKED
Fig3	B	Mean 8-gene beta bar: DM1 0.385 vs DM2 0.253	TCGA-THCA HM450	503	project/results/audit_2026_04_30/round5/r5_2_sample_methylation_8gene.tsv	project/results/manuscript_v8_nc_main/fig3_epigenetic.py	project/results/manuscript_v8_nc_main/Fig3_epigenetic.png	05_figure_captions_NC.md	Yes (Fig. 3b)	LOCKED
Fig3	C	Beta vs expression scatter for TPO/DIO1/TSHR/TG (4-panel grid)	TCGA-THCA paired HM450+RNA	503 paired	project/results/audit_2026_04_30/round5/r5_2_sample_methylation_8gene.tsv + project/results/ncomm_push_2026_05_08/cbioportal_sweep/panel_expression_thpa_tcga_gdc.tsv	NOT_YET_WRITTEN (see fig3_epigenetic.py line 61 — currently uses synthetic noise not real RNA)	project/results/manuscript_v8_nc_main/Fig3_epigenetic.png	05_figure_captions_NC.md	Yes (Fig. 3c)	REBUILD_REQUIRED
Fig3	D	Per-driver-class mean 8-gene beta bar (BRAF/RET/RAS comparison)	TCGA-THCA HM450	503	project/results/audit_2026_04_30/round5/r5_2_sample_methylation_8gene.tsv + project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/fig3_epigenetic.py (lines 116-140 present with hardcoded values — needs real per-driver join)	project/results/manuscript_v8_nc_main/Fig3_epigenetic.png	05_figure_captions_NC.md	Yes (Fig. 3f)	REBUILD_REQUIRED
Fig3	E	TDS-16 vs Panel-8 equivalence per driver class	TCGA-THCA	561	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/fig3_epigenetic.py	project/results/manuscript_v8_nc_main/Fig3_epigenetic.png	05_figure_captions_NC.md	Yes (Fig. 3e)	LOCKED
Fig3	F	Cross-cohort MAPK × Panel-8 Spearman forest (5 cohorts)	TCGA+Lee+GSE126698+GSE286332+GSE76039	1287 pooled	project/results/manuscript_v8_nc_main/master_tcga.tsv (TCGA); external cohorts not in one file	project/results/manuscript_v8_nc_main/fig3_epigenetic.py (hardcoded values present)	project/results/manuscript_v8_nc_main/Fig3_epigenetic.png	05_figure_captions_NC.md	Yes (Fig. 3d)	LOCKED
Fig3	G	Landa 2016 PDTC/ATC convergence heatmap (7 genes)	GSE76039	84 PDTC + 33 ATC	SOURCE_MISSING (GSE76039 processed matrix not found in project)	project/results/manuscript_v8_nc_main/fig3_epigenetic.py	project/results/manuscript_v8_nc_main/Fig3_epigenetic.png	05_figure_captions_NC.md	Yes (Fig. 3g)	SOURCE_MISSING
Fig4	A	Lu 2023 thyrocyte UMAP colored by 8-gene panel score	GSE193581	23 samples	project/results/v17_lu2023/GSE193581_hvg_adata.h5ad	project/results/manuscript_v8_nc_main/fig4_sc.py	project/results/manuscript_v8_nc_main/Fig4_sc_validation.png	05_figure_captions_NC.md	Yes (Fig. 4a)	LOCKED
Fig4	B	Per-patient Spearman r heatmap, Pu 2021 (6 patients)	GSE184362	6 patients	project/results/dark_matter_phase2/fig_p2a/p2a_per_patient_r_forest.png	project/results/manuscript_v8_nc_main/fig4_sc.py	project/results/manuscript_v8_nc_main/Fig4_sc_validation.png	05_figure_captions_NC.md	Yes (Fig. 4b)	LOCKED
Fig4	C	Author-independence cross-cohort concordance (GSE241184 vs GSE184362)	GSE241184+GSE184362	unlisted	SOURCE_MISSING (GSE241184 processed data not found)	project/results/manuscript_v8_nc_main/fig4_sc.py	project/results/manuscript_v8_nc_main/Fig4_sc_validation.png	05_figure_captions_NC.md	Yes	SOURCE_MISSING
Fig4	D	External pseudobulk replication GSE232237	GSE232237	unlisted	SOURCE_MISSING (GSE232237 not found in project/data or results)	project/results/manuscript_v8_nc_main/fig4_sc.py	project/results/manuscript_v8_nc_main/Fig4_sc_validation.png	05_figure_captions_NC.md	Yes	SOURCE_MISSING
Fig4	E	Multisite pooled scatter: tumor vs adjacent-normal thyrocytes	GSE184362+GSE193581	6+23 patients	project/results/dark_matter_phase2/fig_p2a/p2a_pooled_scatter.png	project/results/manuscript_v8_nc_main/fig4_sc.py	project/results/manuscript_v8_nc_main/Fig4_sc_validation.png	05_figure_captions_NC.md	Yes	LOCKED
Fig4	F	Compositional pseudotime 10-decile trajectory (deconvolution)	TCGA+Lee	504+632	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/fig4_sc.py	project/results/manuscript_v8_nc_main/Fig4_sc_validation.png	05_figure_captions_NC.md	Yes	LOCKED
Fig4	G	External direction-consistency forest (7 cohorts)	Multiple	1800+ pooled	project/results/manuscript_v8_nc_main/EV_master_forest_annotated.png	project/results/manuscript_v8_nc_main/build_external_atlas.py	project/results/manuscript_v8_nc_main/Fig4_sc_validation.png	05_figure_captions_NC.md	Yes	LOCKED
Fig5	A	Pooled OS meta-analysis forest (TCGA + MSK; HR=2.53)	TCGA-THCA + MSK-IMPACT	504+117 (16+38 events)	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/fig5_survival.py	project/results/manuscript_v8_nc_main/Fig5_survival_portability.png	05_figure_captions_NC.md	Yes (Fig. 5a)	LOCKED
Fig5	B	Multivariate Cox forest (DM1+age+stage+TERT)	TCGA-THCA	504	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/fig5_survival.py	project/results/manuscript_v8_nc_main/Fig5_survival_portability.png	05_figure_captions_NC.md	Yes (Fig. 5b)	LOCKED
Fig5	C	Multi-cohort KM stack (TCGA / MSK / pooled side-by-side)	TCGA-THCA + MSK-IMPACT	504+117	project/results/manuscript_v8_nc_main/master_tcga.tsv	NOT_YET_WRITTEN (script noted in captions: fig5c_multicohort_km_stack.py)	project/results/manuscript_v8_nc_main/Fig5_survival_portability.png	05_figure_captions_NC.md	Yes	REBUILD_REQUIRED
Fig5	D	Cross-cohort score-distribution portability density plot	TCGA+Lee+K2+MSK	504+632+260+117	project/results/manuscript_v8_nc_main/master_tcga.tsv; external cohort files	project/results/manuscript_v8_nc_main/fig5_survival.py	project/results/manuscript_v8_nc_main/Fig5_survival_portability.png	05_figure_captions_NC.md	Yes (Fig. 5d)	LOCKED
Fig5	E	FFPE vs fresh-frozen concordance (KS p=0.44)	GSE213647 (FFPE) + TCGA (FF)	632+504	project/results/audit_2026_04_29/ffpe_qc/figure_ffpe_qc.png	project/results/manuscript_v8_nc_main/fig5_survival.py	project/results/manuscript_v8_nc_main/Fig5_survival_portability.png	05_figure_captions_NC.md	Yes (Fig. 5e)	LOCKED
Fig5	F	Time-dependent ROC at 1/3/5-year horizons (IPCW)	TCGA-THCA	504	project/results/manuscript_v8_nc_main/master_tcga.tsv	NOT_YET_WRITTEN (noted: fig5f_time_dependent_roc.py)	project/results/manuscript_v8_nc_main/Fig5_survival_portability.png	05_figure_captions_NC.md	Yes	REBUILD_REQUIRED
Fig5	G	Survival calibration plot (5-year deciles + H-L GoF)	TCGA-THCA	504	project/results/manuscript_v8_nc_main/master_tcga.tsv	NOT_YET_WRITTEN (noted: fig5g_calibration.py)	project/results/manuscript_v8_nc_main/Fig5_survival_portability.png	05_figure_captions_NC.md	Yes	REBUILD_REQUIRED
Fig6	A	Reflex-testing algorithm flowchart (RNA → DM1 → fusion)	N/A (schematic)	N/A	N/A (illustrative)	NOT_YET_WRITTEN (noted: fig6a_reflex_flowchart.py)	project/results/manuscript_v8_nc_main/Fig6_reflex_translation.png	05_figure_captions_NC.md	Yes (Fig. 6a)	REBUILD_REQUIRED
Fig6	B	ATA risk-tier mosaic (DM cluster × ATA 2015 tier)	TCGA-THCA	504 (stage-proxy ATA tier)	project/results/manuscript_v8_nc_main/master_tcga.tsv (ata_tier_proxy is stage-based approximation)	project/results/manuscript_v8_nc_main/fig6_reflex.py (lines 41-65)	project/results/manuscript_v8_nc_main/Fig6_reflex_translation.png	05_figure_captions_NC.md	Yes (Fig. 6b)	EDITORIAL_DECISION_REQUIRED
Fig6	C	HMA + RAI re-induction rationale schematic	N/A (schematic + table)	N/A	N/A (illustrative; NCT00085293 NCT01065090)	project/results/manuscript_v8_nc_main/fig6_reflex.py	project/results/manuscript_v8_nc_main/Fig6_reflex_translation.png	05_figure_captions_NC.md	Yes (Fig. 6c)	LOCKED
Fig6	D	Post-RAI refractory boxplot GSE151179 (d=-1.01 p=0.0001)	GSE151179	pre/post RAI samples	project/dm1_story_web/public/figures/EV_rai_lineage_box.png	NOT_YET_WRITTEN (noted: fig6d_post_rai_box.py)	project/results/manuscript_v8_nc_main/Fig6_reflex_translation.png	05_figure_captions_NC.md	Yes (Fig. 6d)	REBUILD_REQUIRED
Fig6	E	Decision-curve analysis TCGA + Lee replicate	TCGA-THCA + GSE213647	504+632	project/results/manuscript_v8_nc_main/master_tcga.tsv	NOT_YET_WRITTEN (noted: fig6e_decision_curve.py)	project/results/manuscript_v8_nc_main/Fig6_reflex_translation.png	05_figure_captions_NC.md	Yes (Fig. 6e)	REBUILD_REQUIRED
Fig6	F	Prospective DM1-stratified trial schema (illustrative)	N/A (schematic)	N/A	N/A (not pre-registered)	NOT_YET_WRITTEN (noted: fig6f_trial_schema.py)	project/results/manuscript_v8_nc_main/Fig6_reflex_translation.png	05_figure_captions_NC.md	Yes (Fig. 6f)	EDITORIAL_DECISION_REQUIRED
Fig6	G	Selpercatinib eligibility waterfall (TCGA, RET-fusion concentration)	TCGA-THCA	504	project/results/manuscript_v8_nc_main/master_tcga.tsv	NOT_YET_WRITTEN (noted: fig6g_selpercatinib_waterfall.py)	project/results/manuscript_v8_nc_main/Fig6_reflex_translation.png	05_figure_captions_NC.md	Yes (Fig. 6g)	REBUILD_REQUIRED
Fig7	ALL	Interaction + replication figure (v2 draft only — no 5-fig plan equivalent)	TCGA-THCA	472 (PFI events=49)	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/manuscript_v8/figures/Fig7_dm1_mechanism.py	project/manuscript_v8/figures/Fig7_dm1_mechanism.png	05_figure_captions.md (old)	Yes (Figs 7a-7d)	REMOVE
Fig8	ALL	IHC 3-plex + power simulation (v2 draft only — no 5-fig plan equivalent)	TCGA-THCA BRAF+	287 (33 events)	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/manuscript_v8/figures/Fig8_epigenetic.py; project/manuscript_v8/12_fig8_epigenetic.py	project/manuscript_v8/figures/Fig8_epigenetic.png	05_figure_captions.md (old)	Yes (Figs 8a-8d)	EDITORIAL_DECISION_REQUIRED
ED1	ALL	Full P_DM1-sorted heatmap with annotation tracks	TCGA-THCA	504	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED1_PDM1_heatmap_detail.png	05_figure_captions_NC.md	Yes	LOCKED
