file_path	line_no	matching_text	pattern	category	territory	suggested_action	replacement_or_note	line_excerpt
manuscript_v8/14_self_verification_report.md	29	autoimmune-PTC	\bautoimmune-PTC\b	Replace_§1	Paper2_terminology	REPLACE	Hashimoto-overlap PTC	rg -n "autoimmune-PTC|autoimmune PTC|Hashimoto|Hashimoto-like|PTC\+HT|HLA-II|BCR|TLS|AICDA|Chu|Graves|GD|TSAb|TSI|hypert
manuscript_v8/14_self_verification_report.md	29	autoimmune PTC	\bautoimmune PTC\b	Replace_§1	Paper2_terminology	REPLACE	Hashimoto-overlap PTC	rg -n "autoimmune-PTC|autoimmune PTC|Hashimoto|Hashimoto-like|PTC\+HT|HLA-II|BCR|TLS|AICDA|Chu|Graves|GD|TSAb|TSI|hypert
manuscript_v8/14_self_verification_report.md	29	Graves	\bGraves\b	Forbidden_§2.1	Paper4_GD	REVIEW_OR_REMOVE_OR_MOVE_PAPER4		rg -n "autoimmune-PTC|autoimmune PTC|Hashimoto|Hashimoto-like|PTC\+HT|HLA-II|BCR|TLS|AICDA|Chu|Graves|GD|TSAb|TSI|hypert
manuscript_v8/14_self_verification_report.md	29	GD	\bGD\b	Forbidden_§2.1	Paper4_GD	REVIEW_OR_REMOVE_OR_MOVE_PAPER4		rg -n "autoimmune-PTC|autoimmune PTC|Hashimoto|Hashimoto-like|PTC\+HT|HLA-II|BCR|TLS|AICDA|Chu|Graves|GD|TSAb|TSI|hypert
manuscript_v8/14_self_verification_report.md	29	TSAb	\bTSAb\b	Forbidden_§2.1	Paper4_GD	REVIEW_OR_REMOVE_OR_MOVE_PAPER4		rg -n "autoimmune-PTC|autoimmune PTC|Hashimoto|Hashimoto-like|PTC\+HT|HLA-II|BCR|TLS|AICDA|Chu|Graves|GD|TSAb|TSI|hypert
manuscript_v8/14_self_verification_report.md	29	TSI	\bTSI\b	Forbidden_§2.1	Paper4_GD	REVIEW_OR_REMOVE_OR_MOVE_PAPER4		rg -n "autoimmune-PTC|autoimmune PTC|Hashimoto|Hashimoto-like|PTC\+HT|HLA-II|BCR|TLS|AICDA|Chu|Graves|GD|TSAb|TSI|hypert
manuscript_v8/14_self_verification_report.md	29	thyroid eye disease	\bthyroid eye disease\b	Forbidden_§2.1	Paper4_GD	REVIEW_OR_REMOVE_OR_MOVE_PAPER4		rg -n "autoimmune-PTC|autoimmune PTC|Hashimoto|Hashimoto-like|PTC\+HT|HLA-II|BCR|TLS|AICDA|Chu|Graves|GD|TSAb|TSI|hypert
manuscript_v8/PAPER2_PILLAR1_V2_FOREST_META_SPEC_2026_05_04.md	5	Graves	\bGraves\b	Forbidden_§2.1	Paper4_GD	WHITELIST_REVIEW		scope: Paper 2 (Hashimoto-overlap PTC) ONLY. GD/Graves = Paper 4 backlog (out of scope). BRAF/RAS/TERT/DM1 = Paper 1 (ou
manuscript_v8/PAPER2_PILLAR1_V2_FOREST_META_SPEC_2026_05_04.md	5	GD	\bGD\b	Forbidden_§2.1	Paper4_GD	WHITELIST_REVIEW		scope: Paper 2 (Hashimoto-overlap PTC) ONLY. GD/Graves = Paper 4 backlog (out of scope). BRAF/RAS/TERT/DM1 = Paper 1 (ou
manuscript_v8/PAPER2_PILLAR1_V2_FOREST_META_SPEC_2026_05_04.md	6	GD	\bGD\b	Forbidden_§2.1	Paper4_GD	WHITELIST_REVIEW		supersedes: v1 forest meta (Korean PTC vs Chu 2018 GD direct comparison) deprecated 2026-05-04
manuscript_v8/PAPER2_PILLAR1_V2_FOREST_META_SPEC_2026_05_04.md	16	Graves	\bGraves\b	Forbidden_§2.1	Paper4_GD	WHITELIST_REVIEW		- Forest meta directly compared Korean PTC pool (n=874) versus Chu et al. 2018 Han Chinese Graves' disease cohort (n=1,4
manuscript_v8/PAPER2_PILLAR1_V2_FOREST_META_SPEC_2026_05_04.md	17	GD	\bGD\b	Forbidden_§2.1	Paper4_GD	WHITELIST_REVIEW		- Top finding: "Korean PTC pool DPB1\*05:01 (53.2%) HIGHER than Chu Han Chinese GD itself (44.0%)"
