gene_name	chrom	bin	bin_index	bin_start	bin_end
MIR1302-2HG	1	chr01_bin000	0	28589	4594016
FAM138A	1	chr01_bin000	0	28589	4594016
OR4F5	1	chr01_bin000	0	28589	4594016
OR4F29	1	chr01_bin000	0	28589	4594016
LINC00115	1	chr01_bin000	0	28589	4594016
OR4F16	1	chr01_bin000	0	28589	4594016
LINC01409	1	chr01_bin000	0	28589	4594016
FAM87B	1	chr01_bin000	0	28589	4594016
LINC01128	1	chr01_bin000	0	28589	4594016
FAM41C	1	chr01_bin000	0	28589	4594016
LINC02593	1	chr01_bin000	0	28589	4594016
SAMD11	1	chr01_bin000	0	28589	4594016
NOC2L	1	chr01_bin000	0	28589	4594016
KLHL17	1	chr01_bin000	0	28589	4594016
PLEKHN1	1	chr01_bin000	0	28589	4594016
PERM1	1	chr01_bin000	0	28589	4594016
HES4	1	chr01_bin000	0	28589	4594016
ISG15	1	chr01_bin000	0	28589	4594016
AGRN	1	chr01_bin000	0	28589	4594016
RNF223	1	chr01_bin000	0	28589	4594016
C1orf159	1	chr01_bin000	0	28589	4594016
LINC01342	1	chr01_bin000	0	28589	4594016
TTLL10-AS1	1	chr01_bin000	0	28589	4594016
TTLL10	1	chr01_bin000	0	28589	4594016
TNFRSF18	1	chr01_bin000	0	28589	4594016
TNFRSF4	1	chr01_bin000	0	28589	4594016
SDF4	1	chr01_bin000	0	28589	4594016
B3GALT6	1	chr01_bin000	0	28589	4594016
C1QTNF12	1	chr01_bin000	0	28589	4594016
UBE2J2	1	chr01_bin000	0	28589	4594016
LINC01786	1	chr01_bin000	0	28589	4594016
SCNN1D	1	chr01_bin000	0	28589	4594016
ACAP3	1	chr01_bin000	0	28589	4594016
PUSL1	1	chr01_bin000	0	28589	4594016
INTS11	1	chr01_bin000	0	28589	4594016
CPTP	1	chr01_bin000	0	28589	4594016
TAS1R3	1	chr01_bin000	0	28589	4594016
DVL1	1	chr01_bin000	0	28589	4594016
MXRA8	1	chr01_bin000	0	28589	4594016
AURKAIP1	1	chr01_bin000	0	28589	4594016
CCNL2	1	chr01_bin000	0	28589	4594016
MRPL20-AS1	1	chr01_bin000	0	28589	4594016
MRPL20	1	chr01_bin000	0	28589	4594016
ANKRD65	1	chr01_bin000	0	28589	4594016
TMEM88B	1	chr01_bin000	0	28589	4594016
LINC01770	1	chr01_bin000	0	28589	4594016
VWA1	1	chr01_bin000	0	28589	4594016
ATAD3C	1	chr01_bin000	0	28589	4594016
ATAD3B	1	chr01_bin000	0	28589	4594016
ATAD3A	1	chr01_bin000	0	28589	4594016
TMEM240	1	chr01_bin000	0	28589	4594016
SSU72	1	chr01_bin000	0	28589	4594016
FNDC10	1	chr01_bin000	0	28589	4594016
MIB2	1	chr01_bin000	0	28589	4594016
MMP23B	1	chr01_bin000	0	28589	4594016
CDK11B	1	chr01_bin000	0	28589	4594016
SLC35E2B	1	chr01_bin000	0	28589	4594016
CDK11A	1	chr01_bin000	0	28589	4594016
SLC35E2A	1	chr01_bin000	0	28589	4594016
NADK	1	chr01_bin000	0	28589	4594016
GNB1	1	chr01_bin000	0	28589	4594016
CALML6	1	chr01_bin000	0	28589	4594016
TMEM52	1	chr01_bin000	0	28589	4594016
CFAP74	1	chr01_bin000	0	28589	4594016
GABRD	1	chr01_bin000	0	28589	4594016
PRKCZ	1	chr01_bin000	0	28589	4594016
PRKCZ-AS1	1	chr01_bin000	0	28589	4594016
FAAP20	1	chr01_bin000	0	28589	4594016
SKI	1	chr01_bin000	0	28589	4594016
MORN1	1	chr01_bin000	0	28589	4594016
RER1	1	chr01_bin000	0	28589	4594016
PEX10	1	chr01_bin000	0	28589	4594016
PLCH2	1	chr01_bin000	0	28589	4594016
PANK4	1	chr01_bin000	0	28589	4594016
HES5	1	chr01_bin000	0	28589	4594016
TNFRSF14-AS1	1	chr01_bin000	0	28589	4594016
TNFRSF14	1	chr01_bin000	0	28589	4594016
PRXL2B	1	chr01_bin000	0	28589	4594016
MMEL1	1	chr01_bin000	0	28589	4594016
TTC34	1	chr01_bin000	0	28589	4594016
ACTRT2	1	chr01_bin000	0	28589	4594016
PRDM16-DT	1	chr01_bin000	0	28589	4594016
PRDM16	1	chr01_bin000	0	28589	4594016
ARHGEF16	1	chr01_bin000	0	28589	4594016
